dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1,variant
KTHTIPS2b,svm,42,0,full,full_concat,0.9702677603073294,0.9705387205387206,21,19884,11.561031633999846,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,,Completa-21
KTHTIPS2b,svm,42,1,full,full_concat,0.9603396248025526,0.9604377104377104,21,19884,11.997344038000849,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,,Completa-21
KTHTIPS2b,svm,42,2,full,full_concat,0.9413891343403894,0.9427609427609428,21,19884,12.734948283000447,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,,Completa-21
KTHTIPS2b,svm,42,3,full,full_concat,0.9532053652066492,0.9545454545454546,21,19884,11.51397303199974,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,,Completa-21
KTHTIPS2b,resmlp,42,0,full,full_concat,0.9780224232999838,0.9781144781144782,21,19884,3.646299457000168,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,,Completa-21
KTHTIPS2b,resmlp,42,1,full,full_concat,0.9545487228560812,0.9545454545454546,21,19884,3.755038102999606,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,,Completa-21
KTHTIPS2b,resmlp,42,2,full,full_concat,0.9356611000224436,0.9368686868686869,21,19884,3.820969325999613,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,,Completa-21
KTHTIPS2b,resmlp,42,3,full,full_concat,0.9175034680947596,0.9208754208754208,21,19884,3.5617468529999314,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,,Completa-21
KTHTIPS2b,svm,42,0,full,full21_plus_beitv2_base_final,0.9728602488727852,0.9730639730639732,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,,Completa-21 + BEiTv2 final
KTHTIPS2b,svm,42,0,full,full21_plus_beitv2_base_multilayer,0.9711432327522156,0.9713804713804712,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,,Completa-21 + BEiTv2 multicapas
KTHTIPS2b,svm,42,1,full,full21_plus_beitv2_base_final,0.9585289492461502,0.9587542087542088,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,,Completa-21 + BEiTv2 final
KTHTIPS2b,svm,42,1,full,full21_plus_beitv2_base_multilayer,0.9577346440922736,0.957912457912458,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,,Completa-21 + BEiTv2 multicapas
KTHTIPS2b,svm,42,2,full,full21_plus_beitv2_base_final,0.9532406228722188,0.9545454545454546,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,,Completa-21 + BEiTv2 final
KTHTIPS2b,svm,42,2,full,full21_plus_beitv2_base_multilayer,0.952404984362974,0.9537037037037036,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,,Completa-21 + BEiTv2 multicapas
KTHTIPS2b,svm,42,3,full,full21_plus_beitv2_base_final,0.9558938038920122,0.9570707070707072,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,,Completa-21 + BEiTv2 final
KTHTIPS2b,svm,42,3,full,full21_plus_beitv2_base_multilayer,0.9576436557390032,0.9587542087542088,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,,Completa-21 + BEiTv2 multicapas
KTHTIPS2b,resmlp,42,0,full,full21_plus_beitv2_base_final,0.9856541608100908,0.9856902356902356,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,,Completa-21 + BEiTv2 final
KTHTIPS2b,resmlp,42,0,full,full21_plus_beitv2_base_multilayer,0.9822528456031632,0.9823232323232324,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,,Completa-21 + BEiTv2 multicapas
KTHTIPS2b,resmlp,42,1,full,full21_plus_beitv2_base_final,0.9577662540582194,0.957912457912458,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,,Completa-21 + BEiTv2 final
KTHTIPS2b,resmlp,42,1,full,full21_plus_beitv2_base_multilayer,0.935993345169022,0.9393939393939394,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,,Completa-21 + BEiTv2 multicapas
KTHTIPS2b,resmlp,42,2,full,full21_plus_beitv2_base_final,0.952048443392138,0.9528619528619529,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,,Completa-21 + BEiTv2 final
KTHTIPS2b,resmlp,42,2,full,full21_plus_beitv2_base_multilayer,0.9486851804921922,0.9494949494949496,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,,Completa-21 + BEiTv2 multicapas
KTHTIPS2b,resmlp,42,3,full,full21_plus_beitv2_base_final,0.912715191100272,0.915824915824916,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,,Completa-21 + BEiTv2 final
KTHTIPS2b,resmlp,42,3,full,full21_plus_beitv2_base_multilayer,0.914939357350649,0.9175084175084176,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,,Completa-21 + BEiTv2 multicapas
