dataset,classifier,seed,split,inverted,k,subset,macro_f1,accuracy,dimensions,fit_seconds
KTHTIPS2b,svm,42,official1_inverted,1,1,beitv2_base,0.9669702115944624,0.9671717171717171,768,1.0224052059999984
KTHTIPS2b,svm,42,official1_inverted,1,1,convnext_v2_t,0.9648803429761845,0.9646464646464646,768,0.8528224279999996
KTHTIPS2b,svm,42,official1_inverted,1,1,deit_s,0.9533437258737365,0.9537037037037037,384,0.4323558470000002
KTHTIPS2b,svm,42,official1_inverted,1,1,densenet121,0.9557365560343982,0.9553872053872053,1024,1.2490405269999982
KTHTIPS2b,svm,42,official1_inverted,1,1,dinov2,0.9924072851282179,0.9924242424242424,768,0.827194746
KTHTIPS2b,svm,42,official1_inverted,1,1,dinov2_large,0.9940954934868184,0.9941077441077442,1024,1.1906583269999977
KTHTIPS2b,svm,42,official1_inverted,1,1,dinov2_small,0.9839520793378298,0.984006734006734,384,0.41766994299999993
KTHTIPS2b,svm,42,official1_inverted,1,1,drlbp,0.4732112819566503,0.5202020202020202,80,0.10905249700000041
KTHTIPS2b,svm,42,official1_inverted,1,1,efficientnet_b0,0.9139132215704819,0.914983164983165,1280,1.5481862229999983
KTHTIPS2b,svm,42,official1_inverted,1,1,eva02_base,0.942634234266417,0.9427609427609428,768,0.8852103219999989
KTHTIPS2b,svm,42,official1_inverted,1,1,gabor,0.42008412050354166,0.46380471380471383,48,0.10750958900000285
KTHTIPS2b,svm,42,official1_inverted,1,1,glcm,0.3116318099231885,0.3653198653198653,18,0.03201047700000004
KTHTIPS2b,svm,42,official1_inverted,1,1,hog,0.3917013136519154,0.4006734006734007,1764,5.321803800999998
KTHTIPS2b,svm,42,official1_inverted,1,1,lbp,0.6164451995198855,0.6515151515151515,54,0.12032836200000219
KTHTIPS2b,svm,42,official1_inverted,1,1,mae_base,0.9177194439105304,0.9191919191919192,768,1.2709939569999982
KTHTIPS2b,svm,42,official1_inverted,1,1,resnet101,0.9601190806013631,0.9604377104377104,2048,1.1750158450000008
KTHTIPS2b,svm,42,official1_inverted,1,1,resnet50,0.8864671636042233,0.8872053872053872,2048,0.9130167679999985
KTHTIPS2b,svm,42,official1_inverted,1,1,siglip_base,0.9538423042815937,0.9537037037037037,768,1.025672385
KTHTIPS2b,svm,42,official1_inverted,1,1,swin_t,0.9259562346486288,0.9259259259259259,768,0.9072510140000034
