dataset,classifier,method,dimensions_mean,fit_seconds_mean
CUReT,resmlp,best_homogeneous_self_supervised,1856.0,3.3581476395047503
CUReT,resmlp,best_individual,704.0,3.0859533514958457
CUReT,resmlp,full_concat,19628.0,5.492559452002752
CUReT,resmlp,gfs,3520.0,3.768773917501676
CUReT,svm,best_homogeneous_self_supervised,2944.0,6.06972625949129
CUReT,svm,best_individual,1024.0,4.010405259505205
CUReT,svm,full_concat,19628.0,41.85022626249702
CUReT,svm,gfs,4402.0,9.192661630993825
DTD,resmlp,best_homogeneous_self_supervised,2598.4,3.6169467129996975
DTD,resmlp,best_individual,768.0,2.7645900006999455
DTD,resmlp,full_concat,19628.0,5.169024842499084
DTD,resmlp,gfs,4792.4,3.958373072099994
DTD,svm,best_homogeneous_self_supervised,2572.8,13.432437593000577
DTD,svm,best_individual,819.2,4.0450957439998545
DTD,svm,full_concat,19628.0,58.742921394699536
DTD,svm,gfs,5589.8,13.120614577701144
FMD,resmlp,best_homogeneous_self_supervised,2218.6666666666665,1.319398419066662
FMD,resmlp,best_individual,768.0,1.4460202136668765
FMD,resmlp,full_concat,19628.0,2.24296646273433
FMD,resmlp,gfs,3077.4666666666667,1.506865679466864
FMD,svm,best_homogeneous_self_supervised,2338.133333333333,0.6745821569347754
FMD,svm,best_individual,768.0,0.3302975874675515
FMD,svm,full_concat,19628.0,4.052746012799616
FMD,svm,gfs,2909.3333333333335,0.7807405270665185
