dataset,classifier,method,macro_f1_mean,k_mean
CUReT,resmlp,best_homogeneous_self_supervised,0.9982177881759913,2.5
CUReT,resmlp,gfs,0.99803957752713,3.0
CUReT,svm,best_homogeneous_self_supervised,0.9989306097163023,4.0
CUReT,svm,gfs,0.9987523990674412,4.5
DTD,resmlp,best_homogeneous_self_supervised,0.8610833321005368,3.5
DTD,resmlp,gfs,0.8668434969462837,5.9
DTD,svm,best_homogeneous_self_supervised,0.8606198377507701,3.3
DTD,svm,gfs,0.8694111101905412,6.1
FMD,resmlp,best_homogeneous_self_supervised,0.9772807968493851,2.7333333333333334
FMD,resmlp,gfs,0.978260006320161,4.4
FMD,svm,best_homogeneous_self_supervised,0.9788964691108466,2.7333333333333334
FMD,svm,gfs,0.9765869828050323,3.6
