dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
DTD,svm,42,0,full,best_individual,0.8290950189791132,0.8313829787234043,1,768,1.462433033000707,dinov2,0.818791933227524
DTD,svm,42,0,full,full_concat,0.8684775351834088,0.8696808510638298,20,19628,11.499665843000002,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
DTD,svm,42,0,full,gfs,0.8636182903808431,0.8648936170212767,6,5168,4.14548654400005,dinov2+siglip_base+eva02_base+resnet50+convnext_v2_t+gabor,0.8609306022607153
DTD,svm,42,0,full,best_homogeneous_self_supervised,0.8659892044655422,0.8675531914893617,5,3712,3.4105927280006654,dinov2+siglip_base+dinov2_large+dinov2_small+mae_base,0.8513162043730277
DTD,svm,42,1,full,best_individual,0.824402268371014,0.8271276595744681,1,1024,1.7165370009970502,dinov2_large,0.8214446337293366
DTD,svm,42,1,full,full_concat,0.866966756652591,0.8686170212765958,20,19628,11.194313441999839,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
DTD,svm,42,1,full,gfs,0.8600254532365622,0.8617021276595744,5,4096,2.9980500530000427,dinov2_large+siglip_base+eva02_base+dinov2+convnext_v2_t,0.8674247722654167
DTD,svm,42,1,full,best_homogeneous_self_supervised,0.8574081683145521,0.8590425531914894,5,3712,2.8194055060012033,dinov2_large+siglip_base+dinov2+dinov2_small+mae_base,0.8579632100263435
DTD,svm,42,2,full,best_individual,0.8327183631088175,0.8345744680851064,1,1024,1.2665368629968725,dinov2_large,0.8130354725585266
DTD,svm,42,2,full,full_concat,0.8625180731635513,0.8632978723404255,20,19628,11.148733383000945,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
DTD,svm,42,2,full,gfs,0.8738711965331308,0.874468085106383,6,5424,3.7635382160005975,dinov2_large+eva02_base+siglip_base+resnet50+mae_base+gabor,0.8682024975362403
DTD,svm,42,2,full,best_homogeneous_self_supervised,0.8674037907123177,0.8686170212765958,3,2176,2.2938148859975627,dinov2_large+siglip_base+dinov2_small,0.8536896475172906
DTD,svm,42,3,full,best_individual,0.8313602261631877,0.8335106382978723,1,1024,1.7844646020021173,dinov2_large,0.8118056533248756
DTD,svm,42,3,full,full_concat,0.8726521144139617,0.8739361702127659,20,19628,11.994762296999397,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
DTD,svm,42,3,full,gfs,0.8758063050885889,0.877127659574468,4,3584,3.0953856830019504,dinov2_large+eva02_base+siglip_base+densenet121,0.8659519849770112
DTD,svm,42,3,full,best_homogeneous_self_supervised,0.8628620835078584,0.8648936170212767,3,2560,2.414935109001817,dinov2_large+siglip_base+dinov2,0.8510677542853408
DTD,svm,42,4,full,best_individual,0.8262135600921957,0.8287234042553191,1,1024,1.8863255530013703,dinov2_large,0.8161079068855077
