dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
DTD,svm,42,1,full,random_000,0.8276633181963603,0.8287234042553191,5,3986,3.5316630040033488,deit_s+glcm+resnet50+siglip_base+swin_t,
DTD,svm,42,1,full,random_001,0.8594198267690282,0.8611702127659574,5,3894,3.158885331999045,convnext_v2_t+dinov2_large+efficientnet_b0+lbp+swin_t,
DTD,svm,42,1,full,random_002,0.8550645194410192,0.8563829787234043,5,8448,4.0317271659951075,convnext_v2_t+eva02_base+resnet50+siglip_base+vgg16,
DTD,svm,42,1,full,random_003,0.8391521146086622,0.8404255319148937,5,4936,3.769038181999349,glcm+lbp+resnet101+resnet50+siglip_base,
DTD,svm,42,1,full,random_004,0.7895495342582619,0.7920212765957447,5,8292,4.47460313099873,convnext_v2_t+deit_s+efficientnet_b0+hog+vgg16,
DTD,svm,42,1,full,random_005,0.8607587975076433,0.8627659574468085,5,5504,3.7681726739974692,dinov2_large+dinov2_small+efficientnet_b0+resnet101+swin_t,
DTD,svm,42,1,full,random_006,0.8393586224077852,0.8409574468085106,5,6704,4.341376644995762,convnext_v2_t+densenet121+eva02_base+gabor+vgg16,
DTD,svm,42,1,full,random_007,0.8325528988717895,0.8335106382978723,5,4634,3.561148101995059,efficientnet_b0+eva02_base+hog+lbp+swin_t,
DTD,svm,42,1,full,random_008,0.8520651173265803,0.8542553191489362,5,3664,4.03492019600526,densenet121+dinov2+dinov2_large+drlbp+mae_base,
DTD,svm,42,1,full,random_009,0.829009829926685,0.8303191489361702,5,6710,4.0287860430034925,densenet121+lbp+siglip_base+swin_t+vgg16,
DTD,svm,42,1,full,random_010,0.8304842311310862,0.8319148936170213,5,2054,3.1682541650006897,convnext_v2_t+dinov2_small+drlbp+lbp+vit_b16,
DTD,svm,42,1,full,random_011,0.8249076486724314,0.8265957446808511,5,8372,4.62730162099615,dinov2_small+drlbp+hog+resnet50+vgg16,
DTD,svm,42,1,full,random_012,0.855705238499695,0.8574468085106383,5,2662,3.8736471650045132,dinov2_large+eva02_base+gabor+lbp+mae_base,
DTD,svm,42,1,full,random_013,0.8515082400394354,0.8537234042553191,5,7700,5.037684353002987,convnext_v2_t+dinov2_large+gabor+hog+vgg16,
DTD,svm,42,1,full,random_014,0.8610065175606453,0.8632978723404255,5,4992,3.523838082997827,dinov2_large+dinov2_small+mae_base+resnet50+vit_b16,
DTD,svm,42,1,full,random_015,0.8437719484716861,0.8457446808510638,5,3732,3.2335700410039863,convnext_v2_t+deit_s+dinov2+gabor+hog,
DTD,svm,42,1,full,random_016,0.8552762432717416,0.8569148936170212,5,6784,3.1440993529977277,deit_s+dinov2+siglip_base+swin_t+vgg16,
DTD,svm,42,1,full,random_017,0.797075299500756,0.7984042553191489,5,9984,4.56145450600161,convnext_v2_t+densenet121+resnet101+resnet50+vgg16,
DTD,svm,42,1,full,random_018,0.7703222776020845,0.7728723404255319,5,1912,3.510911469995335,densenet121+gabor+glcm+lbp+swin_t,
DTD,svm,42,1,full,random_019,0.7675163129990665,0.7702127659574468,5,7956,4.886861721999594,efficientnet_b0+gabor+hog+vgg16+vit_b16,
DTD,svm,42,1,full,random_020,0.8538358821537044,0.8558510638297873,5,4836,3.2388076380011626,convnext_v2_t+dinov2+hog+siglip_base+vit_b16,
DTD,svm,42,1,full,random_021,0.8642612670391532,0.8664893617021276,5,7216,3.9351391150048585,dinov2_large+efficientnet_b0+gabor+siglip_base+vgg16,
DTD,svm,42,1,full,random_022,0.7858411317619334,0.7882978723404256,5,3138,3.148236519002239,densenet121+efficientnet_b0+gabor+glcm+vit_b16,
