dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
DTD,svm,42,0,full,best_individual,0.8401804503479369,0.8425531914893617,1,768,5.604926379000972,siglip_base,0.8323869270612757
DTD,svm,42,0,full,full_concat,0.8693950863339188,0.8707446808510638,20,19628,88.59784973499882,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
DTD,svm,42,0,full,gfs,0.8806984863760254,0.8819148936170212,5,4352,16.047381061000124,siglip_base+dinov2_large+eva02_base+densenet121+dinov2,0.8636808215533234
DTD,svm,42,0,full,best_homogeneous_self_supervised,0.8643807002996545,0.8659574468085106,4,2944,23.23282256300081,siglip_base+dinov2_large+dinov2_small+mae_base,0.8515030702044784
DTD,svm,42,1,full,best_individual,0.8482174614162562,0.85,1,768,3.841817891000119,siglip_base,0.835883757300428
DTD,svm,42,1,full,full_concat,0.8711173104545613,0.8723404255319149,20,19628,61.88609480699961,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
DTD,svm,42,1,full,gfs,0.8627112503680314,0.8638297872340426,6,4864,13.464776652000182,siglip_base+dinov2_large+eva02_base+dinov2+convnext_v2_t+mae_base,0.8650453091116723
DTD,svm,42,1,full,best_homogeneous_self_supervised,0.8585986869072791,0.8606382978723405,4,3328,19.003788619999796,siglip_base+dinov2_large+dinov2+mae_base,0.856493486536415
DTD,svm,42,2,full,best_individual,0.8436546470542189,0.8452127659574468,1,768,3.4765481049998925,siglip_base,0.8389935930916341
DTD,svm,42,2,full,full_concat,0.8631312616248883,0.8638297872340426,20,19628,53.86367130599956,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
DTD,svm,42,2,full,gfs,0.8713991601892999,0.8723404255319149,6,6656,13.10293561599974,siglip_base+dinov2_large+eva02_base+resnet50+efficientnet_b0+dinov2,0.8689741205985442
DTD,svm,42,2,full,best_homogeneous_self_supervised,0.8645328946407714,0.8654255319148936,2,1792,8.412596388000566,siglip_base+dinov2_large,0.8554647221790467
DTD,svm,42,3,full,best_individual,0.8511027603772083,0.8542553191489362,1,768,3.447384917000818,siglip_base,0.8362066470689634
DTD,svm,42,3,full,full_concat,0.8719420644253062,0.872872340425532,20,19628,53.94309462700039,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
DTD,svm,42,3,full,gfs,0.8781074965106591,0.8792553191489362,6,4736,11.73359286699997,siglip_base+dinov2_large+eva02_base+densenet121+dinov2_small+mae_base,0.8641434757856765
DTD,svm,42,3,full,best_homogeneous_self_supervised,0.8624302868825315,0.8648936170212767,2,1792,8.432680022000568,siglip_base+dinov2_large,0.8535833088025935
DTD,svm,42,4,full,best_individual,0.8481253041000519,0.85,1,768,3.4968445430004067,siglip_base,0.8366025143733156
