dataset,classifier,method,n,macro_f1_mean,macro_f1_std
CUReT,resmlp,best_homogeneous_self_supervised,2,0.9982177881759913,0.0015123164662202344
CUReT,resmlp,best_individual,2,0.9971432088835785,0.0030320010753955157
CUReT,resmlp,full_concat,2,0.9987525886233724,0.0017641060866852756
CUReT,resmlp,gfs,2,0.99803957752713,0.0012602885496415745
CUReT,svm,best_homogeneous_self_supervised,2,0.9989306097163023,0.0010082904095179506
CUReT,svm,best_individual,2,0.9948385798589647,0.0027683862868036185
CUReT,svm,full_concat,2,0.9991089467556944,0.0012601395828935353
CUReT,svm,gfs,2,0.9987523990674412,0.0007562624929393299
DTD,resmlp,best_homogeneous_self_supervised,10,0.8610833321005368,0.006006875234397001
DTD,resmlp,best_individual,10,0.8373265730483267,0.008947189979839341
DTD,resmlp,full_concat,10,0.8602319530178946,0.008611387580548599
DTD,resmlp,gfs,10,0.8668434969462837,0.009386617050981946
DTD,svm,best_homogeneous_self_supervised,10,0.8606198377507701,0.008555995061427029
DTD,svm,best_individual,10,0.8425747976599259,0.010883623581422622
DTD,svm,full_concat,10,0.8648161261403147,0.007611941514439189
DTD,svm,gfs,10,0.8694111101905412,0.00957806485354981
FMD,resmlp,best_homogeneous_self_supervised,15,0.9772807968493851,0.010902605881236031
FMD,resmlp,best_individual,15,0.9690015813977959,0.013346275165852392
FMD,resmlp,full_concat,15,0.9574520344297884,0.01804399155863626
FMD,resmlp,gfs,15,0.978260006320161,0.012302993633475022
FMD,svm,best_homogeneous_self_supervised,15,0.9788964691108466,0.012238549132621547
FMD,svm,best_individual,15,0.9726391142458551,0.015042253837090071
FMD,svm,full_concat,15,0.9644315870936164,0.016701505356682862
FMD,svm,gfs,15,0.9765869828050323,0.01354575046817678
