dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
DTD,resmlp,42,0,full,random_000,0.7696723722431236,0.7718085106382979,5,4114,4.246617301999777,densenet121+glcm+resnet101+rgb_ngram_svd+swin_t,
DTD,resmlp,42,0,full,random_001,0.8248152401551813,0.825531914893617,5,4114,2.130314153999734,densenet121+eva02_base+glcm+resnet101+rgb_ngram_svd,
DTD,resmlp,42,0,full,random_002,0.8364672807677919,0.8377659574468085,5,7296,3.7397433320002165,dinov2_small+efficientnet_b0+siglip_base+swin_t+vgg16,
DTD,resmlp,42,0,full,random_003,0.8282177113843218,0.8276595744680851,5,4660,1.4754874029999883,drlbp+efficientnet_b0+eva02_base+hog+siglip_base,
DTD,resmlp,42,0,full,random_004,0.8528576776180802,0.8537234042553191,5,3974,3.3925209039998663,densenet121+dinov2+drlbp+lbp+resnet50,
DTD,resmlp,42,0,full,random_005,0.8478415694411355,0.8489361702127659,5,8192,3.7006616230000873,densenet121+dinov2_large+efficientnet_b0+mae_base+vgg16,
DTD,resmlp,42,0,full,random_006,0.838410170205994,0.8393617021276596,5,2176,2.4983064120001472,densenet121+dinov2+drlbp+gabor+rgb_ngram_svd,
DTD,resmlp,42,0,full,random_007,0.7619787888072839,0.7643617021276595,5,5044,1.262549431000025,deit_s+drlbp+hog+resnet50+swin_t,
DTD,resmlp,42,0,full,random_008,0.7596160528362834,0.7622340425531915,5,3090,2.6095360740000615,efficientnet_b0+glcm+mae_base+rgb_ngram_svd+swin_t,
DTD,resmlp,42,0,full,random_009,0.8493109948263016,0.85,5,3664,3.8558224329999575,drlbp+efficientnet_b0+eva02_base+siglip_base+vit_b16,
DTD,resmlp,42,0,full,random_010,0.8646185282229509,0.8654255319148936,5,3522,4.00106385700019,dinov2_large+dinov2_small+gabor+glcm+resnet101,
