dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
DTD,resmlp,42,0,full,topk_individual,0.8692063590597363,0.8707446808510638,5,3712,3.8341654329997255,siglip_base+dinov2_large+dinov2+dinov2_small+eva02_base,0.8095752658591145
DTD,resmlp,42,1,full,topk_individual,0.8690328342487704,0.8702127659574468,8,7296,3.735587884002598,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+convnext_v2_t+swin_t+resnet101,0.7788469770473427
DTD,resmlp,42,2,full,topk_individual,0.8679319160671751,0.8680851063829788,6,4480,4.411720567000884,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+convnext_v2_t,0.7975565114337687
DTD,resmlp,42,3,full,topk_individual,0.8711643434889875,0.872872340425532,7,6528,4.7906238959985785,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+convnext_v2_t+resnet101,0.7902678165497898
DTD,resmlp,42,4,full,topk_individual,0.8579171565955281,0.8579787234042553,5,3712,3.704209143001208,siglip_base+dinov2_large+dinov2+dinov2_small+eva02_base,0.813441221043707
DTD,resmlp,42,5,full,topk_individual,0.8673088956758381,0.8680851063829788,5,3712,1.996034685998893,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small,0.8144059880509295
DTD,resmlp,42,6,full,topk_individual,0.8794075729621587,0.8808510638297873,6,4480,3.494867149998754,siglip_base+dinov2_large+dinov2+dinov2_small+eva02_base+convnext_v2_t,0.799465674121291
DTD,resmlp,42,7,full,topk_individual,0.8537058218982512,0.8553191489361702,7,5248,3.5036924539999745,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+convnext_v2_t+swin_t,0.8044193381826784
DTD,resmlp,42,8,full,topk_individual,0.8565847914684861,0.8585106382978723,4,2944,1.7883527419980965,siglip_base+dinov2_large+dinov2+dinov2_small,0.8119641586911519
DTD,resmlp,42,9,full,topk_individual,0.8555773879859294,0.8569148936170212,4,3328,2.6981293620010547,siglip_base+dinov2_large+dinov2+eva02_base,0.8245004545383734
FMD,resmlp,42,0,full,topk_individual,0.9446283296090741,0.945,3,2304,0.8511257300015131,siglip_base+eva02_base+dinov2,0.9599873280678651
FMD,resmlp,42,1,full,topk_individual,0.98510989010989,0.985,2,1536,0.8929600299998128,siglip_base+dinov2,0.9599302893219699
FMD,resmlp,42,2,full,topk_individual,0.9799906191369606,0.98,5,3712,0.951638479000394,siglip_base+eva02_base+dinov2+dinov2_large+dinov2_small,0.9446947248385064
FMD,resmlp,42,3,full,topk_individual,0.9949968730456537,0.995,7,5248,0.8322892789983598,siglip_base+eva02_base+dinov2+dinov2_large+dinov2_small+convnext_v2_t+vit_b16,0.9226951852702932
FMD,resmlp,42,4,full,topk_individual,0.9699718103890118,0.97,4,3328,0.9025837330009381,siglip_base+dinov2_large+eva02_base+dinov2,0.950984825778572
FMD,resmlp,123,0,full,topk_individual,0.984855666370429,0.985,5,3712,0.8646677090000594,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small,0.9420874896278514
