dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
CUReT,resmlp,42,0,full,random_000,0.9910595443374258,0.9910905203136137,2,2532,3.883243488991866,hog+siglip_base,
CUReT,resmlp,42,0,full,random_001,0.9839040880001677,0.9839629365645046,2,432,1.8297089739935473,deit_s+gabor,
CUReT,resmlp,42,0,full,random_002,0.9925186055507834,0.9925160370634355,2,2128,3.8255558789969655,drlbp+resnet50,
CUReT,resmlp,42,0,full,random_003,0.9602032914775083,0.9604419101924447,2,102,4.874504117004108,gabor+lbp,
CUReT,resmlp,42,0,full,random_004,0.9839040880001677,0.9839629365645046,2,432,2.2236227090033935,deit_s+gabor,
CUReT,resmlp,42,0,full,random_005,0.989661962177041,0.9896650035637918,2,816,1.4639565739926184,gabor+vit_b16,
CUReT,resmlp,42,0,full,random_006,0.9957191095857088,0.9957234497505346,2,464,2.888169067999115,dinov2_small+drlbp,
CUReT,resmlp,42,0,full,random_007,0.9925186055507834,0.9925160370634355,2,2128,3.5590347569959704,drlbp+resnet50,
CUReT,resmlp,42,0,full,random_008,0.9813754975411765,0.9814682822523164,2,848,1.544220570998732,convnext_v2_t+drlbp,
CUReT,resmlp,42,0,full,random_009,0.992873958909492,0.992872416250891,2,2048,3.297313438990386,efficientnet_b0+mae_base,
CUReT,resmlp,42,0,full,random_010,0.9978574689309749,0.9978617248752673,2,2432,4.321293188011623,dinov2_small+resnet50,
CUReT,resmlp,42,0,full,random_011,0.9978615143239336,0.9978617248752673,2,1152,4.587509347999003,beitv2_base_final+dinov2_small,
CUReT,resmlp,42,0,full,random_012,0.9939397705976536,0.9939415538132573,2,2048,2.4375445210025646,efficientnet_b0+swin_t,
CUReT,resmlp,42,0,full,random_013,0.9943189591198124,0.9942979330007128,2,1408,4.915956073993584,deit_s+densenet121,
CUReT,resmlp,42,0,full,random_014,0.9967917027583758,0.9967925873129009,2,1792,4.8493483849888435,dinov2_large+eva02_base,
CUReT,resmlp,42,0,full,random_015,0.9957260602286876,0.9957234497505346,2,1792,3.3697107170009986,densenet121+eva02_base,
CUReT,resmlp,42,0,full,random_016,0.9957191966135934,0.9957234497505346,2,5120,4.708624950988451,dinov2_large+vgg16,
CUReT,resmlp,42,0,full,random_017,0.9639969703635614,0.9640057020669993,2,4114,1.619691651998437,glcm+vgg16,
CUReT,resmlp,42,0,full,random_018,0.9967882471480751,0.9967925873129009,2,1792,4.561988086992642,densenet121+dinov2,
CUReT,resmlp,42,0,full,random_019,0.9914601825221724,0.9914468995010691,2,1072,2.6109745209978428,densenet121+gabor,
CUReT,resmlp,42,0,full,random_020,0.9957107660187295,0.9957234497505346,2,2816,3.8800981999957003,beitv2_base_final+resnet50,
CUReT,resmlp,42,0,full,random_021,0.9914449506517495,0.9914468995010691,2,4864,4.7351838019967545,vgg16+vit_b16,
CUReT,resmlp,42,0,full,random_022,0.9839174508651622,0.9839629365645046,2,2532,1.7262855080043664,convnext_v2_t+hog,
CUReT,resmlp,42,0,full,random_023,0.9925101517300404,0.9925160370634355,2,3328,4.59680611800286,efficientnet_b0+resnet50,
CUReT,resmlp,42,0,full,random_024,0.9145023861408537,0.9144689950106913,2,1818,3.9885193280060776,hog+lbp,
CUReT,resmlp,42,0,full,random_025,0.9602032914775083,0.9604419101924447,2,102,4.811958802994923,gabor+lbp,
CUReT,resmlp,42,0,full,random_026,0.9950053001856888,0.9950106913756237,2,2816,1.9937897509953473,convnext_v2_t+resnet101,
CUReT,resmlp,42,0,full,random_027,0.9837191669031552,0.9836065573770492,2,1328,1.9629859079868766,efficientnet_b0+gabor,
CUReT,resmlp,42,0,full,random_028,0.9907678252098016,0.9907341411261582,2,2048,2.0278549089998705,efficientnet_b0+eva02_base,
CUReT,resmlp,42,0,full,random_029,0.9784111292129564,0.9782608695652174,2,1298,1.9290746049955487,efficientnet_b0+glcm,
CUReT,resmlp,42,0,full,random_030,0.9818260345928851,0.9818246614397719,2,786,1.5747507350024534,glcm+siglip_base,
CUReT,resmlp,42,0,full,random_031,0.995718772584113,0.9957234497505346,2,1072,1.7506859760032967,dinov2_large+gabor,
CUReT,resmlp,42,0,full,random_032,0.9982216440130187,0.9982181040627227,2,2816,4.810132494996651,dinov2+resnet101,
CUReT,resmlp,42,0,full,random_033,0.9924711658326849,0.9925160370634355,2,4864,4.261727559991414,beitv2_base_final+vgg16,
CUReT,resmlp,42,0,full,random_034,0.9960832819798631,0.9960798289379901,2,2304,2.236252025992144,dinov2_large+efficientnet_b0,
CUReT,resmlp,42,0,full,random_035,0.9942889205893135,0.9942979330007128,2,822,2.357252778005204,dinov2+lbp,
CUReT,resmlp,42,0,full,random_036,0.9907678252098016,0.9907341411261582,2,2048,1.949162411998259,efficientnet_b0+eva02_base,
CUReT,resmlp,42,0,full,random_037,0.9932164598180796,0.9932287954383464,2,1152,1.8461138749989914,convnext_v2_t+deit_s,
CUReT,resmlp,42,0,full,random_038,0.995718772584113,0.9957234497505346,2,4480,3.9600396739988355,dinov2_small+vgg16,
CUReT,resmlp,42,0,full,random_039,0.9903491432463553,0.9903777619387027,2,786,1.949014828001964,beitv2_base_final+glcm,
CUReT,resmlp,42,0,full,random_040,0.9900132811371872,0.9900213827512473,2,1152,2.3906506079947576,deit_s+mae_base,
CUReT,resmlp,42,0,full,random_041,0.9918039541999207,0.9918032786885246,2,1078,2.6584413459931966,densenet121+lbp,
CUReT,resmlp,42,0,full,random_042,0.9946456766566729,0.9946543121881682,2,2816,4.6701154689944815,mae_base+resnet50,
CUReT,resmlp,42,0,full,random_043,0.9946456766566729,0.9946543121881682,2,2816,3.9540726599952905,mae_base+resnet50,
CUReT,resmlp,42,0,full,random_044,0.9967922504307671,0.9967925873129009,2,1792,4.138813888988807,dinov2_large+siglip_base,
CUReT,resmlp,42,0,full,random_045,0.9939188819816713,0.9939415538132573,2,1536,3.6643497420009226,beitv2_base_final+mae_base,
CUReT,resmlp,42,0,full,random_046,0.995718772584113,0.9957234497505346,2,4480,4.588376350002363,dinov2_small+vgg16,
