dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
CUReT,resmlp,42,0,full,topk_individual,0.9975050509159448,0.9975053456878118,2,1408,4.419189106993144,dinov2_small+dinov2_large,0.9972697535892474
CUReT,resmlp,42,1,full,topk_individual,0.9992871574045555,0.9992872416250891,4,2944,4.132778464001603,dinov2_large+dinov2+beitv2_base_final+dinov2_small,0.99371659909347
CUReT,svm,42,0,full,topk_individual,0.9982178935113889,0.9982181040627227,4,2944,10.65613273899362,dinov2_large+dinov2+dinov2_small+vit_b16,0.9892630606566909
CUReT,svm,42,1,full,topk_individual,0.9996435787022778,0.9996436208125445,5,3712,16.213298321003094,dinov2_large+dinov2+dinov2_small+beitv2_base_final+vit_b16,0.9831798142502647
DTD,resmlp,42,0,full,topk_individual,0.8679828675910164,0.8691489361702127,6,4480,2.2734277069994278,siglip_base+dinov2_large+dinov2+dinov2_small+eva02_base+beitv2_base_final,0.804629725785564
DTD,resmlp,42,1,full,topk_individual,0.8672265780220051,0.8670212765957447,5,3712,3.0327237000019522,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small,0.8118130864055535
DTD,resmlp,42,2,full,topk_individual,0.8670993730058869,0.8675531914893617,7,5248,12.87005652100197,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+beitv2_base_final+convnext_v2_t,0.794806868658101
DTD,resmlp,42,3,full,topk_individual,0.8724486019267328,0.8734042553191489,7,5248,17.022586377999687,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+beitv2_base_final+convnext_v2_t,0.7976787486941135
DTD,resmlp,42,4,full,topk_individual,0.8579171565955281,0.8579787234042553,5,3712,9.522272157999396,siglip_base+dinov2_large+dinov2+dinov2_small+eva02_base,0.813441221043707
DTD,resmlp,42,5,full,topk_individual,0.8673088956758381,0.8680851063829788,5,3712,2.9459196030002204,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small,0.8144059880509295
DTD,resmlp,42,6,full,topk_individual,0.875214062649576,0.8765957446808511,6,4480,4.129041277003125,siglip_base+dinov2_large+dinov2+dinov2_small+eva02_base+beitv2_base_final,0.8060701983307504
DTD,resmlp,42,7,full,topk_individual,0.855461581075692,0.8569148936170212,7,5248,1.6240709220001008,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+beitv2_base_final+convnext_v2_t,0.8126949531412827
DTD,resmlp,42,8,full,topk_individual,0.8565847914684861,0.8585106382978723,4,2944,2.129798022004252,siglip_base+dinov2_large+dinov2+dinov2_small,0.8119641586911519
DTD,resmlp,42,9,full,topk_individual,0.8555773879859294,0.8569148936170212,4,3328,4.32309249699756,siglip_base+dinov2_large+dinov2+eva02_base,0.8245004545383734
DTD,svm,42,0,full,topk_individual,0.8719645769447979,0.8734042553191489,5,3712,21.046050105003815,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small,0.8203577722539999
DTD,svm,42,1,full,topk_individual,0.8661153319985179,0.8675531914893617,6,4480,20.240991730001042,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+beitv2_base_final,0.8166471195271622
DTD,svm,42,2,full,topk_individual,0.8746998992295328,0.875531914893617,7,5248,33.03000754599998,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+beitv2_base_final+convnext_v2_t,0.8099157239457224
DTD,svm,42,3,full,topk_individual,0.8702437177591391,0.8718085106382979,6,4480,23.525049531999684,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+beitv2_base_final,0.8169246500217578
DTD,svm,42,4,full,topk_individual,0.8726014787301294,0.8739361702127659,5,3712,30.137186001000373,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small,0.8248004409107133
DTD,svm,42,5,full,topk_individual,0.8714620476655525,0.872872340425532,7,5248,29.889681541000755,siglip_base+dinov2+dinov2_large+eva02_base+dinov2_small+beitv2_base_final+convnext_v2_t,0.811019578597316
DTD,svm,42,6,full,topk_individual,0.8844984037004693,0.8856382978723404,7,5248,36.697460326999135,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+beitv2_base_final+convnext_v2_t,0.8069842245714165
