analysis,metric,comparison,p_raw,holm_focused_4,significant_0_05,source
accuracy_primary_by_dataset,accuracy,GFS vs Individual,0.0441713449084426,0.1325140347253278,False,SCI2S MultipleTest raw p; Holm recomputed over four Individual contrasts
accuracy_primary_by_dataset,accuracy,Top-k vs Individual,0.0253473186774682,0.1013892747098728,False,SCI2S MultipleTest raw p; Holm recomputed over four Individual contrasts
accuracy_primary_by_dataset,accuracy,Completa vs Individual,0.0441713449084426,0.1325140347253278,False,SCI2S MultipleTest raw p; Holm recomputed over four Individual contrasts
accuracy_primary_by_dataset,accuracy,Individual vs Homogenea,0.1175248680966391,0.1325140347253278,False,SCI2S MultipleTest raw p; Holm recomputed over four Individual contrasts
accuracy_sensitivity_dataset_classifier,accuracy,GFS vs Individual,0.0044265258579198,0.0177061034316792,True,SCI2S MultipleTest raw p; Holm recomputed over four Individual contrasts
accuracy_sensitivity_dataset_classifier,accuracy,Top-k vs Individual,0.0056575978150643,0.0177061034316792,True,SCI2S MultipleTest raw p; Holm recomputed over four Individual contrasts
accuracy_sensitivity_dataset_classifier,accuracy,Completa vs Individual,0.0114120363860016,0.0228240727720032,True,SCI2S MultipleTest raw p; Holm recomputed over four Individual contrasts
accuracy_sensitivity_dataset_classifier,accuracy,Individual vs Homogenea,0.0327988138655456,0.0327988138655456,True,SCI2S MultipleTest raw p; Holm recomputed over four Individual contrasts
primary_by_dataset,macro_f1,GFS vs Individual,0.0441713449084426,0.1325140347253278,False,SCI2S MultipleTest raw p; Holm recomputed over four Individual contrasts
primary_by_dataset,macro_f1,Top-k vs Individual,0.0253473186774682,0.1013892747098728,False,SCI2S MultipleTest raw p; Holm recomputed over four Individual contrasts
primary_by_dataset,macro_f1,Completa vs Individual,0.0441713449084426,0.1325140347253278,False,SCI2S MultipleTest raw p; Holm recomputed over four Individual contrasts
primary_by_dataset,macro_f1,Individual vs Homogenea,0.1175248680966391,0.1325140347253278,False,SCI2S MultipleTest raw p; Holm recomputed over four Individual contrasts
sensitivity_dataset_classifier,macro_f1,GFS vs Individual,0.0026631192591385,0.010652477036554,True,SCI2S MultipleTest raw p; Holm recomputed over four Individual contrasts
sensitivity_dataset_classifier,macro_f1,Top-k vs Individual,0.007189517250165,0.021568551750495,True,SCI2S MultipleTest raw p; Holm recomputed over four Individual contrasts
sensitivity_dataset_classifier,macro_f1,Completa vs Individual,0.0114120363860016,0.0228240727720032,True,SCI2S MultipleTest raw p; Holm recomputed over four Individual contrasts
sensitivity_dataset_classifier,macro_f1,Individual vs Homogenea,0.0398326192447415,0.0398326192447415,True,SCI2S MultipleTest raw p; Holm recomputed over four Individual contrasts
