dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
DTD,svm,42,0,full,random_000,0.8361383932375116,0.8377659574468085,5,3376,27.154280419001225,densenet121+gabor+mae_base+siglip_base+vit_b16,
DTD,svm,42,0,full,random_001,0.8396052642063137,0.8404255319148937,5,2626,20.338941276000696,densenet121+eva02_base+gabor+glcm+mae_base,
DTD,svm,42,0,full,random_002,0.8677558690606895,0.8691489361702127,5,4304,13.128146753999317,dinov2_large+dinov2_small+drlbp+resnet50+siglip_base,
DTD,svm,42,0,full,random_003,0.8306758293878584,0.8329787234042553,5,5556,18.243580461999954,dinov2_small+drlbp+efficientnet_b0+hog+resnet50,
DTD,svm,42,0,full,random_004,0.8458659279991427,0.8473404255319149,5,5684,19.43446293300076,densenet121+dinov2+drlbp+hog+resnet101,
DTD,svm,42,0,full,random_005,0.8530819889235982,0.8547872340425532,5,2950,23.76093235299959,densenet121+dinov2_large+drlbp+lbp+swin_t,
DTD,svm,42,0,full,random_006,0.8474342685857099,0.8489361702127659,5,2992,23.131249701000343,densenet121+dinov2+dinov2_small+gabor+vit_b16,
DTD,svm,42,0,full,random_007,0.831758247822603,0.8329787234042553,5,5044,18.127074268999422,deit_s+drlbp+hog+resnet50+siglip_base,
DTD,svm,42,0,full,random_008,0.7783819660911934,0.7803191489361702,5,2168,18.406174851999822,efficientnet_b0+gabor+glcm+lbp+vit_b16,
DTD,svm,42,0,full,random_009,0.8352262521640194,0.8361702127659575,5,4944,14.568663904999994,drlbp+efficientnet_b0+eva02_base+resnet50+vit_b16,
DTD,svm,42,0,full,random_010,0.854552689109966,0.8558510638297873,5,3376,27.726869017000354,dinov2+dinov2_large+gabor+mae_base+vit_b16,
DTD,svm,42,0,full,random_011,0.8325339946415541,0.8340425531914893,5,4864,14.022848414999316,convnext_v2_t+deit_s+dinov2_small+efficientnet_b0+resnet50,
DTD,svm,42,0,full,random_012,0.7777286648586882,0.7797872340425532,5,3536,28.299390611999115,deit_s+densenet121+drlbp+efficientnet_b0+swin_t,
DTD,svm,42,0,full,random_013,0.83284903220644,0.8340425531914893,5,2998,23.423093396000695,convnext_v2_t+deit_s+densenet121+eva02_base+lbp,
DTD,svm,42,0,full,random_014,0.8364771666411649,0.8388297872340426,5,5402,24.568681780001498,hog+lbp+mae_base+resnet101+siglip_base,
DTD,svm,42,0,full,random_015,0.7939331843415226,0.7957446808510639,5,6726,18.13102307600093,convnext_v2_t+drlbp+glcm+hog+vgg16,
DTD,svm,42,0,full,random_016,0.7918625837951719,0.7941489361702128,5,5734,13.413628070000414,convnext_v2_t+gabor+lbp+mae_base+vgg16,
DTD,svm,42,0,full,random_017,0.8597309374387536,0.8611702127659574,5,5968,15.803712455001005,dinov2+dinov2_large+drlbp+resnet101+resnet50,
DTD,svm,42,0,full,random_018,0.8383202855810794,0.8393617021276596,5,3382,25.463873832999525,densenet121+eva02_base+lbp+swin_t+vit_b16,
DTD,svm,42,0,full,random_019,0.8698845952855877,0.8707446808510638,5,4736,13.318783017999522,deit_s+dinov2+eva02_base+resnet50+siglip_base,
DTD,svm,42,0,full,random_020,0.8499417065234207,0.851063829787234,5,3402,24.996126201000152,eva02_base+gabor+hog+lbp+siglip_base,
DTD,svm,42,0,full,random_021,0.7971917950435445,0.798936170212766,5,7014,13.220793442998911,gabor+lbp+resnet50+vgg16+vit_b16,
DTD,svm,42,0,full,random_022,0.7239378826000138,0.7276595744680852,5,3654,32.23091986700092,densenet121+drlbp+glcm+hog+mae_base,
DTD,svm,42,0,full,random_023,0.8539291544506497,0.8553191489361702,5,5248,15.024729284999921,convnext_v2_t+densenet121+dinov2_large+dinov2_small+resnet101,
DTD,svm,42,0,full,random_024,0.8571003195106307,0.8585106382978723,5,8420,19.47595627100054,convnext_v2_t+dinov2_large+hog+swin_t+vgg16,
DTD,svm,42,0,full,random_025,0.8548523975107458,0.8563829787234043,5,4608,17.2270869590011,dinov2+dinov2_large+efficientnet_b0+mae_base+swin_t,
DTD,svm,42,0,full,random_026,0.8391610440139365,0.8409574468085106,5,7734,17.805580336000276,lbp+mae_base+resnet101+siglip_base+vgg16,
DTD,svm,42,0,full,random_027,0.853143351105312,0.8542553191489362,5,7376,11.983552118999796,dinov2_small+drlbp+eva02_base+resnet101+vgg16,
DTD,svm,42,0,full,random_028,0.7996835773827955,0.8021276595744681,5,4016,12.520085373000256,convnext_v2_t+deit_s+gabor+resnet101+vit_b16,
DTD,svm,42,0,full,random_029,0.8603495254246725,0.8617021276595744,5,6784,13.848217328999453,deit_s+dinov2+eva02_base+mae_base+vgg16,
DTD,svm,42,0,full,random_030,0.8607014650818171,0.8622340425531915,5,3456,27.043616790999295,dinov2+dinov2_small+mae_base+siglip_base+vit_b16,
DTD,svm,42,0,full,random_031,0.8477111629950885,0.8489361702127659,5,5988,19.14860794499873,deit_s+dinov2_large+hog+resnet50+swin_t,
DTD,svm,42,0,full,random_032,0.8412089860995238,0.8420212765957447,5,4400,13.424720564000381,eva02_base+gabor+mae_base+resnet50+swin_t,
DTD,svm,42,0,full,random_033,0.8295402264357306,0.8308510638297872,5,5266,13.579596304000006,deit_s+glcm+resnet101+resnet50+siglip_base,
DTD,svm,42,0,full,random_034,0.8302661703970767,0.8319148936170213,5,2640,19.692652674999408,convnext_v2_t+deit_s+densenet121+dinov2_small+drlbp,
DTD,svm,42,0,full,random_035,0.8455319636171681,0.8473404255319149,5,3622,29.620420166998883,dinov2_large+gabor+glcm+hog+swin_t,
DTD,svm,42,0,full,random_036,0.8694042635903018,0.8707446808510638,5,4656,14.146459237999807,convnext_v2_t+dinov2_large+eva02_base+gabor+resnet50,
DTD,svm,42,0,full,random_037,0.8516752262687721,0.8526595744680852,5,3558,21.313218449999113,deit_s+dinov2_large+gabor+lbp+resnet50,
DTD,svm,42,0,full,random_038,0.794498497185375,0.7973404255319149,5,6978,14.269204200998502,convnext_v2_t+gabor+glcm+resnet101+vgg16,
DTD,svm,42,0,full,random_039,0.8700103580624686,0.8712765957446809,5,5906,15.336309980000806,dinov2_large+eva02_base+glcm+resnet101+resnet50,
DTD,svm,42,0,full,random_040,0.8545518384121668,0.8569148936170212,5,5622,19.881689772000755,dinov2+dinov2_large+glcm+hog+resnet101,
DTD,svm,42,0,full,random_041,0.8430479433614789,0.8441489361702128,5,4272,13.102386524000394,deit_s+densenet121+dinov2+gabor+resnet50,
DTD,svm,42,0,full,random_042,0.853859276763026,0.8553191489361702,5,8218,22.67812033899827,dinov2_large+efficientnet_b0+hog+lbp+vgg16,
