dataset,classifier,seed,outer_fold,gfs_macro_f1,random_b,random_mean,random_std,random_max,gfs_percentile,empirical_p
CUReT,resmlp,42,0,0.9971484189474268,100,0.9862094129855987,0.016716533678314802,0.997868973216926,0.89,0.1188118811881188
CUReT,resmlp,42,1,0.9989307361068334,100,0.9979225280369799,0.0026488154900666324,1.0,0.5,0.504950495049505
CUReT,svm,42,0,0.9982176407303268,100,0.9941101255322864,0.0037609031495416893,0.9982176407303268,0.98,0.0297029702970297
CUReT,svm,42,1,0.9992871574045556,100,0.9980475684321622,0.0016105584779476192,0.9996435787022778,0.73,0.27722772277227725
DTD,resmlp,42,0,0.867949073332511,100,0.8285411089341753,0.035904405249386026,0.8728527452695553,0.96,0.04950495049504951
DTD,resmlp,42,1,0.8676177034995756,100,0.8461047060369313,0.019250997595347978,0.8721381138395446,0.94,0.06930693069306931
DTD,resmlp,42,2,0.8701172782843075,100,0.8375328859005807,0.027185083461553895,0.8687885740856635,1.0,0.009900990099009901
DTD,resmlp,42,3,0.8779127725628006,100,0.8474661615273805,0.02161630404505588,0.8812664804602586,0.99,0.019801980198019802
DTD,resmlp,42,4,0.8629628330658107,100,0.8301736647453875,0.03264868660946508,0.8673161699386349,0.94,0.06930693069306931
DTD,resmlp,42,5,0.8697527800631069,100,0.8387946702567339,0.02391392068165046,0.870431528270323,0.99,0.019801980198019802
DTD,resmlp,42,6,0.8830313341248496,100,0.8421653995463546,0.026743843142351814,0.8757752888822543,1.0,0.009900990099009901
DTD,resmlp,42,7,0.8512886544377756,100,0.8219302169778955,0.02267821383108808,0.8538559752298122,0.98,0.0297029702970297
DTD,resmlp,42,8,0.8603552990070068,100,0.8156226039122174,0.04169562356269283,0.8691352473618298,0.96,0.04950495049504951
DTD,resmlp,42,9,0.857447241085092,100,0.804905635315007,0.04755515179457035,0.8594184096077838,0.98,0.0297029702970297
DTD,svm,42,0,0.8806984863760254,100,0.8319579610858656,0.031841912320234735,0.8711185467644961,1.0,0.009900990099009901
DTD,svm,42,1,0.8627112503680314,100,0.8370985498083623,0.03165923869185583,0.8743116837567102,0.88,0.12871287128712872
DTD,svm,42,2,0.8713991601892999,100,0.8408794020535703,0.02738945152378362,0.8701732643074256,1.0,0.009900990099009901
DTD,svm,42,3,0.8781074965106591,100,0.83785523126669,0.032585428747129074,0.8750684564549874,1.0,0.009900990099009901
DTD,svm,42,4,0.8736016973754247,100,0.8359482846425592,0.031123079298769875,0.8735912442382698,1.0,0.009900990099009901
DTD,svm,42,5,0.8696103782207478,100,0.8397258555182154,0.021637730557953178,0.8725800562759158,0.98,0.0297029702970297
DTD,svm,42,6,0.8810232775698907,100,0.8504368437351136,0.023039023641302316,0.8834671338548098,0.99,0.019801980198019802
DTD,svm,42,7,0.8512089928576037,100,0.8295875140006607,0.01784425198701754,0.8487700930118808,1.0,0.009900990099009901
DTD,svm,42,8,0.8643892000485681,100,0.8493348307766868,0.015048027144423845,0.8712780052960152,0.84,0.16831683168316833
DTD,svm,42,9,0.8613611623891602,100,0.8124239139710632,0.04559182194871034,0.8665029132260911,0.99,0.019801980198019802
FMD,resmlp,42,0,0.949503410233774,100,0.8716059349343385,0.08577549107470206,0.9600389480877284,0.94,0.06930693069306931
FMD,resmlp,42,1,0.9898587933247752,100,0.8841432388873927,0.11237765758518696,0.9899968730456536,0.99,0.019801980198019802
FMD,resmlp,42,2,0.9799906191369606,100,0.9434165734679253,0.024823741862112707,0.9799906191369606,0.98,0.0297029702970297
FMD,resmlp,42,3,0.9899937460913072,100,0.9660258541006772,0.02149695680808206,1.0,0.86,0.1485148514851485
FMD,resmlp,42,4,0.9701067631555436,100,0.931088144086088,0.04215178462652931,0.9751067631555436,0.97,0.039603960396039604
FMD,resmlp,123,0,0.9799718103890118,100,0.9531544262655238,0.029082098592227865,0.9851067631555438,0.92,0.0891089108910891
FMD,resmlp,123,1,0.9849937460913072,100,0.8399464856372251,0.18818959259143245,0.9899937460913072,0.99,0.019801980198019802
FMD,resmlp,123,2,0.984971810389012,100,0.9610505399937916,0.021042490616937342,0.984971810389012,0.89,0.1188118811881188
FMD,resmlp,123,3,0.9547556260123058,100,0.903470222701791,0.05138463343753671,0.9699467477323702,0.94,0.06930693069306931
FMD,resmlp,123,4,0.984971810389012,100,0.9314051393341374,0.02763448587432154,0.9799785580273384,1.0,0.009900990099009901
FMD,resmlp,2026,0,0.9799785580273384,100,0.9192048601772983,0.03681183492627866,0.9749968730456532,1.0,0.009900990099009901
FMD,resmlp,2026,1,0.9698472259447868,100,0.8810706792670888,0.09300469422857248,0.9798587933247752,0.97,0.039603960396039604
FMD,resmlp,2026,2,0.9899937460913072,100,0.9682965007859821,0.025561225264909393,0.9949968730456537,0.8,0.2079207920792079
FMD,resmlp,2026,3,0.9799718103890118,100,0.9450225086084854,0.027619689171764116,0.98510989010989,0.94,0.06930693069306931
FMD,resmlp,2026,4,0.9849906191369604,100,0.9326507839408279,0.03816031038546524,0.9849968730456536,0.97,0.039603960396039604
FMD,svm,42,0,0.9599467477323704,100,0.8727668039856762,0.08135778915847063,0.9596585271809918,1.0,0.009900990099009901
FMD,svm,42,1,0.9949968730456537,100,0.955895842359089,0.028359866915458408,0.99010989010989,1.0,0.009900990099009901
FMD,svm,42,2,0.9701928684007676,100,0.9410571940919723,0.03150923267511647,0.9849937460913072,0.91,0.09900990099009901
FMD,svm,42,3,0.9949968730456537,100,0.9517459306832653,0.04102812885547419,1.0,0.93,0.07920792079207921
FMD,svm,42,4,0.9799906191369606,100,0.9415481768685745,0.030458222471473922,0.9799906191369606,0.99,0.019801980198019802
FMD,svm,123,0,0.9851067631555438,100,0.9334837603267016,0.08020535037168498,0.9851067631555438,0.98,0.0297029702970297
FMD,svm,123,1,0.9899937460913072,100,0.8992973314747226,0.11938462126854284,0.9899937460913072,0.98,0.0297029702970297
FMD,svm,123,2,0.9698337306681336,100,0.9080868569987455,0.1275391233112569,0.984981684981685,0.72,0.2871287128712871
FMD,svm,123,3,0.9599113954877158,100,0.9094556843963981,0.0529445196015381,0.964672647721428,0.97,0.039603960396039604
FMD,svm,123,4,0.965077633107158,100,0.9092373114023975,0.0634659012879711,0.9849906191369604,0.83,0.1782178217821782
FMD,svm,2026,0,0.9647055255399286,100,0.9112892477105753,0.042814657621711896,0.9651834875377284,0.97,0.039603960396039604
FMD,svm,2026,1,0.9592793034256448,100,0.9148999894422356,0.05607672061781571,0.974975431072992,0.92,0.0891089108910891
FMD,svm,2026,2,0.9949968730456537,100,0.9630808255371993,0.03003461504020613,0.9949968730456537,0.99,0.019801980198019802
FMD,svm,2026,3,0.9748039798039798,100,0.9189655059547046,0.08290750854706919,0.9802287143750558,0.87,0.13861386138613863
FMD,svm,2026,4,0.984971810389012,100,0.9196503721720798,0.05225664752339049,0.9899937460913072,0.95,0.0594059405940594
