row_id,label,group,source_path,source_sha256,pixel_sha256,width,height,format,official_split,source_version
0,Alluvial_Soil,Alluvial_Soil:1,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/1.jpg,4ed9b4c226ee211738c29a187074b6dae93290e2b94b33457c68f3748165ba3b,a521176ea2bcc172db7cd3977eb12988263f72ef1173597940bb6b1b7e156eb4,1000,316,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
1,Alluvial_Soil,Alluvial_Soil:10,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/10.jpg,f655434672603bfd45e205e5f86a9b1631d4a8af358959269fcf838b970d2310,474384d697803eb7829535eb3acd3f8f7f998b1bcf84011f8acd89598907ad2c,264,550,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
2,Alluvial_Soil,Alluvial_Soil:100,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/100.jpg,af2d59e98c499c7f858bd30a675f9ac227368d8b2be4c087d665e8d75535c04e,1ae80a01ceb02b5e42a2b22fcbca2022309cfc2ccb7a8d8bf088048c432b55a5,961,667,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
3,Alluvial_Soil,Alluvial_Soil:101,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/101.jpg,b05f3e2d99423da2b0435cf9c00d1663f55b59360e02b9c41b08f7af637cbdfc,57032527118dc9ae61babba4d07aaa651d35574939acc279c360a8f52868a8a9,626,417,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
4,Alluvial_Soil,Alluvial_Soil:103,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/103.jpg,8d82739b8b2364f45d6478829b34a6ea39aa5e3dd9cc2e9b3deadc0267310d41,410e6180a3c6db481851508148a223a4166d8c7c64c06c8ce95526b46b5df314,1300,846,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
5,Alluvial_Soil,Alluvial_Soil:104,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/104.jpg,c42e69a8f12fdee8df9e78925c9821ed1bdb30dade83f2850036c9897d4ddde9,427b96750846030f7014754cd4c12813af1db1f9181b210e91d3da36f51d7549,540,360,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
6,Alluvial_Soil,Alluvial_Soil:105,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/105.jpg,2bbd3023f7b7c246b7586fd6204dffdfb5deb6f1fa454e90239ba973c4e651f7,fdc2a05b507300436abbbe9c571f4aaca4b12a054050013cfe511c2e221f190b,390,252,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
7,Alluvial_Soil,Alluvial_Soil:11,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/11.jpg,9e247eab3fae575c630382347758fb939ba2e794bda193f2e494a7b6d09f65ff,3192b8d546e38c701ae2ea66698eb8460b373609762abb420a0a9472ba3bedf2,273,511,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
8,Alluvial_Soil,Alluvial_Soil:12,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/12.jpg,65422199430a7ef294d6c03a9d5a63df3da97b03e9664be11afff2ad73d77c7c,683f0fa1c588c1e07a3b77cc48003c2474a8cdad8d4907d951474bfb4c1767d1,482,421,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
9,Alluvial_Soil,Alluvial_Soil:13,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/13.jpg,a720a3f0b0a41c5835dde601b2c7f38e129a2eafe234293700cb2926f29d6eb0,bd5476dfd6feef70110cf312b798e453d7a60e91f832b2c1a1dc1186ebff33dd,644,648,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
10,Alluvial_Soil,Alluvial_Soil:14,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/14.jpg,58f85c88516f32b3db57d7d74ba7f856c5870f888428f807a59cccdfcc3596d3,b69c4a27e5c3c3ecfc61f5af48d7658a30be160d9ff814169785dddb5013430a,532,264,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
11,Alluvial_Soil,Alluvial_Soil:15,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/15.jpg,782aa2e6c4938078c91b55cf9d6b2dca9b41290111af70574718a5518a3bf3a8,34275bc3c74d607403e4c3d1d2d8f89d0ec8be65a9e885f7c57ff01e685d20e2,561,307,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
12,Alluvial_Soil,Alluvial_Soil:16,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/16.jpg,e830f2ca2da8b858a7991f38b9e9d73be43637fc84c19df8ad39e1c6953c9a82,6e453ed93bc2446ae76a7593b8e27fcc457458243f9deed5f700282cb7a6624e,842,360,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
13,Alluvial_Soil,Alluvial_Soil:17,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/17.jpg,d37aca0895fd757aef7924c81b2db8bb6f53ca4de2e12a81a52dd3096d52729e,0e916269867be4174bd0b8214ce9e36dd4941c68b41d326d5a90d2898539ec5a,140,217,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
14,Alluvial_Soil,Alluvial_Soil:18,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/18.jpg,aaead9921421d13220e8e2f6a9b8465d2c1f688a0f976099224c02cb17ed9f1e,514d353974d5fb76b31b0d10d4a24ca642c9360a6632deb8db821a4b0f343f4d,1024,714,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
15,Alluvial_Soil,Alluvial_Soil:180,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/180.jpg,a8b63b60eebb01a3e19f158f78ea9c1a17990cd21e369366d7657ecea645bf79,70760e955f76a740eaf8511f801c53a3fa52bcccd8adbe8e246ae9fd81408ca0,569,630,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
16,Alluvial_Soil,Alluvial_Soil:19,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/19.jpg,5568bc2f0c5f1d72d067f7000c355ad8f51234fd081d22732bfcb91b16907bb6,ac6432e593f47605977b0a7cd5f12097ec05c51902cf3f9a942177e84e4c97d2,1000,466,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
17,Alluvial_Soil,Alluvial_Soil:2,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/2.jpg,5b32360d4a7b0a5a167caacc7432b5b195a00acee578061fc200be1dd9be7587,283b379a08c1664eaf3c6413996dd1c96d7fe4140ac2dd3dc3064523f61bf547,850,781,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
18,Alluvial_Soil,Alluvial_Soil:20,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/20.jpg,c49df2cbfdd13386241b0e89b003f78ecb419ef89aed8764c96cd2f39940f841,534e59d18b7a53fa13dcd19cb269bbe8b3b287e913356e0ab619dd727c49c151,1000,600,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
19,Alluvial_Soil,Alluvial_Soil:200,results/confirmatory/recovery/soil/staging/original/Alluvial_Soil/200.jpg,a4a0a50f58a71a5f2d47e6e4b448a45a5c51438e1acb351d682d400fab6ede5f,cd35467c5b2eecd9ed6acd46a52c70db120089f683c3d77fb6507d0831eafafe,1425,1200,JPEG,NONE_DEFINED_BY_ARCHIVE,Kaggle ai4a-lab/comprehensive-soil-classification-datasets v1
