dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
FMD,resmlp,42,0,full,random_000,0.8047965189948055,0.805,3,6162,1.677414609992411,glcm+resnet50+vgg16,
FMD,resmlp,42,0,full,random_001,0.9405454602517025,0.94,3,2896,1.6447724609897705,dinov2+drlbp+resnet50,
FMD,resmlp,42,0,full,random_002,0.9398342243977675,0.94,3,3840,1.534668612992391,densenet121+eva02_base+resnet101,
FMD,resmlp,42,0,full,random_003,0.9138601957064806,0.915,3,3584,1.3453472440014593,eva02_base+resnet50+swin_t,
FMD,resmlp,42,0,full,random_004,0.9296786665207717,0.93,3,2896,1.5145004770020023,drlbp+resnet50+siglip_base,
FMD,resmlp,42,0,full,random_005,0.8194208862758285,0.82,3,1232,1.6837594239914324,deit_s+drlbp+mae_base,
FMD,resmlp,42,0,full,random_006,0.9147274834231875,0.915,3,2450,1.2997670830081915,dinov2_small+glcm+resnet101,
FMD,resmlp,42,0,full,random_007,0.8599983307236195,0.86,3,2102,1.2598031670058845,efficientnet_b0+lbp+swin_t,
FMD,resmlp,42,0,full,random_008,0.909268833798941,0.91,3,2560,1.3490942180069396,densenet121+eva02_base+mae_base,
FMD,resmlp,42,0,full,random_009,0.8348306897087385,0.835,3,3072,1.4423204320046352,densenet121+efficientnet_b0+mae_base,
FMD,resmlp,42,0,full,random_010,0.8137597945370283,0.815,3,4498,1.4024018259951845,deit_s+glcm+vgg16,
FMD,resmlp,42,0,full,random_011,0.7675119581141017,0.765,3,1152,1.359988575000898,densenet121+drlbp+gabor,
FMD,resmlp,42,0,full,random_012,0.9346852044078663,0.935,3,3584,1.2229944110003999,convnext_v2_t+resnet101+siglip_base,
FMD,resmlp,42,0,full,random_013,0.7404625404625405,0.745,3,2228,1.9008240569964983,deit_s+drlbp+hog,
FMD,resmlp,42,0,full,random_014,0.7849932088346723,0.785,3,2182,1.522727343995939,drlbp+lbp+resnet50,
FMD,resmlp,42,0,full,random_015,0.9245667071382808,0.925,3,2836,1.4126321540097706,dinov2_large+gabor+hog,
FMD,resmlp,42,0,full,random_016,0.7995687185222068,0.8,3,1346,1.2126972940022824,efficientnet_b0+gabor+glcm,
FMD,resmlp,42,0,full,random_017,0.939649324873972,0.94,3,1616,1.0717026430065744,convnext_v2_t+drlbp+eva02_base,
FMD,resmlp,42,0,full,random_018,0.9393526168750815,0.94,3,3090,1.3055098399927374,dinov2_large+glcm+resnet50,
FMD,resmlp,42,0,full,random_019,0.918924659341861,0.92,3,1810,1.180208728008438,dinov2_large+glcm+mae_base,
FMD,resmlp,42,0,full,random_020,0.8640486726655638,0.865,3,3072,1.5791428290103795,convnext_v2_t+densenet121+efficientnet_b0,
FMD,resmlp,42,0,full,random_021,0.9246779363518177,0.925,3,2916,1.5318615400028648,dinov2+dinov2_small+hog,
FMD,resmlp,42,0,full,random_022,0.8240033876789408,0.825,3,1488,1.8379587490053382,deit_s+densenet121+drlbp,
FMD,resmlp,42,0,full,random_023,0.9144103441115113,0.915,3,1170,1.1648203009972349,convnext_v2_t+dinov2_small+glcm,
FMD,resmlp,42,0,full,random_024,0.8151499862282916,0.815,3,4534,1.5354576469981112,deit_s+lbp+vgg16,
FMD,resmlp,42,0,full,random_025,0.8053780470304339,0.805,3,6912,1.9925748100067722,mae_base+resnet50+vgg16,
FMD,resmlp,42,0,full,random_026,0.919436183999727,0.92,3,1158,1.1875843929883558,dinov2_large+drlbp+lbp,
FMD,resmlp,42,0,full,random_027,0.883244652124701,0.885,3,2586,1.6234460200066678,convnext_v2_t+hog+lbp,
FMD,resmlp,42,0,full,random_028,0.9098650567797059,0.91,3,2560,1.2087390939996112,densenet121+siglip_base+vit_b16,
FMD,resmlp,42,0,full,random_029,0.8247263338108788,0.825,3,2864,1.7494580930069787,gabor+mae_base+resnet101,
FMD,resmlp,42,0,full,random_030,0.8998289552095862,0.9,3,1616,1.666880251999828,convnext_v2_t+drlbp+vit_b16,
FMD,resmlp,42,0,full,random_031,0.9498001582661402,0.95,3,3152,1.5617337970033986,dinov2_large+drlbp+resnet50,
FMD,resmlp,42,0,full,random_032,0.9195458710606337,0.92,3,3584,1.2324120749981375,dinov2+resnet50+vit_b16,
FMD,resmlp,42,0,full,random_033,0.8561213888525291,0.855,3,6400,1.676033452997217,densenet121+efficientnet_b0+vgg16,
FMD,resmlp,42,0,full,random_034,0.9244848670971907,0.925,3,834,1.26708966899605,dinov2+gabor+glcm,
FMD,resmlp,42,0,full,random_035,0.8479857163233288,0.85,3,4580,2.0947929629910504,hog+mae_base+resnet101,
FMD,resmlp,42,0,full,random_036,0.7734917926606735,0.775,3,4198,1.9386791870056186,gabor+lbp+vgg16,
FMD,resmlp,42,0,full,random_037,0.9297392872424967,0.93,3,2384,1.2424689890031004,dinov2_large+drlbp+efficientnet_b0,
FMD,resmlp,42,0,full,random_038,0.9101465285790746,0.91,3,2304,1.3626110059994971,mae_base+siglip_base+vit_b16,
FMD,resmlp,42,0,full,random_039,0.9600389480877285,0.96,3,834,1.3707000279973727,gabor+glcm+siglip_base,
FMD,resmlp,42,0,full,random_040,0.7762684762835848,0.775,3,1810,1.696698720988934,densenet121+glcm+mae_base,
FMD,resmlp,42,0,full,random_041,0.9396480787944202,0.94,3,2896,1.2105473049887223,drlbp+eva02_base+resnet101,
FMD,resmlp,42,0,full,random_042,0.9299468194205037,0.93,3,2560,1.2294786520069465,convnext_v2_t+dinov2_large+mae_base,
FMD,resmlp,42,0,full,random_043,0.924787144334268,0.925,3,1200,1.0142943219980225,convnext_v2_t+dinov2_small+gabor,
FMD,resmlp,42,0,full,random_044,0.7643253108369389,0.765,3,4882,1.380642648000503,glcm+mae_base+vgg16,
FMD,resmlp,42,0,full,random_045,0.9447274364013177,0.945,3,2176,1.0195415409980342,dinov2_large+dinov2_small+eva02_base,
FMD,resmlp,42,0,full,random_046,0.9351094185612203,0.935,3,3300,1.6757476790080545,hog+siglip_base+vit_b16,
FMD,resmlp,42,0,full,random_047,0.8750818907237393,0.875,3,3584,1.1987996410025517,resnet50+swin_t+vit_b16,
FMD,resmlp,42,0,full,random_048,0.8497972959550115,0.85,3,6912,1.4785189399990486,resnet50+vgg16+vit_b16,
FMD,resmlp,42,0,full,random_049,0.9394974442342864,0.94,3,3200,1.1520018320006784,dinov2_small+eva02_base+resnet101,
FMD,resmlp,42,0,full,random_050,0.8444555307021122,0.845,3,2870,1.5258448410022538,lbp+resnet101+vit_b16,
FMD,resmlp,42,0,full,random_051,0.754342462959354,0.755,3,4944,1.7921686689951457,drlbp+mae_base+vgg16,
FMD,resmlp,42,0,full,random_052,0.8401224067077727,0.84,3,3126,1.6972733519942267,densenet121+lbp+resnet50,
FMD,resmlp,42,0,full,random_053,0.9596585271809918,0.96,3,3300,1.4454699019988766,dinov2+hog+siglip_base,
FMD,resmlp,42,0,full,random_054,0.90020481950207,0.9,3,6912,1.383421909995377,dinov2+resnet50+vgg16,
FMD,resmlp,42,0,full,random_055,0.9186803534030151,0.92,3,3584,1.5888448519981466,eva02_base+resnet101+swin_t,
FMD,resmlp,42,0,full,random_056,0.8878053446213985,0.89,3,4196,1.784618424004293,dinov2_small+hog+resnet50,
FMD,resmlp,42,0,full,random_057,0.940057131571894,0.94,3,2816,1.3110673329938436,densenet121+dinov2+dinov2_large,
FMD,resmlp,42,0,full,random_058,0.8528542339132841,0.855,3,3584,1.9601287630066508,mae_base+resnet50+swin_t,
FMD,resmlp,42,0,full,random_059,0.9101465285790746,0.91,3,2304,1.337679817006574,mae_base+siglip_base+vit_b16,
FMD,resmlp,42,0,full,random_060,0.835035002599262,0.835,3,1920,1.4268681219982682,deit_s+mae_base+vit_b16,
FMD,resmlp,42,0,full,random_061,0.9342512707660333,0.935,3,2816,1.0568477859924315,convnext_v2_t+dinov2+efficientnet_b0,
FMD,resmlp,42,0,full,random_062,0.9342392096564112,0.935,3,1616,1.2403462780057453,convnext_v2_t+drlbp+siglip_base,
FMD,resmlp,42,0,full,random_063,0.80166155686053,0.805,3,1554,1.66810538500431,glcm+mae_base+vit_b16,
FMD,resmlp,42,0,full,random_064,0.8092029364756774,0.81,3,4918,1.5576673680043314,lbp+swin_t+vgg16,
FMD,resmlp,42,0,full,random_065,0.9496601399040422,0.95,3,1810,1.2932583510119002,dinov2_large+eva02_base+glcm,
FMD,resmlp,42,0,full,random_066,0.9406282244480604,0.94,3,4096,1.4079530180024449,dinov2+efficientnet_b0+resnet50,
FMD,resmlp,42,0,full,random_067,0.7925857262650109,0.795,3,486,1.7135162129998207,deit_s+gabor+lbp,
FMD,resmlp,42,0,full,random_068,0.7861023943787099,0.785,3,1872,2.058572809008183,densenet121+drlbp+mae_base,
FMD,resmlp,42,0,full,random_069,0.9297566441446492,0.93,3,1920,1.3138165429991204,convnext_v2_t+deit_s+eva02_base,
FMD,resmlp,42,0,full,random_070,0.9194258457531289,0.92,3,456,1.7455846119992202,dinov2_small+glcm+lbp,
FMD,resmlp,42,0,full,random_071,0.878552900624728,0.88,3,3200,1.483173375003389,dinov2_small+mae_base+resnet50,
FMD,resmlp,42,0,full,random_072,0.9439504177346372,0.945,3,1846,1.1170842819992686,dinov2_large+lbp+siglip_base,
FMD,resmlp,42,0,full,random_073,0.8383605726651373,0.84,3,3300,2.1103648190037347,hog+mae_base+vit_b16,
FMD,resmlp,42,0,full,random_074,0.9548272629444078,0.955,3,1920,1.2241418800113024,deit_s+dinov2+siglip_base,
FMD,resmlp,42,0,full,random_075,0.9499409875533111,0.95,3,1590,1.2299575329961954,dinov2+lbp+swin_t,
FMD,resmlp,42,0,full,random_076,0.8255306946555416,0.825,3,5430,1.6374459429935087,efficientnet_b0+lbp+vgg16,
FMD,resmlp,42,0,full,random_077,0.9198519357569422,0.92,3,2896,1.4870407139969757,drlbp+resnet101+siglip_base,
FMD,resmlp,42,0,full,random_078,0.8781428261530959,0.88,3,834,1.4824994829978095,convnext_v2_t+gabor+glcm,
FMD,resmlp,42,0,full,random_079,0.9296352360459593,0.93,3,2816,1.3009387299971422,densenet121+dinov2_large+vit_b16,
FMD,resmlp,42,0,full,random_080,0.8777880282758332,0.88,3,4882,1.3567620079993503,convnext_v2_t+glcm+vgg16,
FMD,resmlp,42,0,full,random_081,0.9345812859227494,0.935,3,1554,1.3345425970037468,eva02_base+glcm+swin_t,
FMD,resmlp,42,0,full,random_082,0.845299889078138,0.845,3,834,1.6812304860068252,gabor+glcm+swin_t,
FMD,resmlp,42,0,full,random_083,0.7725890675801422,0.775,3,2202,0.858959536999464,deit_s+hog+lbp,
FMD,resmlp,42,0,full,random_084,0.9300298823983034,0.93,3,2896,1.3173602400056552,dinov2+drlbp+resnet101,
FMD,resmlp,42,0,full,random_085,0.8599983307236195,0.86,3,2102,1.6186481229960918,efficientnet_b0+lbp+swin_t,
FMD,resmlp,42,0,full,random_086,0.8787204671231015,0.88,3,1536,1.5457435629941756,deit_s+dinov2_small+mae_base,
FMD,resmlp,42,0,full,random_087,0.9095865194824804,0.91,3,2560,1.4361503300024197,densenet121+dinov2+mae_base,
FMD,resmlp,42,0,full,random_088,0.8835643794662513,0.885,3,1590,1.5441452080121962,convnext_v2_t+lbp+mae_base,
FMD,resmlp,42,0,full,random_089,0.7873070617486535,0.79,3,5914,2.1922131210012594,hog+lbp+vgg16,
FMD,resmlp,42,0,full,random_090,0.7520884315155443,0.755,3,2196,1.777774311005487,deit_s+gabor+hog,
FMD,resmlp,42,0,full,random_091,0.9243635516137532,0.925,3,2868,1.6467852310015587,dinov2_large+drlbp+hog,
FMD,resmlp,42,0,full,random_092,0.808968431752948,0.81,3,4176,1.6910854460002156,drlbp+resnet101+resnet50,
FMD,resmlp,42,0,full,random_093,0.8842871633927549,0.885,3,4480,1.4646701349993236,dinov2_small+resnet101+resnet50,
FMD,resmlp,42,0,full,random_094,0.7840852150521674,0.785,3,3866,1.8922700289986096,hog+lbp+resnet50,
FMD,resmlp,42,0,full,random_095,0.8186721581152426,0.82,3,5248,1.8311237049929332,deit_s+mae_base+vgg16,
FMD,resmlp,42,0,full,random_096,0.8381975383108322,0.84,3,5120,1.6707990700087976,densenet121+resnet101+resnet50,
FMD,resmlp,42,0,full,random_097,0.9296831431298698,0.93,3,1846,1.3160434239980532,densenet121+eva02_base+lbp,
FMD,resmlp,42,0,full,random_098,0.2705948353252335,0.275,3,1898,1.4778894930059323,drlbp+hog+lbp,
FMD,resmlp,42,0,full,random_099,0.9447695362842989,0.945,3,1206,1.210505439012195,dinov2_small+eva02_base+lbp,
