row_id,path,label,class_name,condition_id,condition_position,group,sha256,benchmark_half,split_provenance
0,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-002.png,0,sample01,002,0,002,1b92d4260c2241299a8279d0e1c18cacd5e919c4aff834fec39367bae6e42ed6,alternating_a,deterministic alternating reproduction
1,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-011.png,0,sample01,011,1,011,7cbff056f8dafa305f864a524060f953364be64613727a24e4e766f534b029e8,alternating_b,deterministic alternating reproduction
2,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-014.png,0,sample01,014,2,014,96659376db598b63f492ebc74a92900d61b275f51cb2b025ffba19f5b45205c3,alternating_a,deterministic alternating reproduction
3,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-016.png,0,sample01,016,3,016,bc525a9728bce61a3f30228ae4c6404d66d2621d2c3949af759729b94b090812,alternating_b,deterministic alternating reproduction
4,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-017.png,0,sample01,017,4,017,25ae963277027817003871a1fc80dde4021109a3147183d132ed4f7d863e4249,alternating_a,deterministic alternating reproduction
5,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-019.png,0,sample01,019,5,019,c4280bb7218f71457350bfb0b55ba7365c736267c54ccd528665d76754c77dc4,alternating_b,deterministic alternating reproduction
6,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-022.png,0,sample01,022,6,022,a50153643961c30490c54812bd0f3f7c23f28a10c738aa09f94e8b8f54b5af6c,alternating_a,deterministic alternating reproduction
7,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-025.png,0,sample01,025,7,025,43a2a6a8246111537cb5fc1a05b01f39963ca8b542818f13f4ee14dba70c733e,alternating_b,deterministic alternating reproduction
8,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-026.png,0,sample01,026,8,026,287bdd9c3aee61abbde222a7164f3db64a0a468f89d43cde95268335914788f9,alternating_a,deterministic alternating reproduction
9,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-028.png,0,sample01,028,9,028,8b16e11fb5b004045741692660479660831f2981690aa6f6871f8eee7b6de0ff,alternating_b,deterministic alternating reproduction
10,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-030.png,0,sample01,030,10,030,0e735ab4299c463f1c4a67aeecb0e71bf2e09a75392781dcc226d5828c2fad6d,alternating_a,deterministic alternating reproduction
11,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-032.png,0,sample01,032,11,032,65a4b04c26113591205bd4dc855fb6e7fdcd5a4080a4c077ffdc4367217d7e03,alternating_b,deterministic alternating reproduction
12,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-033.png,0,sample01,033,12,033,a4a4679f95b6559f5dfe093d3bb25c8adab0a9e34155ce1fcc1b7f9f72817ab1,alternating_a,deterministic alternating reproduction
13,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-035.png,0,sample01,035,13,035,46a7dbea39eb16ec6a4623b4e4cf0806692e58b8ce56b521e569812fbb5ba0eb,alternating_b,deterministic alternating reproduction
14,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-036.png,0,sample01,036,14,036,852124240f3169592d3d7da1ad6419a44c5952cf67f683b95de80882a0858c5e,alternating_a,deterministic alternating reproduction
15,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-037.png,0,sample01,037,15,037,770bfbd90ce003b4bcdb201af93b1afc23f316ecfc057e418c3d3c0247f669fc,alternating_b,deterministic alternating reproduction
16,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-039.png,0,sample01,039,16,039,33f0477cb518ef70b02cdb9e4ece3c517d6adf3836d5d762de2f00159077b810,alternating_a,deterministic alternating reproduction
17,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-041.png,0,sample01,041,17,041,ee31aaad9ebc2175c5a1c076982990af4a7707263a44dbb46401ff3161d9e900,alternating_b,deterministic alternating reproduction
18,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-042.png,0,sample01,042,18,042,1eff4ca3f98c6c61a49acc205597b2755117feb8e4fee342b8f49d3f76559018,alternating_a,deterministic alternating reproduction
19,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-043.png,0,sample01,043,19,043,b6694ad7f82e6b688c3e6085f946537fb13da8fa7a6467142045565856875109,alternating_b,deterministic alternating reproduction
20,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-044.png,0,sample01,044,20,044,59a9f701d6887a27cdd4fc2509c42462e59509cc4513b49ff3372c534872d163,alternating_a,deterministic alternating reproduction
21,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-045.png,0,sample01,045,21,045,862c7c1a8880bc9393f908c7a77edca119198fdabe088731d018bd9f0c3a52fd,alternating_b,deterministic alternating reproduction
22,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-046.png,0,sample01,046,22,046,6896e3b1d1c1242922898c214ae9b12ba08f43e37206198f14bca5a251336f3d,alternating_a,deterministic alternating reproduction
23,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-047.png,0,sample01,047,23,047,01e9cdd759c77e40b792fbcef375bd1ee4f43859703aa2f47068948bc3d8fc68,alternating_b,deterministic alternating reproduction
24,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-048.png,0,sample01,048,24,048,785eadeb2ae4016e68daa0b95769a923aada692e360b0074b54b77026d19b1f5,alternating_a,deterministic alternating reproduction
