dataset,classifier,extractor,family,count,frequency
CUReT,resmlp,dinov2,see runner family map,1,0.5
CUReT,resmlp,dinov2_large,see runner family map,1,0.5
CUReT,resmlp,dinov2_small,see runner family map,1,0.5
CUReT,resmlp,resnet101,see runner family map,1,0.5
CUReT,resmlp,resnet50,see runner family map,1,0.5
CUReT,resmlp,vit_b16,see runner family map,1,0.5
CUReT,svm,densenet121,see runner family map,1,0.5
CUReT,svm,dinov2,see runner family map,1,0.5
CUReT,svm,dinov2_large,see runner family map,2,1.0
CUReT,svm,dinov2_small,see runner family map,1,0.5
CUReT,svm,efficientnet_b0,see runner family map,1,0.5
CUReT,svm,eva02_base,see runner family map,1,0.5
CUReT,svm,hog,see runner family map,1,0.5
CUReT,svm,vit_b16,see runner family map,1,0.5
DTD,resmlp,convnext_v2_t,see runner family map,1,0.1
DTD,resmlp,deit_s,see runner family map,1,0.1
DTD,resmlp,densenet121,see runner family map,5,0.5
DTD,resmlp,dinov2,see runner family map,2,0.2
DTD,resmlp,dinov2_large,see runner family map,10,1.0
DTD,resmlp,dinov2_small,see runner family map,4,0.4
DTD,resmlp,drlbp,see runner family map,2,0.2
DTD,resmlp,eva02_base,see runner family map,9,0.9
DTD,resmlp,gabor,see runner family map,2,0.2
DTD,resmlp,glcm,see runner family map,1,0.1
DTD,resmlp,lbp,see runner family map,3,0.3
DTD,resmlp,resnet50,see runner family map,5,0.5
DTD,resmlp,siglip_base,see runner family map,10,1.0
DTD,resmlp,swin_t,see runner family map,3,0.3
DTD,resmlp,vit_b16,see runner family map,1,0.1
DTD,svm,convnext_v2_t,see runner family map,1,0.1
DTD,svm,densenet121,see runner family map,2,0.2
DTD,svm,dinov2,see runner family map,5,0.5
DTD,svm,dinov2_large,see runner family map,10,1.0
DTD,svm,dinov2_small,see runner family map,2,0.2
DTD,svm,drlbp,see runner family map,2,0.2
DTD,svm,efficientnet_b0,see runner family map,4,0.4
DTD,svm,eva02_base,see runner family map,10,1.0
DTD,svm,gabor,see runner family map,2,0.2
DTD,svm,glcm,see runner family map,2,0.2
DTD,svm,lbp,see runner family map,1,0.1
DTD,svm,mae_base,see runner family map,2,0.2
DTD,svm,resnet101,see runner family map,1,0.1
DTD,svm,resnet50,see runner family map,4,0.4
DTD,svm,siglip_base,see runner family map,10,1.0
DTD,svm,vgg16,see runner family map,1,0.1
DTD,svm,vit_b16,see runner family map,2,0.2
FMD,resmlp,deit_s,see runner family map,1,0.06666666666666667
FMD,resmlp,dinov2,see runner family map,2,0.13333333333333333
FMD,resmlp,dinov2_large,see runner family map,15,1.0
FMD,resmlp,dinov2_small,see runner family map,2,0.13333333333333333
FMD,resmlp,drlbp,see runner family map,4,0.26666666666666666
FMD,resmlp,efficientnet_b0,see runner family map,1,0.06666666666666667
FMD,resmlp,eva02_base,see runner family map,9,0.6
FMD,resmlp,gabor,see runner family map,6,0.4
FMD,resmlp,glcm,see runner family map,2,0.13333333333333333
FMD,resmlp,hog,see runner family map,3,0.2
FMD,resmlp,lbp,see runner family map,3,0.2
FMD,resmlp,mae_base,see runner family map,3,0.2
FMD,resmlp,siglip_base,see runner family map,15,1.0
FMD,svm,densenet121,see runner family map,2,0.13333333333333333
FMD,svm,dinov2,see runner family map,3,0.2
FMD,svm,dinov2_large,see runner family map,13,0.8666666666666667
FMD,svm,dinov2_small,see runner family map,1,0.06666666666666667
FMD,svm,drlbp,see runner family map,3,0.2
FMD,svm,efficientnet_b0,see runner family map,2,0.13333333333333333
FMD,svm,eva02_base,see runner family map,4,0.26666666666666666
FMD,svm,gabor,see runner family map,1,0.06666666666666667
FMD,svm,lbp,see runner family map,4,0.26666666666666666
FMD,svm,mae_base,see runner family map,4,0.26666666666666666
FMD,svm,siglip_base,see runner family map,15,1.0
FMD,svm,swin_t,see runner family map,1,0.06666666666666667
FMD,svm,vgg16,see runner family map,1,0.06666666666666667
