dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
DTD,svm,42,0,full,topk_individual,0.8719645769447979,0.8734042553191489,5,3712,18.907176169999957,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small,0.8203577722539999
DTD,svm,42,1,full,topk_individual,0.8661630052982027,0.8675531914893617,6,4480,10.848865450000176,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+convnext_v2_t,0.8104180934163553
DTD,svm,42,2,full,topk_individual,0.872349234898142,0.8734042553191489,6,4480,10.770024189999958,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+convnext_v2_t,0.8115417054389615
DTD,svm,42,3,full,topk_individual,0.8742161644009503,0.875,6,4480,11.012970026999938,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+convnext_v2_t,0.8103166274536499
DTD,svm,42,4,full,topk_individual,0.8726014787301294,0.8739361702127659,5,3712,18.277936662000002,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small,0.8248004409107133
DTD,svm,42,5,full,topk_individual,0.8674536486498909,0.8686170212765958,6,4480,10.906004188000225,siglip_base+dinov2+dinov2_large+eva02_base+dinov2_small+convnext_v2_t,0.8129662417397022
DTD,svm,42,6,full,topk_individual,0.8797972232046596,0.8808510638297873,7,5248,14.7183881750002,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+convnext_v2_t+swin_t,0.7972241405975055
DTD,svm,42,7,full,topk_individual,0.8510290701516919,0.8531914893617021,8,7296,18.246095798999704,dinov2_large+siglip_base+dinov2+eva02_base+dinov2_small+convnext_v2_t+swin_t+resnet50,0.8020135820039747
DTD,svm,42,8,full,topk_individual,0.8679101096038901,0.8691489361702127,8,7296,17.21796746000018,siglip_base+dinov2+dinov2_large+eva02_base+dinov2_small+convnext_v2_t+swin_t+resnet101,0.7902760368981514
DTD,svm,42,9,full,topk_individual,0.8604397863904593,0.8622340425531915,4,3328,17.141941245999988,dinov2_large+siglip_base+dinov2+eva02_base,0.8358424220323754
FMD,svm,42,0,full,topk_individual,0.9646695207670817,0.965,3,2560,0.4397567790001631,siglip_base+dinov2_large+eva02_base,0.9640817920807173
FMD,svm,42,1,full,topk_individual,0.9949968730456537,0.995,5,3712,0.6347728549999374,siglip_base+dinov2+dinov2_large+eva02_base+dinov2_small,0.9509702007395606
FMD,svm,42,2,full,topk_individual,0.9849937460913072,0.985,4,3328,0.6204318410000269,siglip_base+eva02_base+dinov2+dinov2_large,0.9534423331525965
FMD,svm,42,3,full,topk_individual,1.0,1.0,4,3328,0.569965508000223,siglip_base+dinov2_large+eva02_base+dinov2,0.9524703905172678
FMD,svm,42,4,full,topk_individual,0.9699718103890118,0.97,5,3712,0.6086189620000368,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small,0.9550732506798573
FMD,svm,123,0,full,topk_individual,0.9799686834346655,0.98,3,2560,0.502418194999791,siglip_base+dinov2_large+dinov2,0.957863167721476
FMD,svm,123,1,full,topk_individual,0.9849937460913072,0.985,3,2560,0.4650930040002095,siglip_base+dinov2_large+dinov2,0.954478979104468
FMD,svm,123,2,full,topk_individual,0.9849718103890119,0.985,3,2560,0.4783743510001841,siglip_base+dinov2_large+eva02_base,0.9598551023678273
FMD,svm,123,3,full,topk_individual,0.9699566223250434,0.97,4,3328,0.5603545150001992,siglip_base+dinov2+dinov2_large+eva02_base,0.9589893524553159
FMD,svm,123,4,full,topk_individual,0.9748395378690627,0.975,3,2560,0.47652087300002677,siglip_base+dinov2_large+dinov2,0.9604144830522565
FMD,svm,2026,0,full,topk_individual,0.9849937460913072,0.985,3,2560,0.4446448399999099,siglip_base+dinov2_large+eva02_base,0.961177236982533
FMD,svm,2026,1,full,topk_individual,0.9699906191369605,0.97,4,3328,0.581967222000003,siglip_base+dinov2_large+dinov2+eva02_base,0.9614825396809512
FMD,svm,2026,2,full,topk_individual,0.9899937460913071,0.99,4,3328,0.6022158199998557,siglip_base+dinov2_large+dinov2+eva02_base,0.9482419642414004
FMD,svm,2026,3,full,topk_individual,0.9799718103890118,0.98,3,2560,0.48424826999962534,siglip_base+dinov2_large+dinov2,0.9536450961530073
FMD,svm,2026,4,full,topk_individual,0.9949968730456537,0.995,3,2560,0.48327995399995416,siglip_base+eva02_base+dinov2_large,0.9564453053488265
CUReT,svm,42,0,full,topk_individual,0.9982178935113889,0.9982181040627227,4,2944,7.112908877000336,dinov2_large+dinov2+dinov2_small+vit_b16,0.9892630606566909
CUReT,svm,42,1,full,topk_individual,0.9996435787022778,0.9996436208125445,5,3712,8.340165110999806,dinov2_large+dinov2+dinov2_small+vit_b16+swin_t,0.9813031862960024
DTD,resmlp,42,0,full,topk_individual,0.8722222227256035,0.8734042553191489,5,3712,11.066340490000584,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small,0.8118602659384114
DTD,resmlp,42,1,full,topk_individual,0.8763136692897349,0.8776595744680851,8,7296,11.831617384999845,dinov2+siglip_base+dinov2_large+eva02_base+dinov2_small+convnext_v2_t+swin_t+resnet101,0.7779273180943493
DTD,resmlp,42,2,full,topk_individual,0.8641147354591184,0.8648936170212767,6,4480,15.820237323999208,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+convnext_v2_t,0.7939339991467813
DTD,resmlp,42,3,full,topk_individual,0.872870172873697,0.8739361702127659,7,6528,17.94021546499971,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+convnext_v2_t+resnet101,0.7874706694938002
DTD,resmlp,42,4,full,topk_individual,0.8650679874794384,0.8664893617021276,5,3712,7.773770941001203,siglip_base+dinov2_large+dinov2+dinov2_small+eva02_base,0.8130145132722857
DTD,resmlp,42,5,full,topk_individual,0.8670909033664213,0.8680851063829788,7,5248,11.052606400999139,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+convnext_v2_t+swin_t,0.7904867711190979
DTD,resmlp,42,6,full,topk_individual,0.881028677567632,0.8819148936170212,6,4480,8.161167593001664,siglip_base+dinov2_large+dinov2+dinov2_small+eva02_base+convnext_v2_t,0.7970185316249334
DTD,resmlp,42,7,full,topk_individual,0.8591910045708782,0.8617021276595744,7,6528,17.22287712800062,siglip_base+dinov2_large+dinov2+dinov2_small+eva02_base+convnext_v2_t+resnet101,0.8025205819389528
DTD,resmlp,42,8,full,topk_individual,0.854398472003442,0.8553191489361702,4,2944,7.288442744000349,siglip_base+dinov2_large+dinov2+dinov2_small,0.8101114953821567
DTD,resmlp,42,9,full,topk_individual,0.8497417914447667,0.8526595744680852,4,2944,11.564519694999035,siglip_base+dinov2_large+dinov2+dinov2_small,0.8256223132449576
FMD,resmlp,42,0,full,topk_individual,0.9446283296090741,0.945,3,2304,2.0187037690011493,siglip_base+eva02_base+dinov2,0.9595557304539079
FMD,resmlp,42,1,full,topk_individual,0.9949968730456537,0.995,2,1536,2.6732198459994834,siglip_base+eva02_base,0.9573974527311766
FMD,resmlp,42,2,full,topk_individual,0.9751094434021264,0.975,5,3712,2.669462623000072,siglip_base+eva02_base+dinov2+dinov2_large+dinov2_small,0.9456169454566847
FMD,resmlp,42,3,full,topk_individual,1.0,1.0,7,5248,3.278621243998714,siglip_base+eva02_base+dinov2_large+dinov2+dinov2_small+convnext_v2_t+vit_b16,0.9216005589614517
FMD,resmlp,42,4,full,topk_individual,0.9653448583936388,0.965,4,3328,2.8618173520007986,siglip_base+eva02_base+dinov2_large+dinov2,0.951485695362647
FMD,resmlp,123,0,full,topk_individual,0.9748624140087554,0.975,5,3712,2.650875011999233,siglip_base+dinov2_large+eva02_base+dinov2+dinov2_small,0.9406105195464018
FMD,resmlp,123,1,full,topk_individual,0.9849937460913072,0.985,2,1536,2.2565023330007534,siglip_base+eva02_base,0.9555874600980692
FMD,resmlp,123,2,full,topk_individual,0.9849718103890119,0.985,6,4480,2.896341838000808,siglip_base+dinov2_large+eva02_base+dinov2+dinov2_small+convnext_v2_t,0.9301464623814946
FMD,resmlp,123,3,full,topk_individual,0.9648185426041651,0.965,4,3328,2.5362613500001316,siglip_base+eva02_base+dinov2+dinov2_large,0.9558118019234967
FMD,resmlp,123,4,full,topk_individual,0.9699167089590113,0.97,6,4480,2.8894909629998438,siglip_base+dinov2_large+eva02_base+dinov2+dinov2_small+convnext_v2_t,0.9421478107081295
FMD,resmlp,2026,0,full,topk_individual,0.9799686834346655,0.98,4,3328,2.3912065339991386,siglip_base+eva02_base+dinov2+dinov2_large,0.9504659166785906
FMD,resmlp,2026,1,full,topk_individual,0.9548503528991334,0.955,3,2304,2.4433740669992403,siglip_base+eva02_base+dinov2,0.9581201485819436
FMD,resmlp,2026,2,full,topk_individual,0.9899937460913071,0.99,5,3712,2.7837284920005914,siglip_base+dinov2+eva02_base+dinov2_small+dinov2_large,0.9417513469014647
FMD,resmlp,2026,3,full,topk_individual,0.9802376485303315,0.98,6,4480,3.5128571069999452,siglip_base+dinov2+eva02_base+dinov2_large+dinov2_small+convnext_v2_t,0.9350500242607525
FMD,resmlp,2026,4,full,topk_individual,0.9899937460913073,0.99,4,3328,2.2941526630002045,siglip_base+dinov2+eva02_base+dinov2_large,0.9477393653575756
CUReT,resmlp,42,0,full,topk_individual,0.9975125519192037,0.9975053456878118,2,1152,9.681387959000858,dinov2+dinov2_small,0.9975096606885631
CUReT,resmlp,42,1,full,topk_individual,0.9964306565950624,0.9964362081254454,4,2944,3.797658343000876,dinov2_large+dinov2+dinov2_small+swin_t,0.9927820368532236
