dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
KTHTIPS2b,svm,42,0,full,full21_plus_beitv2_base_final,0.8650486968830268,0.8714927048260381,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,
KTHTIPS2b,svm,42,0,full,full21_plus_beitv2_base_multilayer,0.8633741212978933,0.8698092031425365,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,
KTHTIPS2b,svm,42,1,full,full21_plus_beitv2_base_final,0.9268638730657502,0.9281705948372615,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,
KTHTIPS2b,svm,42,1,full,full21_plus_beitv2_base_multilayer,0.9260021804595083,0.9273288439955106,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,
KTHTIPS2b,svm,42,2,full,full21_plus_beitv2_base_final,0.789911885927383,0.8114478114478114,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,
KTHTIPS2b,svm,42,2,full,full21_plus_beitv2_base_multilayer,0.7900819031521675,0.8117283950617284,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,
KTHTIPS2b,svm,42,3,full,full21_plus_beitv2_base_final,0.8759075730702811,0.8815937149270483,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,
KTHTIPS2b,svm,42,3,full,full21_plus_beitv2_base_multilayer,0.8761729216331603,0.8818742985409652,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,
KTHTIPS2b,resmlp,42,0,full,full21_plus_beitv2_base_final,0.8579310503608852,0.867003367003367,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,
KTHTIPS2b,resmlp,42,0,full,full21_plus_beitv2_base_multilayer,0.8639874563657998,0.871773288439955,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,
