dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
KTHTIPS2b,svm,42,0,full,full21_plus_beitv2_base_final,0.9728602488727851,0.9730639730639731,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,
KTHTIPS2b,svm,42,0,full,full21_plus_beitv2_base_multilayer,0.9711432327522157,0.9713804713804713,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,
KTHTIPS2b,svm,42,1,full,full21_plus_beitv2_base_final,0.9585289492461502,0.9587542087542088,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,
KTHTIPS2b,svm,42,1,full,full21_plus_beitv2_base_multilayer,0.9577346440922735,0.9579124579124579,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,
KTHTIPS2b,svm,42,2,full,full21_plus_beitv2_base_final,0.9532406228722189,0.9545454545454546,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,
KTHTIPS2b,svm,42,2,full,full21_plus_beitv2_base_multilayer,0.9524049843629739,0.9537037037037037,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,
KTHTIPS2b,svm,42,3,full,full21_plus_beitv2_base_final,0.9558938038920122,0.9570707070707071,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,
KTHTIPS2b,svm,42,3,full,full21_plus_beitv2_base_multilayer,0.9576436557390031,0.9587542087542088,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,
KTHTIPS2b,resmlp,42,0,full,full21_plus_beitv2_base_final,0.9856541608100907,0.9856902356902357,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,
KTHTIPS2b,resmlp,42,0,full,full21_plus_beitv2_base_multilayer,0.9822528456031633,0.9823232323232324,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,
KTHTIPS2b,resmlp,42,1,full,full21_plus_beitv2_base_final,0.9577662540582194,0.9579124579124579,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,
KTHTIPS2b,resmlp,42,1,full,full21_plus_beitv2_base_multilayer,0.935993345169022,0.9393939393939394,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,
KTHTIPS2b,resmlp,42,2,full,full21_plus_beitv2_base_final,0.9520484433921381,0.9528619528619529,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,
KTHTIPS2b,resmlp,42,2,full,full21_plus_beitv2_base_multilayer,0.9486851804921922,0.9494949494949495,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,
KTHTIPS2b,resmlp,42,3,full,full21_plus_beitv2_base_final,0.9127151911002721,0.9158249158249159,1,20652,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_final+rgb_ngram_svd,
KTHTIPS2b,resmlp,42,3,full,full21_plus_beitv2_base_multilayer,0.914939357350649,0.9175084175084175,1,22956,,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+beitv2_base_multilayer+rgb_ngram_svd,
