dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
KTHTIPS2b,svm,42,0,full,beitv2_base_final,0.8953044146171112,0.9017957351290684,1,768,0.4584979189999103,beitv2_base_final,
KTHTIPS2b,svm,42,0,full,beitv2_base_multilayer,0.8938734423751336,0.9006734006734006,1,3072,0.8009781969999494,beitv2_base_multilayer,
KTHTIPS2b,svm,42,1,full,beitv2_base_final,0.9183710505618335,0.9189113355780022,1,768,0.2518873660001191,beitv2_base_final,
KTHTIPS2b,svm,42,1,full,beitv2_base_multilayer,0.9190259780337461,0.9194725028058361,1,3072,0.7730774459998884,beitv2_base_multilayer,
KTHTIPS2b,svm,42,2,full,beitv2_base_final,0.8061067489150552,0.8176206509539843,1,768,0.24789703400006147,beitv2_base_final,
KTHTIPS2b,svm,42,2,full,beitv2_base_multilayer,0.808435541605231,0.8198653198653199,1,3072,0.8067261829999097,beitv2_base_multilayer,
KTHTIPS2b,svm,42,3,full,beitv2_base_final,0.8447207057262272,0.8535353535353535,1,768,0.2681622600000537,beitv2_base_final,
KTHTIPS2b,svm,42,3,full,beitv2_base_multilayer,0.8375701668399269,0.8473625140291807,1,3072,0.7539954680000847,beitv2_base_multilayer,
KTHTIPS2b,resmlp,42,0,full,beitv2_base_final,0.8865746687476073,0.8933782267115601,1,768,10.02993927700004,beitv2_base_final,
KTHTIPS2b,resmlp,42,0,full,beitv2_base_multilayer,0.8961617297703676,0.9012345679012346,1,3072,1.2787446899999395,beitv2_base_multilayer,
KTHTIPS2b,resmlp,42,1,full,beitv2_base_final,0.8994490383646473,0.898989898989899,1,768,0.9603602209999735,beitv2_base_final,
KTHTIPS2b,resmlp,42,1,full,beitv2_base_multilayer,0.9093104669255301,0.9099326599326599,1,3072,1.0704434570000103,beitv2_base_multilayer,
KTHTIPS2b,resmlp,42,2,full,beitv2_base_final,0.804164444929857,0.8153759820426487,1,768,0.9758347800000138,beitv2_base_final,
KTHTIPS2b,resmlp,42,2,full,beitv2_base_multilayer,0.8062204573420811,0.8198653198653199,1,3072,1.0481171659998836,beitv2_base_multilayer,
KTHTIPS2b,resmlp,42,3,full,beitv2_base_final,0.832887867483884,0.8420314253647587,1,768,1.10462048699992,beitv2_base_final,
KTHTIPS2b,resmlp,42,3,full,beitv2_base_multilayer,0.8343342958872001,0.8439955106621774,1,3072,1.179752138999902,beitv2_base_multilayer,
