dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
KTHTIPS2b,svm,42,0,full,best_individual,0.8432734492619197,0.8546576879910214,1,768,0.25419255399992835,vit_b16,1.0
KTHTIPS2b,svm,42,0,full,full_concat,0.873752804293926,0.8810325476992144,22,21420,6.884882956000183,beitv2_base+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+swinv2_base+vgg16+vit_b16,nan
KTHTIPS2b,svm,42,0,full,gfs,0.8432734492619197,0.8546576879910214,1,768,0.25239606400009507,vit_b16,1.0
KTHTIPS2b,svm,42,0,full,best_homogeneous_transformer,0.8432734492619197,0.8546576879910214,1,768,0.2563232170000447,vit_b16,1.0
KTHTIPS2b,svm,42,1,full,best_individual,0.7901631013660299,0.8007856341189674,1,768,0.26039423600013833,swin_t,1.0
KTHTIPS2b,svm,42,1,full,full_concat,0.9292916770557794,0.930695847362514,22,21420,6.526728506999916,beitv2_base+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+swinv2_base+vgg16+vit_b16,nan
KTHTIPS2b,svm,42,1,full,gfs,0.7901631013660299,0.8007856341189674,1,768,0.25634837899997365,swin_t,1.0
KTHTIPS2b,svm,42,1,full,best_homogeneous_transformer,0.7901631013660299,0.8007856341189674,1,768,0.25309041199989224,swin_t,1.0
KTHTIPS2b,svm,42,2,full,best_individual,0.7647685905317445,0.7859147025813692,1,768,0.24263275700013764,vit_b16,1.0
KTHTIPS2b,svm,42,2,full,full_concat,0.806598224451376,0.8251964085297419,22,21420,6.153677378000339,beitv2_base+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+swinv2_base+vgg16+vit_b16,nan
KTHTIPS2b,svm,42,2,full,gfs,0.7647685905317445,0.7859147025813692,1,768,0.2764760400000341,vit_b16,1.0
KTHTIPS2b,svm,42,2,full,best_homogeneous_transformer,0.7647685905317445,0.7859147025813692,1,768,0.26192606200038426,vit_b16,1.0
KTHTIPS2b,svm,42,3,full,best_individual,0.7924373115365793,0.8179012345679012,1,768,0.25819202000002406,dinov2,0.9991579603929518
KTHTIPS2b,svm,42,3,full,full_concat,0.8633895930481752,0.8698092031425365,22,21420,7.2988234809999994,beitv2_base+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+swinv2_base+vgg16+vit_b16,nan
KTHTIPS2b,svm,42,3,full,gfs,0.8410768262336391,0.8535353535353535,2,1536,0.3718029880001268,dinov2+vit_b16,1.0
KTHTIPS2b,svm,42,3,full,best_homogeneous_transformer,0.8447125265824376,0.8594276094276094,2,1536,0.4038580980000006,beitv2_base+vit_b16,1.0
KTHTIPS2b,resmlp,42,0,full,best_individual,0.8484331105633025,0.8577441077441077,1,768,2.5957002320001266,vit_b16,1.0
KTHTIPS2b,resmlp,42,0,full,full_concat,0.8650354254258867,0.8737373737373737,22,21420,15.641009833000226,beitv2_base+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+swinv2_base+vgg16+vit_b16,nan
KTHTIPS2b,resmlp,42,0,full,gfs,0.8484331105633025,0.8577441077441077,1,768,2.640822941999886,vit_b16,1.0
KTHTIPS2b,resmlp,42,0,full,best_homogeneous_transformer,0.8484331105633025,0.8577441077441077,1,768,2.6194447759999093,vit_b16,1.0
KTHTIPS2b,resmlp,42,1,full,best_individual,0.8484927522918362,0.8538159371492705,1,768,3.1314833989999897,vit_b16,1.0
KTHTIPS2b,resmlp,42,1,full,full_concat,0.9153350304598535,0.9163860830527497,22,21420,15.311558094000247,beitv2_base+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+swinv2_base+vgg16+vit_b16,nan
KTHTIPS2b,resmlp,42,1,full,gfs,0.8484927522918362,0.8538159371492705,1,768,3.398317342000155,vit_b16,1.0
KTHTIPS2b,resmlp,42,1,full,best_homogeneous_transformer,0.8484927522918362,0.8538159371492705,1,768,3.5587474269996164,vit_b16,1.0
KTHTIPS2b,resmlp,42,2,full,best_individual,0.7960207699861449,0.8080808080808081,1,768,2.9190801969998574,vit_b16,1.0
KTHTIPS2b,resmlp,42,2,full,full_concat,0.8024652354783772,0.8218294051627385,22,21420,17.091794055999344,beitv2_base+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+swinv2_base+vgg16+vit_b16,nan
KTHTIPS2b,resmlp,42,2,full,gfs,0.7960207699861449,0.8080808080808081,1,768,3.414475364000282,vit_b16,1.0
KTHTIPS2b,resmlp,42,2,full,best_homogeneous_transformer,0.7960207699861449,0.8080808080808081,1,768,3.2771919360002357,vit_b16,1.0
