dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
KTHTIPS2b,svm,42,0,full,random_000,0.8244390937179024,0.8333333333333334,1,768,0.2962010430001101,swin_t,
KTHTIPS2b,svm,42,0,full,random_001,0.30860080806672163,0.31397306397306396,1,1764,1.4635843780001778,hog,
KTHTIPS2b,svm,42,0,full,random_002,0.7850444363934408,0.7943322109988776,1,1024,0.4371233840001878,swinv2_base,
KTHTIPS2b,svm,42,0,full,random_003,0.7999907186121406,0.8097643097643098,1,384,0.15365325299990218,deit_s,
KTHTIPS2b,svm,42,0,full,random_004,0.32966804528537763,0.4001122334455668,1,48,0.03918679100024747,gabor,
KTHTIPS2b,svm,42,0,full,random_005,0.7702516771021523,0.7836700336700336,1,1024,0.3537704489999669,densenet121,
KTHTIPS2b,svm,42,0,full,random_006,0.7394478614989651,0.7589786756453423,1,1280,0.3611741019999499,efficientnet_b0,
KTHTIPS2b,svm,42,0,full,random_007,0.7962084477074088,0.8100448933782267,1,2048,0.24634949300025255,resnet50,
KTHTIPS2b,svm,42,0,full,random_008,0.7954830412593737,0.8153759820426487,1,768,0.4026376070000879,siglip_base,
KTHTIPS2b,svm,42,0,full,random_009,0.6993602963031509,0.7382154882154882,1,768,0.4197455839998838,mae_base,
KTHTIPS2b,svm,42,0,full,random_010,0.32966804528537763,0.4001122334455668,1,48,0.06000037500007238,gabor,
KTHTIPS2b,svm,42,0,full,random_011,0.7962084477074088,0.8100448933782267,1,2048,0.2174267499999587,resnet50,
KTHTIPS2b,svm,42,0,full,random_012,0.7999907186121406,0.8097643097643098,1,384,0.14942519999976867,deit_s,
KTHTIPS2b,svm,42,0,full,random_013,0.32966804528537763,0.4001122334455668,1,48,0.04835813599993344,gabor,
KTHTIPS2b,svm,42,0,full,random_014,0.15097229936800236,0.2356902356902357,1,18,0.019091001999640866,glcm,
KTHTIPS2b,svm,42,0,full,random_015,0.8432734492619197,0.8546576879910214,1,768,0.25034050199974445,vit_b16,
KTHTIPS2b,svm,42,0,full,random_016,0.32966804528537763,0.4001122334455668,1,48,0.04833656800019526,gabor,
KTHTIPS2b,svm,42,0,full,random_017,0.7962084477074088,0.8100448933782267,1,2048,0.22050464399990233,resnet50,
KTHTIPS2b,svm,42,0,full,random_018,0.8475620455810774,0.856341189674523,1,384,0.1475834399998348,dinov2_small,
KTHTIPS2b,svm,42,0,full,random_019,0.3180113005188276,0.3434343434343434,1,80,0.04334086400012893,drlbp,
KTHTIPS2b,svm,42,0,full,random_020,0.7850444363934408,0.7943322109988776,1,1024,0.39723244599963436,swinv2_base,
KTHTIPS2b,svm,42,0,full,random_021,0.3180113005188276,0.3434343434343434,1,80,0.045918177000203286,drlbp,
KTHTIPS2b,svm,42,0,full,random_022,0.7962084477074088,0.8100448933782267,1,2048,0.21716774500009706,resnet50,
KTHTIPS2b,svm,42,0,full,random_023,0.8475620455810774,0.856341189674523,1,384,0.13653563700017912,dinov2_small,
KTHTIPS2b,svm,42,0,full,random_024,0.3180113005188276,0.3434343434343434,1,80,0.04225302399981956,drlbp,
KTHTIPS2b,svm,42,0,full,random_025,0.8515416582689777,0.8546576879910214,1,768,0.2560547050002242,convnext_v2_t,
KTHTIPS2b,svm,42,0,full,random_026,0.3180113005188276,0.3434343434343434,1,80,0.046423491000041395,drlbp,
KTHTIPS2b,svm,42,0,full,random_027,0.8226631967224755,0.8282828282828283,1,2048,0.2492103880003924,resnet101,
KTHTIPS2b,svm,42,0,full,random_028,0.7394478614989651,0.7589786756453423,1,1280,0.29024377399991863,efficientnet_b0,
KTHTIPS2b,svm,42,0,full,random_029,0.838154756226282,0.8501683501683501,1,768,0.2640028800001346,eva02_base,
KTHTIPS2b,svm,42,0,full,random_030,0.8475620455810774,0.856341189674523,1,384,0.1405559119998543,dinov2_small,
KTHTIPS2b,svm,42,0,full,random_031,0.7962084477074088,0.8100448933782267,1,2048,0.206145738000032,resnet50,
KTHTIPS2b,svm,42,0,full,random_032,0.15097229936800236,0.2356902356902357,1,18,0.015596731999721669,glcm,
KTHTIPS2b,svm,42,0,full,random_033,0.8953044146171112,0.9017957351290684,1,768,0.25763108899991494,beitv2_base,
KTHTIPS2b,svm,42,0,full,random_034,0.8475620455810774,0.856341189674523,1,384,0.15765278000026228,dinov2_small,
KTHTIPS2b,svm,42,0,full,random_035,0.8226631967224755,0.8282828282828283,1,2048,0.25115643000026466,resnet101,
KTHTIPS2b,svm,42,0,full,random_036,0.7394478614989651,0.7589786756453423,1,1280,0.28933574999973644,efficientnet_b0,
KTHTIPS2b,svm,42,0,full,random_037,0.8244390937179024,0.8333333333333334,1,768,0.2692173919999732,swin_t,
KTHTIPS2b,svm,42,0,full,random_038,0.6993602963031509,0.7382154882154882,1,768,0.3755566939998971,mae_base,
KTHTIPS2b,svm,42,0,full,random_039,0.7702516771021523,0.7836700336700336,1,1024,0.36020548200031044,densenet121,
KTHTIPS2b,svm,42,0,full,random_040,0.7999907186121406,0.8097643097643098,1,384,0.1354409069999747,deit_s,
KTHTIPS2b,svm,42,0,full,random_041,0.8226631967224755,0.8282828282828283,1,2048,0.26303776199983986,resnet101,
KTHTIPS2b,svm,42,0,full,random_042,0.838154756226282,0.8501683501683501,1,768,0.2663714249997611,eva02_base,
KTHTIPS2b,svm,42,0,full,random_043,0.9017348584179206,0.9088103254769921,1,1024,0.3872447540002213,dinov2_large,
KTHTIPS2b,svm,42,0,full,random_044,0.7962084477074088,0.8100448933782267,1,2048,0.20409495900003094,resnet50,
KTHTIPS2b,svm,42,0,full,random_045,0.838154756226282,0.8501683501683501,1,768,0.26431149599966375,eva02_base,
KTHTIPS2b,svm,42,0,full,random_046,0.7702516771021523,0.7836700336700336,1,1024,0.3330189270000119,densenet121,
KTHTIPS2b,svm,42,0,full,random_047,0.8226631967224755,0.8282828282828283,1,2048,0.2597552749998613,resnet101,
KTHTIPS2b,svm,42,0,full,random_048,0.7613452939785549,0.7730078563411896,1,4096,0.33684104199983267,vgg16,
KTHTIPS2b,svm,42,0,full,random_049,0.9017348584179206,0.9088103254769921,1,1024,0.38493382200022097,dinov2_large,
KTHTIPS2b,svm,42,0,full,random_050,0.8515416582689777,0.8546576879910214,1,768,0.2664386530000229,convnext_v2_t,
KTHTIPS2b,svm,42,0,full,random_051,0.15097229936800236,0.2356902356902357,1,18,0.01811982499975784,glcm,
KTHTIPS2b,svm,42,0,full,random_052,0.7850444363934408,0.7943322109988776,1,1024,0.36030401199968765,swinv2_base,
KTHTIPS2b,svm,42,0,full,random_053,0.8515416582689777,0.8546576879910214,1,768,0.3152028579997932,convnext_v2_t,
KTHTIPS2b,svm,42,0,full,random_054,0.888722750299682,0.8961840628507295,1,768,0.3148202739998851,dinov2,
KTHTIPS2b,svm,42,0,full,random_055,0.7702516771021523,0.7836700336700336,1,1024,0.4197464819999368,densenet121,
KTHTIPS2b,svm,42,0,full,random_056,0.3180113005188276,0.3434343434343434,1,80,0.045259162000093056,drlbp,
KTHTIPS2b,svm,42,0,full,random_057,0.32966804528537763,0.4001122334455668,1,48,0.03768793600011122,gabor,
KTHTIPS2b,svm,42,0,full,random_058,0.7702516771021523,0.7836700336700336,1,1024,0.33533293099981165,densenet121,
KTHTIPS2b,svm,42,0,full,random_059,0.8953044146171112,0.9017957351290684,1,768,0.2582888560000356,beitv2_base,
KTHTIPS2b,svm,42,0,full,random_060,0.8953044146171112,0.9017957351290684,1,768,0.2475265679995573,beitv2_base,
KTHTIPS2b,svm,42,0,full,random_061,0.7962084477074088,0.8100448933782267,1,2048,0.22995670499994958,resnet50,
KTHTIPS2b,svm,42,0,full,random_062,0.8244390937179024,0.8333333333333334,1,768,0.2906779390000338,swin_t,
