dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
KTHTIPS2b,svm,42,0,full,best_individual,0.9669702115944624,0.9671717171717171,1,768,0.8885802710000235,beitv2_base,0.9201792384061127
KTHTIPS2b,svm,42,0,full,full_concat,0.9728180174702789,0.9730639730639731,22,21420,14.383788362000018,beitv2_base+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+swinv2_base+vgg16+vit_b16,nan
KTHTIPS2b,svm,42,0,full,gfs,0.9839423426119874,0.984006734006734,7,5248,3.498818898999957,beitv2_base+dinov2_large+deit_s+swin_t+dinov2+eva02_base+convnext_v2_t,0.9424553476413976
KTHTIPS2b,svm,42,0,full,best_homogeneous_transformer,0.9474424938276468,0.9478114478114478,3,2304,3.194201411999984,beitv2_base+swin_t+eva02_base,0.9220621703128243
KTHTIPS2b,svm,42,1,full,best_individual,0.8939641359822676,0.9158249158249159,1,1024,1.1757355920001373,dinov2_large,0.916820597595794
KTHTIPS2b,svm,42,1,full,full_concat,0.915329496804231,0.9208754208754208,22,21420,13.321018173000084,beitv2_base+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+swinv2_base+vgg16+vit_b16,nan
KTHTIPS2b,svm,42,1,full,gfs,0.9050298662978911,0.914983164983165,7,6438,3.8900922410000476,dinov2_large+resnet101+hog+beitv2_base+convnext_v2_t+glcm+gabor,0.9324916058965025
KTHTIPS2b,svm,42,1,full,best_homogeneous_self_supervised,0.8939641359822676,0.9158249158249159,1,1024,1.29068049600005,dinov2_large,0.916820597595794
KTHTIPS2b,svm,42,2,full,best_individual,0.9406602239020649,0.9402356902356902,1,768,0.9603606969999419,dinov2,0.9302248682994828
KTHTIPS2b,svm,42,2,full,full_concat,0.9653204847047959,0.9654882154882155,22,21420,14.763337352000008,beitv2_base+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+swinv2_base+vgg16+vit_b16,nan
KTHTIPS2b,svm,42,2,full,gfs,0.9615817071440734,0.9612794612794613,8,4418,3.27630457500004,dinov2+deit_s+densenet121+eva02_base+dinov2_small+glcm+gabor+dinov2_large,0.9536696051344596
KTHTIPS2b,svm,42,2,full,best_homogeneous_self_supervised,0.9282822211172856,0.9284511784511784,2,1152,1.5551747889999206,dinov2+dinov2_small,0.9383280107859685
KTHTIPS2b,svm,42,3,full,best_individual,0.9194970486466857,0.9208754208754208,1,768,0.8200626220000231,beitv2_base,0.9415195238242405
KTHTIPS2b,svm,42,3,full,full_concat,0.9356679798308026,0.9385521885521886,22,21420,13.629848000000038,beitv2_base+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+swinv2_base+vgg16+vit_b16,nan
KTHTIPS2b,svm,42,3,full,gfs,0.9194970486466857,0.9208754208754208,1,768,0.8374405219999517,beitv2_base,0.9415195238242405
KTHTIPS2b,svm,42,3,full,best_homogeneous_transformer,0.9194970486466857,0.9208754208754208,1,768,0.8166980060000242,beitv2_base,0.9415195238242405
KTHTIPS2b,resmlp,42,0,full,best_individual,0.9509293253238416,0.9511784511784511,1,768,5.866588949000288,beitv2_base,0.9139339879459464
