dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
KTHTIPS2b,svm,42,0,full,best_individual,0.8432734492619197,0.8546576879910214,1,768,0.25851417999729165,vit_b16,1.0
KTHTIPS2b,svm,42,0,full,full_concat,0.8696379952935106,0.8773849607182941,20,19628,5.299363999001798,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
KTHTIPS2b,svm,42,0,full,gfs,0.8432734492619197,0.8546576879910214,1,768,0.24878860100216116,vit_b16,1.0
KTHTIPS2b,svm,42,0,full,best_homogeneous_transformer,0.8432734492619197,0.8546576879910214,1,768,0.24973017099910066,vit_b16,1.0
KTHTIPS2b,svm,42,1,full,best_individual,0.7901631013660299,0.8007856341189674,1,768,0.2471154140002909,swin_t,1.0
KTHTIPS2b,svm,42,1,full,full_concat,0.9282363202876762,0.9298540965207632,20,19628,5.506157886000437,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
KTHTIPS2b,svm,42,1,full,gfs,0.7901631013660299,0.8007856341189674,1,768,0.246330987996771,swin_t,1.0
KTHTIPS2b,svm,42,1,full,best_homogeneous_transformer,0.7901631013660299,0.8007856341189674,1,768,0.24990108199926908,swin_t,1.0
KTHTIPS2b,svm,42,2,full,best_individual,0.7647685905317445,0.7859147025813692,1,768,0.26520817799973884,vit_b16,1.0
KTHTIPS2b,svm,42,2,full,full_concat,0.8123653817100351,0.8310886644219978,20,19628,5.1976558069982275,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
KTHTIPS2b,svm,42,2,full,gfs,0.7647685905317445,0.7859147025813692,1,768,0.2380716810002923,vit_b16,1.0
KTHTIPS2b,svm,42,2,full,best_homogeneous_transformer,0.7647685905317445,0.7859147025813692,1,768,0.2392142499993497,vit_b16,1.0
KTHTIPS2b,svm,42,3,full,best_individual,0.7924373115365793,0.8179012345679012,1,768,0.2643718479994277,dinov2,0.9991579603929518
KTHTIPS2b,svm,42,3,full,full_concat,0.8678773733175057,0.8737373737373737,20,19628,5.599581247999595,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
KTHTIPS2b,svm,42,3,full,gfs,0.8410768262336391,0.8535353535353535,2,1536,0.3927695170023071,dinov2+vit_b16,1.0
KTHTIPS2b,svm,42,3,full,best_homogeneous_transformer,0.8658860221569911,0.8712121212121212,2,1536,0.3721886680032185,swin_t+vit_b16,1.0
KTHTIPS2b,resmlp,42,0,full,best_individual,0.8484331105633025,0.8577441077441077,1,768,2.294458483997005,vit_b16,1.0
KTHTIPS2b,resmlp,42,0,full,full_concat,0.8583712423167291,0.8686868686868687,20,19628,14.51581053100017,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
KTHTIPS2b,resmlp,42,0,full,gfs,0.8484331105633025,0.8577441077441077,1,768,2.24135931300043,vit_b16,1.0
KTHTIPS2b,resmlp,42,0,full,best_homogeneous_transformer,0.8484331105633025,0.8577441077441077,1,768,2.434112258000823,vit_b16,1.0
