dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
KTHTIPS2b,svm,42,0,full,best_individual,0.8432734492619197,0.8546576879910214,1,768,0.25305477300000234,vit_b16,1.0
KTHTIPS2b,svm,42,0,full,full_concat,0.8604777579197681,0.8672839506172839,21,19884,5.65403187199999,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
KTHTIPS2b,svm,42,0,full,gfs,0.8432734492619197,0.8546576879910214,1,768,0.24135606100000473,vit_b16,1.0
KTHTIPS2b,svm,42,0,full,best_homogeneous_transformer,0.8432734492619197,0.8546576879910214,1,768,0.23835001800000555,vit_b16,1.0
KTHTIPS2b,svm,42,1,full,best_individual,0.7901631013660299,0.8007856341189674,1,768,0.28238604599999917,swin_t,1.0
KTHTIPS2b,svm,42,1,full,full_concat,0.919289652167416,0.9208754208754208,21,19884,5.678463984000018,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
KTHTIPS2b,svm,42,1,full,gfs,0.7901631013660299,0.8007856341189674,1,768,0.2606110580000518,swin_t,1.0
KTHTIPS2b,svm,42,1,full,best_homogeneous_transformer,0.7901631013660299,0.8007856341189674,1,768,0.2709371080000551,swin_t,1.0
KTHTIPS2b,svm,42,2,full,best_individual,0.7647685905317445,0.7859147025813692,1,768,0.2702002219999713,vit_b16,1.0
KTHTIPS2b,svm,42,2,full,full_concat,0.7895378154118317,0.8106060606060606,21,19884,5.370914958999947,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
KTHTIPS2b,svm,42,2,full,gfs,0.7647685905317445,0.7859147025813692,1,768,0.2540539409999951,vit_b16,1.0
KTHTIPS2b,svm,42,2,full,best_homogeneous_transformer,0.7647685905317445,0.7859147025813692,1,768,0.2724117509999928,vit_b16,1.0
KTHTIPS2b,svm,42,3,full,best_individual,0.7924373115365793,0.8179012345679012,1,768,0.2763627169999836,dinov2,0.9991579603929518
KTHTIPS2b,svm,42,3,full,full_concat,0.8801271917528272,0.8852413019079686,21,19884,6.151146230999984,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
KTHTIPS2b,svm,42,3,full,gfs,0.8410768262336391,0.8535353535353535,2,1536,0.38282168199998523,dinov2+vit_b16,1.0
KTHTIPS2b,svm,42,3,full,best_homogeneous_transformer,0.8658860221569911,0.8712121212121212,2,1536,0.3808049240000173,swin_t+vit_b16,1.0
KTHTIPS2b,resmlp,42,0,full,best_individual,0.8484331105633025,0.8577441077441077,1,768,2.3515106720001313,vit_b16,1.0
KTHTIPS2b,resmlp,42,0,full,full_concat,0.8620953538159086,0.8700897867564534,21,19884,15.114074533000121,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
KTHTIPS2b,resmlp,42,0,full,gfs,0.8484331105633025,0.8577441077441077,1,768,2.5452311930000633,vit_b16,1.0
KTHTIPS2b,resmlp,42,0,full,best_homogeneous_transformer,0.8484331105633025,0.8577441077441077,1,768,2.538542320000033,vit_b16,1.0
KTHTIPS2b,resmlp,42,1,full,best_individual,0.8484927522918362,0.8538159371492705,1,768,2.742136839000068,vit_b16,1.0
