dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
KTHTIPS2b,svm,42,0,full,random_000,0.8244390937179024,0.8333333333333334,1,768,0.26840299600002027,swin_t,
KTHTIPS2b,svm,42,0,full,random_001,0.30860080806672163,0.31397306397306396,1,1764,1.2539584090000062,hog,
KTHTIPS2b,svm,42,0,full,random_002,0.7613452939785549,0.7730078563411896,1,4096,0.2854720050000026,vgg16,
KTHTIPS2b,svm,42,0,full,random_003,0.7702516771021523,0.7836700336700336,1,1024,0.4061155350000263,densenet121,
KTHTIPS2b,svm,42,0,full,random_004,0.15097229936800236,0.2356902356902357,1,18,0.020380407999994077,glcm,
KTHTIPS2b,svm,42,0,full,random_005,0.888722750299682,0.8961840628507295,1,768,0.2563690970000039,dinov2,
KTHTIPS2b,svm,42,0,full,random_006,0.7394478614989651,0.7589786756453423,1,1280,0.28338255700001014,efficientnet_b0,
KTHTIPS2b,svm,42,0,full,random_007,0.7962084477074088,0.8100448933782267,1,2048,0.19991550299999972,resnet50,
KTHTIPS2b,svm,42,0,full,random_008,0.7954830412593737,0.8153759820426487,1,768,0.3112414849999823,siglip_base,
KTHTIPS2b,svm,42,0,full,random_009,0.6993602963031509,0.7382154882154882,1,768,0.3900235250000037,mae_base,
KTHTIPS2b,svm,42,0,full,random_010,0.15097229936800236,0.2356902356902357,1,18,0.02591128099999196,glcm,
KTHTIPS2b,svm,42,0,full,random_011,0.7954830412593737,0.8153759820426487,1,768,0.3244393759999866,siglip_base,
KTHTIPS2b,svm,42,0,full,random_012,0.7702516771021523,0.7836700336700336,1,1024,0.34885869900000444,densenet121,
KTHTIPS2b,svm,42,0,full,random_013,0.15097229936800236,0.2356902356902357,1,18,0.015617002999988472,glcm,
KTHTIPS2b,svm,42,0,full,random_014,0.15097229936800236,0.2356902356902357,1,18,0.016344777000000477,glcm,
KTHTIPS2b,svm,42,0,full,random_015,0.3410487377186582,0.4172278338945006,1,256,0.12514097999999763,rgb_ngram_svd,
KTHTIPS2b,svm,42,0,full,random_016,0.32966804528537763,0.4001122334455668,1,48,0.056040268000003834,gabor,
KTHTIPS2b,svm,42,0,full,random_017,0.7954830412593737,0.8153759820426487,1,768,0.3528647999999919,siglip_base,
KTHTIPS2b,svm,42,0,full,random_018,0.3180113005188276,0.3434343434343434,1,80,0.044431628000012324,drlbp,
KTHTIPS2b,svm,42,0,full,random_019,0.3180113005188276,0.3434343434343434,1,80,0.04195753499999455,drlbp,
KTHTIPS2b,svm,42,0,full,random_020,0.7613452939785549,0.7730078563411896,1,4096,0.3713723299999856,vgg16,
KTHTIPS2b,svm,42,0,full,random_021,0.7394478614989651,0.7589786756453423,1,1280,0.31909431500000096,efficientnet_b0,
KTHTIPS2b,svm,42,0,full,random_022,0.7954830412593737,0.8153759820426487,1,768,0.3333925340000121,siglip_base,
KTHTIPS2b,svm,42,0,full,random_023,0.3180113005188276,0.3434343434343434,1,80,0.04824128499998892,drlbp,
KTHTIPS2b,svm,42,0,full,random_024,0.7394478614989651,0.7589786756453423,1,1280,0.298225441999989,efficientnet_b0,
KTHTIPS2b,svm,42,0,full,random_025,0.7999907186121406,0.8097643097643098,1,384,0.1358468389999814,deit_s,
KTHTIPS2b,svm,42,0,full,random_026,0.3180113005188276,0.3434343434343434,1,80,0.04382283999999004,drlbp,
