dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
KTHTIPS2b,svm,42,0,full,best_individual,0.9940954934868184,0.9941077441077442,1,1024,1.2297447939999984,dinov2_large,0.9994388113886647
KTHTIPS2b,svm,42,0,full,full_concat,0.9702677603073294,0.9705387205387206,21,19884,11.561031633999846,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
KTHTIPS2b,svm,42,0,full,gfs,0.9632667374701829,0.9638047138047138,2,1280,1.4061827929999708,dinov2_large+rgb_ngram_svd,1.0
KTHTIPS2b,svm,42,0,full,best_homogeneous_transformer,0.9322185992188721,0.9335016835016835,2,1536,1.863794154000061,swin_t+vit_b16,0.9997194056943324
KTHTIPS2b,svm,42,1,full,best_individual,0.9032992169878711,0.9183501683501684,1,768,0.8165208110003732,dinov2,0.9997194056943324
KTHTIPS2b,svm,42,1,full,full_concat,0.9603396248025526,0.9604377104377104,21,19884,11.997344038000847,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
KTHTIPS2b,svm,42,1,full,gfs,0.8834015164850044,0.9057239057239057,2,1536,1.6838770550002664,dinov2+vit_b16,1.0
KTHTIPS2b,svm,42,1,full,best_homogeneous_transformer,0.8589122167763457,0.8678451178451179,2,1536,1.7112027599996509,swin_t+vit_b16,1.0
KTHTIPS2b,svm,42,2,full,best_individual,0.9715095492742553,0.9705387205387206,1,1024,1.0881284839997534,dinov2_large,0.9994388113886647
KTHTIPS2b,svm,42,2,full,full_concat,0.9413891343403894,0.9427609427609428,21,19884,12.734948283000449,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
KTHTIPS2b,svm,42,2,full,gfs,0.8992456651532237,0.9107744107744108,2,1280,1.6184663659996659,dinov2_large+rgb_ngram_svd,0.9997194056943324
KTHTIPS2b,svm,42,2,full,best_homogeneous_self_supervised,0.971910263061245,0.9713804713804713,2,1408,1.6519775160004428,dinov2_large+dinov2_small,0.9997194056943324
KTHTIPS2b,svm,42,3,full,best_individual,0.8736003165993348,0.8745791245791246,1,768,0.8524706999996852,vit_b16,1.0
KTHTIPS2b,svm,42,3,full,full_concat,0.9532053652066491,0.9545454545454546,21,19884,11.51397303199974,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
KTHTIPS2b,svm,42,3,full,gfs,0.8736003165993348,0.8745791245791246,1,768,0.8210468950001086,vit_b16,1.0
KTHTIPS2b,svm,42,3,full,best_homogeneous_transformer,0.8736003165993348,0.8745791245791246,1,768,0.8606553869994968,vit_b16,1.0
KTHTIPS2b,resmlp,42,0,full,best_individual,0.9448998637629749,0.9452861952861953,1,768,2.478289616999973,swin_t,0.9994388113886647
KTHTIPS2b,resmlp,42,0,full,full_concat,0.9780224232999838,0.9781144781144782,21,19884,3.6462994570001683,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
KTHTIPS2b,resmlp,42,0,full,gfs,0.9539310255063924,0.9545454545454546,3,2304,2.024255239000013,swin_t+siglip_base+vit_b16,1.0
KTHTIPS2b,resmlp,42,0,full,best_homogeneous_cnn,0.9713347479744375,0.9713804713804713,2,1792,2.113213419999738,densenet121+convnext_v2_t,1.0
