dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
KTHTIPS2b,svm,42,0,full,random_000,0.9584982434572988,0.9587542087542088,2,2532,3.990828871999838,hog+siglip_base,
KTHTIPS2b,svm,42,0,full,random_001,0.9558105369630016,0.9553872053872053,2,1042,1.4015482639997572,densenet121+glcm,
KTHTIPS2b,svm,42,0,full,random_002,0.9209594162936234,0.9217171717171717,2,3328,6.283797181000409,efficientnet_b0+resnet50,
KTHTIPS2b,svm,42,0,full,random_003,0.62923103411813,0.664983164983165,2,72,0.18051009200007684,glcm+lbp,
KTHTIPS2b,svm,42,0,full,random_004,0.9558105369630016,0.9553872053872053,2,1042,1.4276407269999254,densenet121+glcm,
KTHTIPS2b,svm,42,0,full,random_005,0.917838560325608,0.9208754208754208,2,816,1.161694659999739,gabor+vit_b16,
KTHTIPS2b,svm,42,0,full,random_006,0.4938595408716131,0.5244107744107744,2,336,0.42970918100036215,drlbp+rgb_ngram_svd,
KTHTIPS2b,svm,42,0,full,random_007,0.9410068252239817,0.9410774410774411,2,2048,2.8848311740002828,efficientnet_b0+siglip_base,
KTHTIPS2b,svm,42,0,full,random_008,0.950312992399746,0.9503367003367004,2,1664,1.9663716079994629,deit_s+efficientnet_b0,
KTHTIPS2b,svm,42,0,full,random_009,0.9405815773385986,0.9410774410774411,2,1536,2.0416750750000574,eva02_base+mae_base,
KTHTIPS2b,svm,42,0,full,random_010,0.9562799684856295,0.9562289562289562,2,848,1.045638863000022,drlbp+siglip_base,
KTHTIPS2b,svm,42,0,full,random_011,0.9797235709681561,0.9797979797979798,2,1152,1.3378864000005706,convnext_v2_t+dinov2_small,
KTHTIPS2b,svm,42,0,full,random_012,0.9486788424910624,0.9486531986531986,2,1536,2.2958300880000024,eva02_base+swin_t,
KTHTIPS2b,svm,42,0,full,random_013,0.9890298302901454,0.9890572390572391,2,1792,1.9518156570002247,densenet121+dinov2,
KTHTIPS2b,svm,42,0,full,random_014,0.9677218467912664,0.968013468013468,2,1152,1.2670140829995944,dinov2_small+eva02_base,
KTHTIPS2b,svm,42,0,full,random_015,0.9779093388145509,0.9781144781144782,2,1536,1.666566827000679,dinov2+eva02_base,
KTHTIPS2b,svm,42,0,full,random_016,0.9821857524799341,0.9823232323232324,2,5120,1.1393060049995256,dinov2_large+vgg16,
KTHTIPS2b,svm,42,0,full,random_017,0.832551962616045,0.8324915824915825,2,4114,0.7552667729996756,glcm+vgg16,
KTHTIPS2b,svm,42,0,full,random_018,0.9890298302901454,0.9890572390572391,2,1792,1.9733207850003964,densenet121+dinov2,
KTHTIPS2b,svm,42,0,full,random_019,0.990738794423338,0.9907407407407407,2,816,0.8783331259992337,dinov2+gabor,
KTHTIPS2b,svm,42,0,full,random_020,0.947130172731498,0.946969696969697,2,2816,1.7591068519996043,convnext_v2_t+resnet50,
KTHTIPS2b,svm,42,0,full,random_021,0.8762962877994813,0.8880471380471381,2,4864,1.0827211209998495,vgg16+vit_b16,
KTHTIPS2b,svm,42,0,full,random_022,0.9613560053221103,0.9612794612794613,2,2148,3.3261131139997815,deit_s+hog,
KTHTIPS2b,svm,42,0,full,random_023,0.9209594162936234,0.9217171717171717,2,3328,2.5989955500008364,efficientnet_b0+resnet50,
KTHTIPS2b,svm,42,0,full,random_024,0.5987344722901465,0.6102693602693603,2,1818,4.949066968999432,hog+lbp,
KTHTIPS2b,svm,42,0,full,random_025,0.9051529337006925,0.9082491582491582,2,786,1.3447151370000938,glcm+mae_base,
KTHTIPS2b,svm,42,0,full,random_026,0.9618263466370848,0.9621212121212122,2,2432,1.512146772000051,deit_s+resnet101,
KTHTIPS2b,svm,42,0,full,random_027,0.9105871489100075,0.9116161616161617,2,1328,1.811383590999867,efficientnet_b0+gabor,
KTHTIPS2b,svm,42,0,full,random_028,0.9400743806676335,0.9410774410774411,2,2048,2.401914369000224,efficientnet_b0+eva02_base,
KTHTIPS2b,svm,42,0,full,random_029,0.9473503443715324,0.9478114478114478,2,786,0.985236910999447,eva02_base+glcm,
KTHTIPS2b,svm,42,0,full,random_030,0.9584982434572988,0.9587542087542088,2,2532,3.5274577010004577,hog+siglip_base,
KTHTIPS2b,svm,42,0,full,random_031,0.9822657111898828,0.9823232323232324,2,402,0.46687215699967055,dinov2_small+glcm,
KTHTIPS2b,svm,42,0,full,random_032,0.9941041880320818,0.9941077441077442,2,3072,2.2131577670006664,dinov2_large+resnet101,
KTHTIPS2b,svm,42,0,full,random_033,0.9411730605072995,0.9419191919191919,2,4864,1.0773054190003677,convnext_v2_t+vgg16,
KTHTIPS2b,svm,42,0,full,random_034,0.9618843429291666,0.9621212121212122,2,1664,1.9241368439998041,dinov2_small+efficientnet_b0,
KTHTIPS2b,svm,42,0,full,random_035,0.99152127422504,0.9915824915824916,2,822,0.8872338460005267,dinov2+lbp,
KTHTIPS2b,svm,42,0,full,random_036,0.9448798694138865,0.9452861952861953,2,816,1.1011309179993987,eva02_base+gabor,
KTHTIPS2b,svm,42,0,full,random_037,0.9594807767778498,0.9595959595959596,2,1408,1.8273453660003725,deit_s+densenet121,
KTHTIPS2b,svm,42,0,full,random_038,0.8367889515488852,0.8375420875420876,2,4176,0.913753378000365,drlbp+vgg16,
KTHTIPS2b,svm,42,0,full,random_039,0.9648803429761845,0.9646464646464646,2,786,1.096018721999826,convnext_v2_t+glcm,
KTHTIPS2b,svm,42,0,full,random_040,0.9503588207907074,0.9494949494949495,2,1792,2.5609501540002384,densenet121+mae_base,
KTHTIPS2b,svm,42,0,full,random_041,0.9873090363249107,0.9873737373737373,2,1536,1.778034731999469,dinov2+mae_base,
KTHTIPS2b,svm,42,0,full,random_042,0.9541020049436315,0.9537037037037037,2,4096,1.053366207000181,resnet101+resnet50,
KTHTIPS2b,svm,42,0,full,random_043,0.9541020049436315,0.9537037037037037,2,4096,1.0443535799995516,resnet101+resnet50,
KTHTIPS2b,svm,42,0,full,random_044,0.9881968701233922,0.9882154882154882,2,1792,1.9068414169996686,dinov2_large+siglip_base,
KTHTIPS2b,svm,42,0,full,random_045,0.9714506889062272,0.9713804713804713,2,2816,1.9116133010002159,convnext_v2_t+resnet101,
KTHTIPS2b,svm,42,0,full,random_046,0.9209278538693725,0.9234006734006734,2,848,0.9673809200003234,drlbp+vit_b16,
KTHTIPS2b,svm,42,0,full,random_047,0.9534103125687152,0.9537037037037037,2,1536,1.8125053670000852,siglip_base+swin_t,
KTHTIPS2b,svm,42,0,full,random_048,0.8897504281167185,0.8897306397306397,2,3812,1.9424317479997626,hog+resnet50,
KTHTIPS2b,svm,42,0,full,random_049,0.9664381954479904,0.9663299663299664,2,816,0.9948045849996561,convnext_v2_t+gabor,
KTHTIPS2b,svm,42,0,full,random_050,0.9633906097698074,0.9638047138047138,2,2048,2.3196396419998564,convnext_v2_t+efficientnet_b0,
KTHTIPS2b,svm,42,0,full,random_051,0.9821857524799341,0.9823232323232324,2,5120,1.1408342980003,dinov2_large+vgg16,
KTHTIPS2b,svm,42,0,full,random_052,0.9881968701233922,0.9882154882154882,2,1792,1.9310931259997233,dinov2_large+siglip_base,
KTHTIPS2b,svm,42,0,full,random_053,0.9840581532549322,0.984006734006734,2,1536,1.7571057309996831,convnext_v2_t+dinov2,
KTHTIPS2b,svm,42,0,full,random_054,0.8847010385509346,0.8855218855218855,2,2066,1.1146672479999324,glcm+resnet50,
KTHTIPS2b,svm,42,0,full,random_055,0.89348487854819,0.8947811447811448,2,1280,1.388695397000447,densenet121+rgb_ngram_svd,
KTHTIPS2b,svm,42,0,full,random_056,0.972299906492938,0.9722222222222222,2,1152,1.5644644490002975,dinov2_small+mae_base,
KTHTIPS2b,svm,42,0,full,random_057,0.48454360732407925,0.5143097643097643,2,274,0.5000883599996087,glcm+rgb_ngram_svd,
KTHTIPS2b,svm,42,0,full,random_058,0.9668523617282432,0.9671717171717171,2,1152,1.4763311220003743,deit_s+siglip_base,
KTHTIPS2b,svm,42,0,full,random_059,0.9613560053221103,0.9612794612794613,2,2148,3.2365586680007254,deit_s+hog,
KTHTIPS2b,svm,42,0,full,random_060,0.48454360732407925,0.5143097643097643,2,274,0.4186117709996324,glcm+rgb_ngram_svd,
KTHTIPS2b,svm,42,0,full,random_061,0.62923103411813,0.664983164983165,2,72,0.18494470899986482,glcm+lbp,
KTHTIPS2b,svm,42,0,full,random_062,0.9966328522874867,0.9966329966329966,2,1104,1.331456320000143,dinov2_large+drlbp,
KTHTIPS2b,svm,42,0,full,random_063,0.8817896333961042,0.882996632996633,2,2102,1.0879962310000337,lbp+resnet50,
KTHTIPS2b,svm,42,0,full,random_064,0.9188795096790958,0.9217171717171717,2,1536,1.982754519000082,mae_base+vit_b16,
KTHTIPS2b,svm,42,0,full,random_065,0.832551962616045,0.8324915824915825,2,4114,0.788679513999341,glcm+vgg16,
KTHTIPS2b,svm,42,0,full,random_066,0.9462925638003042,0.9461279461279462,2,3328,2.601672554000288,efficientnet_b0+resnet101,
KTHTIPS2b,svm,42,0,full,random_067,0.9687504338632217,0.9688552188552189,2,3072,2.118657634000556,densenet121+resnet101,
KTHTIPS2b,svm,42,0,full,random_068,0.9286522837831995,0.9284511784511784,2,2532,3.2104260179994526,hog+swin_t,
KTHTIPS2b,svm,42,0,full,random_069,0.9565967258137621,0.9562289562289562,2,1104,1.413411442999859,densenet121+drlbp,
KTHTIPS2b,svm,42,0,full,random_070,0.9797235709681561,0.9797979797979798,2,1152,1.2531092179997358,convnext_v2_t+dinov2_small,
KTHTIPS2b,svm,42,0,full,random_071,0.8326563185487248,0.8324915824915825,2,5860,1.9063282750003054,hog+vgg16,
KTHTIPS2b,svm,42,0,full,random_072,0.9797235709681561,0.9797979797979798,2,1152,1.2291107809996902,convnext_v2_t+dinov2_small,
KTHTIPS2b,svm,42,0,full,random_073,0.996632601662479,0.9966329966329966,2,1078,1.2445270920006806,dinov2_large+lbp,
KTHTIPS2b,svm,42,0,full,random_074,0.9503588207907074,0.9494949494949495,2,1792,2.4223411619996114,densenet121+mae_base,
KTHTIPS2b,svm,42,0,full,random_075,0.9966328522874867,0.9966329966329966,2,1104,1.4187938250006482,dinov2_large+drlbp,
KTHTIPS2b,svm,42,0,full,random_076,0.8314139163412446,0.8333333333333334,2,4864,1.417913225999655,mae_base+vgg16,
KTHTIPS2b,svm,42,0,full,random_077,0.8843515138517158,0.8863636363636364,2,1024,1.3013607019993287,rgb_ngram_svd+swin_t,
KTHTIPS2b,svm,42,0,full,random_078,0.8843515138517158,0.8863636363636364,2,1024,1.2336060239995277,rgb_ngram_svd+swin_t,
KTHTIPS2b,svm,42,0,full,random_079,0.8728518246594033,0.8745791245791246,2,2816,2.2392508600005385,mae_base+resnet50,
KTHTIPS2b,svm,42,0,full,random_080,0.9410043016772001,0.9427609427609428,2,1536,1.8152399610007706,siglip_base+vit_b16,
KTHTIPS2b,svm,42,0,full,random_081,0.9473503443715324,0.9478114478114478,2,786,1.021008165999774,eva02_base+glcm,
KTHTIPS2b,svm,42,0,full,random_082,0.948241954893869,0.9486531986531986,2,848,1.0381895049995364,drlbp+eva02_base,
KTHTIPS2b,svm,42,0,full,random_083,0.9267405704611652,0.9267676767676768,2,786,0.9722611269999106,glcm+swin_t,
KTHTIPS2b,svm,42,0,full,random_084,0.958565305808463,0.9587542087542088,2,438,0.5735028299995975,deit_s+lbp,
KTHTIPS2b,svm,42,0,full,random_085,0.8464482158437491,0.8484848484848485,2,2304,1.3707852899997306,resnet101+rgb_ngram_svd,
KTHTIPS2b,svm,42,0,full,random_086,0.9648803429761845,0.9646464646464646,2,786,0.9425390599999446,convnext_v2_t+glcm,
KTHTIPS2b,svm,42,0,full,random_087,0.9578758810984703,0.9579124579124579,2,1792,2.3188393039999937,densenet121+siglip_base,
KTHTIPS2b,svm,42,0,full,random_088,0.9403274404501576,0.9410774410774411,2,1536,1.707229917999939,eva02_base+vit_b16,
KTHTIPS2b,svm,42,0,full,random_089,0.948167713882869,0.9486531986531986,2,2532,3.3550438769998436,eva02_base+hog,
KTHTIPS2b,svm,42,0,full,random_090,0.9410043016772001,0.9427609427609428,2,1536,1.7501776270000846,siglip_base+vit_b16,
KTHTIPS2b,svm,42,0,full,random_091,0.9704707431673613,0.9705387205387206,2,1152,1.3425520869996035,dinov2_small+siglip_base,
KTHTIPS2b,svm,42,0,full,random_092,0.8816848249478664,0.8796296296296297,2,6144,1.086808758999723,resnet50+vgg16,
KTHTIPS2b,svm,42,0,full,random_093,0.9671748090197311,0.9671717171717171,2,464,0.582675313999971,deit_s+drlbp,
KTHTIPS2b,svm,42,0,full,random_094,0.9230436943981569,0.9234006734006734,2,2816,1.7911739219998708,resnet50+swin_t,
KTHTIPS2b,svm,42,0,full,random_095,0.9788923508395402,0.9789562289562289,2,1408,1.6210241869994206,densenet121+dinov2_small,
KTHTIPS2b,svm,42,0,full,random_096,0.5474984049891772,0.5698653198653199,2,2020,3.5742415830000027,hog+rgb_ngram_svd,
KTHTIPS2b,svm,42,0,full,random_097,0.9071436385946344,0.9074074074074074,2,6144,1.1934216070003458,resnet101+vgg16,
KTHTIPS2b,svm,42,0,full,random_098,0.945671659073768,0.946969696969697,2,2048,2.2786413029998585,efficientnet_b0+vit_b16,
KTHTIPS2b,svm,42,0,full,random_099,0.9188795096790958,0.9217171717171717,2,1536,1.9316548209999382,mae_base+vit_b16,
KTHTIPS2b,svm,42,1,full,random_000,0.7131014785417421,0.7533670033670034,2,640,0.7497097059995212,deit_s+rgb_ngram_svd,
KTHTIPS2b,svm,42,1,full,random_001,0.8222038630721653,0.8484848484848485,2,5860,1.9401630250004018,hog+vgg16,
KTHTIPS2b,svm,42,1,full,random_002,0.9044971304248793,0.9191919191919192,2,2532,2.885372830000051,dinov2+hog,
KTHTIPS2b,svm,42,1,full,random_003,0.8961722999980924,0.9006734006734006,2,432,0.4958784540003762,dinov2_small+gabor,
