dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
KTHTIPS2b,resmlp,42,0,full,best_homogeneous_cnn,0.9713347479744375,0.9713804713804713,2,1792,2.3108503249968635,densenet121+convnext_v2_t,1.0
KTHTIPS2b,resmlp,42,0,full,best_individual,0.9448998637629749,0.9452861952861953,1,768,2.424115877991426,swin_t,0.9994388113886647
KTHTIPS2b,resmlp,42,0,full,full_concat,0.9814104269185377,0.9814814814814815,22,20652,3.981500423004036,beitv2_base_final+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
KTHTIPS2b,resmlp,42,0,full,gfs,0.9539310255063924,0.9545454545454546,3,2304,2.3065688660135493,swin_t+siglip_base+vit_b16,1.0
KTHTIPS2b,resmlp,42,1,full,best_homogeneous_transformer,0.9150665280168191,0.9217171717171717,1,768,2.9563597749947803,beitv2_base_final,1.0
KTHTIPS2b,resmlp,42,1,full,best_individual,0.9150665280168191,0.9217171717171717,1,768,2.46088222299295,beitv2_base_final,1.0
KTHTIPS2b,resmlp,42,1,full,full_concat,0.9512830486402809,0.9511784511784511,22,20652,2.5787355939974077,beitv2_base_final+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
KTHTIPS2b,resmlp,42,1,full,gfs,0.9150665280168191,0.9217171717171717,1,768,2.49728773800598,beitv2_base_final,1.0
KTHTIPS2b,resmlp,42,2,full,best_homogeneous_self_supervised,0.8937660887430545,0.9006734006734006,1,384,2.6432616349920863,dinov2_small,0.9997194056943324
KTHTIPS2b,resmlp,42,2,full,best_individual,0.8937660887430545,0.9006734006734006,1,384,2.6528281639912166,dinov2_small,0.9997194056943324
KTHTIPS2b,resmlp,42,2,full,full_concat,0.9479158169508117,0.9494949494949495,22,20652,4.009307619009633,beitv2_base_final+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
KTHTIPS2b,resmlp,42,2,full,gfs,0.9406834496906128,0.9393939393939394,3,1920,2.5049172139988514,dinov2_small+siglip_base+vit_b16,1.0
KTHTIPS2b,resmlp,42,3,full,best_homogeneous_transformer,0.8706960847133588,0.8720538720538721,1,768,2.7345409949921304,vit_b16,1.0
KTHTIPS2b,resmlp,42,3,full,best_individual,0.8706960847133588,0.8720538720538721,1,768,2.339496689994121,vit_b16,1.0
KTHTIPS2b,resmlp,42,3,full,full_concat,0.9142710549603822,0.9175084175084175,22,20652,3.313675842000521,beitv2_base_final+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
KTHTIPS2b,resmlp,42,3,full,gfs,0.8706960847133588,0.8720538720538721,1,768,2.5461003669915954,vit_b16,1.0
KTHTIPS2b,svm,42,0,full,best_homogeneous_transformer,0.944151031384262,0.9452861952861953,2,1536,3.1451677969962475,beitv2_base_final+vit_b16,1.0
KTHTIPS2b,svm,42,0,full,best_individual,0.9940954934868184,0.9941077441077442,1,1024,1.7044477780000307,dinov2_large,0.9994388113886647
KTHTIPS2b,svm,42,0,full,full_concat,0.9728602488727851,0.9730639730639731,22,20652,24.41345943899796,beitv2_base_final+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
KTHTIPS2b,svm,42,0,full,gfs,0.9632667374701829,0.9638047138047138,2,1280,2.763020084006712,dinov2_large+rgb_ngram_svd,1.0
KTHTIPS2b,svm,42,1,full,best_homogeneous_transformer,0.9039989015967734,0.9107744107744108,1,768,2.3632496220016037,beitv2_base_final,1.0
KTHTIPS2b,svm,42,1,full,best_individual,0.9039989015967734,0.9107744107744108,1,768,1.771782201998576,beitv2_base_final,1.0
KTHTIPS2b,svm,42,1,full,full_concat,0.9585289492461502,0.9587542087542088,22,20652,26.614532234001672,beitv2_base_final+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
KTHTIPS2b,svm,42,1,full,gfs,0.9039989015967734,0.9107744107744108,1,768,1.9018776350058033,beitv2_base_final,1.0
KTHTIPS2b,svm,42,2,full,best_homogeneous_transformer,0.9866463768766874,0.9865319865319865,1,768,1.7379807570032426,beitv2_base_final,0.9997194056943324
KTHTIPS2b,svm,42,2,full,best_individual,0.9866463768766874,0.9865319865319865,1,768,1.3028466899995692,beitv2_base_final,0.9997194056943324
KTHTIPS2b,svm,42,2,full,full_concat,0.9532406228722189,0.9545454545454546,22,20652,28.0203590539968,beitv2_base_final+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
KTHTIPS2b,svm,42,2,full,gfs,0.8800793679566986,0.8956228956228957,2,1024,2.25455418999627,beitv2_base_final+rgb_ngram_svd,1.0
KTHTIPS2b,svm,42,3,full,best_homogeneous_transformer,0.8736003165993348,0.8745791245791246,1,768,1.1942337500004214,vit_b16,1.0
KTHTIPS2b,svm,42,3,full,best_individual,0.8736003165993348,0.8745791245791246,1,768,1.4902891279998585,vit_b16,1.0
KTHTIPS2b,svm,42,3,full,full_concat,0.9558938038920122,0.9570707070707071,22,20652,15.739204796002014,beitv2_base_final+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
KTHTIPS2b,svm,42,3,full,gfs,0.8736003165993348,0.8745791245791246,1,768,1.0692025829994236,vit_b16,1.0
