dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
KTHTIPS2b,resmlp,42,0,full,random_000,0.8764582749319321,0.8745791245791246,3,6162,2.6676619640056742,glcm+resnet50+vgg16,
KTHTIPS2b,resmlp,42,0,full,random_001,0.9349584997828843,0.9343434343434344,3,3152,2.1610078920057276,densenet121+drlbp+resnet50,
KTHTIPS2b,resmlp,42,0,full,random_002,0.9597940946081621,0.9595959595959596,3,3200,2.388074257003609,deit_s+eva02_base+resnet50,
KTHTIPS2b,resmlp,42,0,full,random_003,0.9463567109650435,0.9461279461279462,3,6912,3.6535590199928265,eva02_base+resnet50+vgg16,
KTHTIPS2b,resmlp,42,0,full,random_004,0.9341354275374761,0.9343434343434344,3,2896,2.4107554749934934,drlbp+resnet50+swin_t,
KTHTIPS2b,resmlp,42,0,full,random_005,0.9890181705100681,0.9890572390572391,3,3200,2.864558349989238,convnext_v2_t+dinov2_small+resnet101,
KTHTIPS2b,resmlp,42,0,full,random_006,0.980551186393237,0.9806397306397306,3,2450,2.9476264620025177,dinov2_small+glcm+resnet50,
KTHTIPS2b,resmlp,42,0,full,random_007,0.9453527028133358,0.9461279461279462,3,2102,1.8945342210063245,efficientnet_b0+lbp+swin_t,
KTHTIPS2b,resmlp,42,0,full,random_008,0.9739249847891311,0.9739057239057239,3,3200,2.9977523060078965,deit_s+eva02_base+resnet101,
KTHTIPS2b,resmlp,42,0,full,random_009,0.9545915600336395,0.9545454545454546,3,4352,2.8172339699958684,densenet121+efficientnet_b0+resnet101,
KTHTIPS2b,resmlp,42,0,full,random_010,0.9145979330617808,0.914983164983165,3,4882,3.0916697189968545,convnext_v2_t+glcm+vgg16,
KTHTIPS2b,resmlp,42,0,full,random_011,0.981376837693763,0.9814814814814815,3,816,3.0347270860074786,deit_s+dinov2_small+gabor,
KTHTIPS2b,resmlp,42,0,full,random_012,0.9695833841922858,0.9696969696969697,3,3584,2.3620512490015244,beitv2_base_final+resnet101+swin_t,
KTHTIPS2b,resmlp,42,0,full,random_013,0.980686098257546,0.9806397306397306,3,2916,3.5661338640056783,convnext_v2_t+dinov2_small+hog,
KTHTIPS2b,resmlp,42,0,full,random_014,0.9500071051350649,0.9503367003367004,3,902,2.668951329003903,drlbp+lbp+siglip_base,
KTHTIPS2b,resmlp,42,0,full,random_015,0.9924072851282179,0.9924242424242424,3,870,2.914404196999385,dinov2+gabor+lbp,
KTHTIPS2b,resmlp,42,0,full,random_016,0.9189692081981672,0.92003367003367,3,1346,2.426786286989227,efficientnet_b0+gabor+glcm,
KTHTIPS2b,resmlp,42,0,full,random_017,0.9548113469723147,0.9553872053872053,3,1616,2.9170449279918103,beitv2_base_final+drlbp+eva02_base,
KTHTIPS2b,resmlp,42,0,full,random_018,0.9898981834055237,0.98989898989899,3,2834,2.3650039350031875,dinov2+glcm+resnet50,
KTHTIPS2b,resmlp,42,0,full,random_019,0.9847642004628964,0.9848484848484849,3,2834,2.754934875003528,dinov2+glcm+resnet101,
KTHTIPS2b,resmlp,42,0,full,random_020,0.9763326501258373,0.9764309764309764,3,2432,2.453758610994555,beitv2_base_final+deit_s+efficientnet_b0,
KTHTIPS2b,resmlp,42,0,full,random_021,0.9907376313237726,0.9907407407407407,3,3812,3.175078828004189,densenet121+dinov2_large+hog,
