dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
KTHTIPS2b,svm,42,0,full,best_individual,0.9128137451879978,0.9132996632996633,1,1024,1.263415785999996,swinv2_base,0.9994388113886647
KTHTIPS2b,svm,42,0,full,full_concat,0.9728180174702789,0.9730639730639731,22,21420,13.716416392999918,beitv2_base+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+swinv2_base+vgg16+vit_b16,nan
KTHTIPS2b,svm,42,0,full,gfs,0.9272589845067284,0.9284511784511784,2,1792,2.062611206999918,swinv2_base+vit_b16,0.9997194056943324
KTHTIPS2b,svm,42,0,full,best_homogeneous_transformer,0.9272589845067284,0.9284511784511784,2,1792,2.1494162209999104,swinv2_base+vit_b16,0.9997194056943324
KTHTIPS2b,svm,42,1,full,best_individual,0.9039989015967734,0.9107744107744108,1,768,0.8012738289999106,beitv2_base,1.0
KTHTIPS2b,svm,42,1,full,full_concat,0.915329496804231,0.9208754208754208,22,21420,12.961255831000017,beitv2_base+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+swinv2_base+vgg16+vit_b16,nan
KTHTIPS2b,svm,42,1,full,gfs,0.9039989015967734,0.9107744107744108,1,768,0.8101984230002017,beitv2_base,1.0
KTHTIPS2b,svm,42,1,full,best_homogeneous_transformer,0.9039989015967734,0.9107744107744108,1,768,0.7909879200001342,beitv2_base,1.0
KTHTIPS2b,svm,42,2,full,best_individual,0.9866463768766874,0.9865319865319865,1,768,0.8443742409999686,beitv2_base,0.9997194056943324
KTHTIPS2b,svm,42,2,full,full_concat,0.9653204847047959,0.9654882154882155,22,21420,14.318932485000005,beitv2_base+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+swinv2_base+vgg16+vit_b16,nan
KTHTIPS2b,svm,42,2,full,gfs,0.9866463768766874,0.9865319865319865,1,768,0.8550744520002809,beitv2_base,0.9997194056943324
KTHTIPS2b,svm,42,2,full,best_homogeneous_transformer,0.9866463768766874,0.9865319865319865,1,768,0.8611568719998104,beitv2_base,0.9997194056943324
KTHTIPS2b,svm,42,3,full,best_individual,0.8674055411285294,0.8695286195286195,1,768,0.8376635960003114,vit_b16,1.0
KTHTIPS2b,svm,42,3,full,full_concat,0.9356679798308026,0.9385521885521886,22,21420,14.226235852999707,beitv2_base+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+swinv2_base+vgg16+vit_b16,nan
KTHTIPS2b,svm,42,3,full,gfs,0.8674055411285294,0.8695286195286195,1,768,0.8549982100003035,vit_b16,1.0
KTHTIPS2b,svm,42,3,full,best_homogeneous_transformer,0.8674055411285294,0.8695286195286195,1,768,0.8257548959995802,vit_b16,1.0
KTHTIPS2b,resmlp,42,0,full,best_individual,0.9754427712949126,0.9755892255892256,1,384,6.662781693999932,dinov2_small,0.9997194056943324
KTHTIPS2b,resmlp,42,0,full,full_concat,0.9797313319889334,0.9797979797979798,22,21420,31.725849189999963,beitv2_base+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+swinv2_base+vgg16+vit_b16,nan
KTHTIPS2b,resmlp,42,0,full,gfs,0.9754427712949126,0.9755892255892256,1,384,6.87345236200008,dinov2_small,0.9997194056943324
KTHTIPS2b,resmlp,42,0,full,best_homogeneous_self_supervised,0.9754427712949126,0.9755892255892256,1,384,6.883259763000069,dinov2_small,0.9997194056943324
KTHTIPS2b,resmlp,42,1,full,best_individual,0.9110904467662668,0.9175084175084175,1,768,5.22407657399981,beitv2_base,1.0
KTHTIPS2b,resmlp,42,1,full,full_concat,0.9403743633720496,0.9410774410774411,22,21420,30.591148398000314,beitv2_base+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+swinv2_base+vgg16+vit_b16,nan
KTHTIPS2b,resmlp,42,1,full,gfs,0.9110904467662668,0.9175084175084175,1,768,5.619007511000291,beitv2_base,1.0
KTHTIPS2b,resmlp,42,1,full,best_homogeneous_transformer,0.9110904467662668,0.9175084175084175,1,768,5.2215913869999895,beitv2_base,1.0
KTHTIPS2b,resmlp,42,2,full,best_individual,0.8955851656404641,0.9040404040404041,1,384,3.916355707000548,dinov2_small,0.9994405117681894
KTHTIPS2b,resmlp,42,2,full,full_concat,0.9510923858749947,0.952020202020202,22,21420,28.91421803999947,beitv2_base+convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+swinv2_base+vgg16+vit_b16,nan
KTHTIPS2b,resmlp,42,2,full,gfs,0.9392392370727438,0.9385521885521886,3,1920,6.17924905000018,dinov2_small+siglip_base+convnext_v2_t,1.0
KTHTIPS2b,resmlp,42,2,full,best_homogeneous_transformer,0.9692780425321236,0.9696969696969697,2,1792,6.0457412679998015,beitv2_base+swinv2_base,0.9997194056943324
KTHTIPS2b,resmlp,42,3,full,best_individual,0.8504992753574392,0.8552188552188552,1,1024,4.3607458209999095,densenet121,0.9997194056943324
