dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
KTHTIPS2b,svm,42,0,full,random_000,0.7954830412593737,0.8153759820426487,1,768,0.33579668099991977,siglip_base,
KTHTIPS2b,svm,42,0,full,random_001,0.30860080806672163,0.31397306397306396,1,1764,1.2968953540002985,hog,
KTHTIPS2b,svm,42,0,full,random_002,0.7613452939785549,0.7730078563411896,1,4096,0.30669356300131767,vgg16,
KTHTIPS2b,svm,42,0,full,random_003,0.7702516771021523,0.7836700336700336,1,1024,0.36675851800100645,densenet121,
KTHTIPS2b,svm,42,0,full,random_004,0.32966804528537763,0.4001122334455668,1,48,0.04843119200086221,gabor,
KTHTIPS2b,svm,42,0,full,random_005,0.888722750299682,0.8961840628507295,1,768,0.25906285499877413,dinov2,
KTHTIPS2b,svm,42,0,full,random_006,0.7394478614989651,0.7589786756453423,1,1280,0.3134913920002873,efficientnet_b0,
KTHTIPS2b,svm,42,0,full,random_007,0.7962084477074088,0.8100448933782267,1,2048,0.22054224699968472,resnet50,
KTHTIPS2b,svm,42,0,full,random_008,0.7962084477074088,0.8100448933782267,1,2048,0.20285414699901594,resnet50,
KTHTIPS2b,svm,42,0,full,random_009,0.4801111010682876,0.5165544332210998,1,54,0.0428311739997298,lbp,
KTHTIPS2b,svm,42,0,full,random_010,0.32966804528537763,0.4001122334455668,1,48,0.03220726899962756,gabor,
KTHTIPS2b,svm,42,0,full,random_011,0.7962084477074088,0.8100448933782267,1,2048,0.18907528199997614,resnet50,
KTHTIPS2b,svm,42,0,full,random_012,0.7702516771021523,0.7836700336700336,1,1024,0.3353997720005282,densenet121,
KTHTIPS2b,svm,42,0,full,random_013,0.32966804528537763,0.4001122334455668,1,48,0.04523449599946616,gabor,
KTHTIPS2b,svm,42,0,full,random_014,0.15097229936800236,0.2356902356902357,1,18,0.020885047000774648,glcm,
KTHTIPS2b,svm,42,0,full,random_015,0.8432734492619197,0.8546576879910214,1,768,0.23527436400036095,vit_b16,
KTHTIPS2b,svm,42,0,full,random_016,0.32966804528537763,0.4001122334455668,1,48,0.04262794500027667,gabor,
KTHTIPS2b,svm,42,0,full,random_017,0.7962084477074088,0.8100448933782267,1,2048,0.20920857699820772,resnet50,
KTHTIPS2b,svm,42,0,full,random_018,0.3180113005188276,0.3434343434343434,1,80,0.03572537600120995,drlbp,
KTHTIPS2b,svm,42,0,full,random_019,0.3180113005188276,0.3434343434343434,1,80,0.03420384799755993,drlbp,
KTHTIPS2b,svm,42,0,full,random_020,0.7613452939785549,0.7730078563411896,1,4096,0.24559318799947505,vgg16,
KTHTIPS2b,svm,42,0,full,random_021,0.7394478614989651,0.7589786756453423,1,1280,0.29943752299732296,efficientnet_b0,
KTHTIPS2b,svm,42,0,full,random_022,0.7962084477074088,0.8100448933782267,1,2048,0.2188989259993832,resnet50,
KTHTIPS2b,svm,42,0,full,random_023,0.8475620455810774,0.856341189674523,1,384,0.1323577999974077,dinov2_small,
KTHTIPS2b,svm,42,0,full,random_024,0.7394478614989651,0.7589786756453423,1,1280,0.28924507400006405,efficientnet_b0,
KTHTIPS2b,svm,42,0,full,random_025,0.7999907186121406,0.8097643097643098,1,384,0.1476386399990588,deit_s,
KTHTIPS2b,svm,42,0,full,random_026,0.3180113005188276,0.3434343434343434,1,80,0.052797278000070946,drlbp,
KTHTIPS2b,svm,42,0,full,random_027,0.6993602963031509,0.7382154882154882,1,768,0.3819962770030543,mae_base,
KTHTIPS2b,svm,42,0,full,random_028,0.838154756226282,0.8501683501683501,1,768,0.2540421209996566,eva02_base,
KTHTIPS2b,svm,42,0,full,random_029,0.838154756226282,0.8501683501683501,1,768,0.2515067189997353,eva02_base,
KTHTIPS2b,svm,42,0,full,random_030,0.3180113005188276,0.3434343434343434,1,80,0.03831025399995269,drlbp,
KTHTIPS2b,svm,42,0,full,random_031,0.7962084477074088,0.8100448933782267,1,2048,0.19967481799903908,resnet50,
KTHTIPS2b,svm,42,0,full,random_032,0.15097229936800236,0.2356902356902357,1,18,0.016482156999700237,glcm,
KTHTIPS2b,svm,42,0,full,random_033,0.8515416582689777,0.8546576879910214,1,768,0.2674611440015724,convnext_v2_t,
KTHTIPS2b,svm,42,0,full,random_034,0.8475620455810774,0.856341189674523,1,384,0.13009920600234182,dinov2_small,
KTHTIPS2b,svm,42,0,full,random_035,0.6993602963031509,0.7382154882154882,1,768,0.3619268229995214,mae_base,
KTHTIPS2b,svm,42,0,full,random_036,0.838154756226282,0.8501683501683501,1,768,0.25460341600046377,eva02_base,
KTHTIPS2b,svm,42,0,full,random_037,0.8244390937179024,0.8333333333333334,1,768,0.2519952920010837,swin_t,
KTHTIPS2b,svm,42,0,full,random_038,0.4801111010682876,0.5165544332210998,1,54,0.04315277999921818,lbp,
KTHTIPS2b,svm,42,0,full,random_039,0.888722750299682,0.8961840628507295,1,768,0.24402654499863274,dinov2,
KTHTIPS2b,svm,42,0,full,random_040,0.7702516771021523,0.7836700336700336,1,1024,0.3265808200012543,densenet121,
KTHTIPS2b,svm,42,0,full,random_041,0.8226631967224755,0.8282828282828283,1,2048,0.26227444199685124,resnet101,
KTHTIPS2b,svm,42,0,full,random_042,0.838154756226282,0.8501683501683501,1,768,0.25742167699718266,eva02_base,
KTHTIPS2b,svm,42,0,full,random_043,0.8475620455810774,0.856341189674523,1,384,0.13037720000284025,dinov2_small,
KTHTIPS2b,svm,42,0,full,random_044,0.7962084477074088,0.8100448933782267,1,2048,0.1953573190003226,resnet50,
KTHTIPS2b,svm,42,0,full,random_045,0.838154756226282,0.8501683501683501,1,768,0.25052481400052784,eva02_base,
KTHTIPS2b,svm,42,0,full,random_046,0.7702516771021523,0.7836700336700336,1,1024,0.32596131899845204,densenet121,
KTHTIPS2b,svm,42,0,full,random_047,0.6993602963031509,0.7382154882154882,1,768,0.3593007029994624,mae_base,
KTHTIPS2b,svm,42,0,full,random_048,0.7613452939785549,0.7730078563411896,1,4096,0.29434472499997355,vgg16,
KTHTIPS2b,svm,42,0,full,random_049,0.9017348584179206,0.9088103254769921,1,1024,0.35552906099837855,dinov2_large,
KTHTIPS2b,svm,42,0,full,random_050,0.7999907186121406,0.8097643097643098,1,384,0.13247861599666066,deit_s,
KTHTIPS2b,svm,42,0,full,random_051,0.15097229936800236,0.2356902356902357,1,18,0.01509702800103696,glcm,
