row_id,label,sample,group,source_path,source_sha256,official_split,split_1,split_2,split_3,split_4
0,aluminium_foil,a,730fa8e132bc59ef5754ae58d9fa9b8e48f143308c145fba89334a549948fc93,data/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_10_col.png,730fa8e132bc59ef5754ae58d9fa9b8e48f143308c145fba89334a549948fc93,FOUR_FOLD_ONE_SAMPLE_TRAIN_SEE_split_1_4,train,test,test,test
1,aluminium_foil,a,7b6f4ca61f1d46ef763c8393e79b3cb95b53331b065cac165fa8b62b00c7407a,data/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_11_col.png,7b6f4ca61f1d46ef763c8393e79b3cb95b53331b065cac165fa8b62b00c7407a,FOUR_FOLD_ONE_SAMPLE_TRAIN_SEE_split_1_4,train,test,test,test
2,aluminium_foil,a,281b09c4791b9c7e1d0e83a577924b4e6efcc6122c2f9444ce7b2a5ae0be8918,data/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_12_col.png,281b09c4791b9c7e1d0e83a577924b4e6efcc6122c2f9444ce7b2a5ae0be8918,FOUR_FOLD_ONE_SAMPLE_TRAIN_SEE_split_1_4,train,test,test,test
3,aluminium_foil,a,46914afab5d4d371ccf5dd6eb8ace39704d98c18fec061119b1b89522026c8dd,data/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_1_col.png,46914afab5d4d371ccf5dd6eb8ace39704d98c18fec061119b1b89522026c8dd,FOUR_FOLD_ONE_SAMPLE_TRAIN_SEE_split_1_4,train,test,test,test
4,aluminium_foil,a,9218cfe7265ccdb9a73fbafd5b1a5a871401d72efee1130735236969e8022b78,data/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_2_col.png,9218cfe7265ccdb9a73fbafd5b1a5a871401d72efee1130735236969e8022b78,FOUR_FOLD_ONE_SAMPLE_TRAIN_SEE_split_1_4,train,test,test,test
5,aluminium_foil,a,0242683e976df4e66bfb22ce8996bd5e9a7cc83d19396fd035730eaeb0287e5f,data/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_3_col.png,0242683e976df4e66bfb22ce8996bd5e9a7cc83d19396fd035730eaeb0287e5f,FOUR_FOLD_ONE_SAMPLE_TRAIN_SEE_split_1_4,train,test,test,test
6,aluminium_foil,a,8425a1287f1cc09016f02940e19bb0d1c37caf6c0498fcc54160a64991111344,data/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_4_col.png,8425a1287f1cc09016f02940e19bb0d1c37caf6c0498fcc54160a64991111344,FOUR_FOLD_ONE_SAMPLE_TRAIN_SEE_split_1_4,train,test,test,test
7,aluminium_foil,a,4f00720b049acc07d8db2279df9c4aa0b564f36b91bd38ce6998ddd74792d0ae,data/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_5_col.png,4f00720b049acc07d8db2279df9c4aa0b564f36b91bd38ce6998ddd74792d0ae,FOUR_FOLD_ONE_SAMPLE_TRAIN_SEE_split_1_4,train,test,test,test
8,aluminium_foil,a,e2111b815113df12e2eac76a41ea194b358abdeb0244b7eb0fc75bcdf8e89a90,data/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_6_col.png,e2111b815113df12e2eac76a41ea194b358abdeb0244b7eb0fc75bcdf8e89a90,FOUR_FOLD_ONE_SAMPLE_TRAIN_SEE_split_1_4,train,test,test,test
9,aluminium_foil,a,28fc3dc7cccaa9ec51d23d0521ac29e52da3f0cdb1d641dd2fd5ac01e157b05a,data/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_7_col.png,28fc3dc7cccaa9ec51d23d0521ac29e52da3f0cdb1d641dd2fd5ac01e157b05a,FOUR_FOLD_ONE_SAMPLE_TRAIN_SEE_split_1_4,train,test,test,test
10,aluminium_foil,a,78401f97fb758dcada9bc9adb2a48498d91aaf014b6597ce6d2de57bc9a714d8,data/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_8_col.png,78401f97fb758dcada9bc9adb2a48498d91aaf014b6597ce6d2de57bc9a714d8,FOUR_FOLD_ONE_SAMPLE_TRAIN_SEE_split_1_4,train,test,test,test
11,aluminium_foil,a,c01e3e6cee45a5460cba6587423cd9824d34263625a167d27cd36419a61cf2d2,data/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_9_col.png,c01e3e6cee45a5460cba6587423cd9824d34263625a167d27cd36419a61cf2d2,FOUR_FOLD_ONE_SAMPLE_TRAIN_SEE_split_1_4,train,test,test,test
12,aluminium_foil,a,11a60e0d5eee0aaffa7fcf94fdedfe0d9a97613a348d7a47af2b76f6027721bd,data/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_2_im_10_col.png,11a60e0d5eee0aaffa7fcf94fdedfe0d9a97613a348d7a47af2b76f6027721bd,FOUR_FOLD_ONE_SAMPLE_TRAIN_SEE_split_1_4,train,test,test,test
13,aluminium_foil,a,438450175d9527f1e6f998d742fe9711be1de1a8e41090fbafa99266370e7eef,data/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_2_im_11_col.png,438450175d9527f1e6f998d742fe9711be1de1a8e41090fbafa99266370e7eef,FOUR_FOLD_ONE_SAMPLE_TRAIN_SEE_split_1_4,train,test,test,test
14,aluminium_foil,a,3460272c10e83a0330930a5dc2788d09bde6fa221babb5ea755fb1ef1936a874,data/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_2_im_12_col.png,3460272c10e83a0330930a5dc2788d09bde6fa221babb5ea755fb1ef1936a874,FOUR_FOLD_ONE_SAMPLE_TRAIN_SEE_split_1_4,train,test,test,test
15,aluminium_foil,a,02c2aea5e4bb260f4a1bd6f8089c731d9a102091ab5dc45bfb04f790a7a8000b,data/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_2_im_1_col.png,02c2aea5e4bb260f4a1bd6f8089c731d9a102091ab5dc45bfb04f790a7a8000b,FOUR_FOLD_ONE_SAMPLE_TRAIN_SEE_split_1_4,train,test,test,test
16,aluminium_foil,a,e1adbd084d9e1902ef201988db06608a49b7832efc6a90e74fcf4fd41a5a1afa,data/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_2_im_2_col.png,e1adbd084d9e1902ef201988db06608a49b7832efc6a90e74fcf4fd41a5a1afa,FOUR_FOLD_ONE_SAMPLE_TRAIN_SEE_split_1_4,train,test,test,test
17,aluminium_foil,a,11ae0c34364b45747f2a844da4d1fd6dc0ac7e98440b86d63824f62cd71457b3,data/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_2_im_3_col.png,11ae0c34364b45747f2a844da4d1fd6dc0ac7e98440b86d63824f62cd71457b3,FOUR_FOLD_ONE_SAMPLE_TRAIN_SEE_split_1_4,train,test,test,test
18,aluminium_foil,a,5be1f28c40a1219860ba8bd0f8ff5f7c21d490ff1c5a4fcef305f2ba75f82d6c,data/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_2_im_4_col.png,5be1f28c40a1219860ba8bd0f8ff5f7c21d490ff1c5a4fcef305f2ba75f82d6c,FOUR_FOLD_ONE_SAMPLE_TRAIN_SEE_split_1_4,train,test,test,test
