dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
Outex13Official1360,resmlp,42,0,full,random_000,0.942440223327129,0.9441176470588235,8,10468,1.3599705929991615,densenet121+dinov2+efficientnet_b0+eva02_base+hog+resnet101+resnet50+swin_t,
Outex13Official1360,resmlp,42,0,full,random_001,0.9116923736737976,0.9161764705882353,8,8198,0.7453106620014296,dinov2_small+drlbp+efficientnet_b0+lbp+mae_base+siglip_base+swin_t+vgg16,
Outex13Official1360,resmlp,42,0,full,random_002,0.9481431950539504,0.95,8,7012,1.323936099997809,convnext_v2_t+dinov2_large+dinov2_small+eva02_base+hog+mae_base+swin_t+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_003,0.9316119700673378,0.9338235294117647,8,10438,1.6263129610015312,deit_s+densenet121+dinov2_large+drlbp+glcm+hog+resnet50+vgg16,
Outex13Official1360,resmlp,42,0,full,random_004,0.9357941368767186,0.9382352941176471,8,7348,1.7278805159985495,convnext_v2_t+deit_s+drlbp+hog+mae_base+resnet50+swin_t+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_005,0.9563342465193714,0.9573529411764706,8,3576,1.239884983999218,deit_s+dinov2+efficientnet_b0+gabor+glcm+lbp+rgb_ngram_svd+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_006,0.9548335374585147,0.9558823529411765,8,11492,1.5202070419982192,dinov2+dinov2_large+eva02_base+hog+resnet101+rgb_ngram_svd+swin_t+vgg16,
Outex13Official1360,resmlp,42,0,full,random_007,0.9397495816977696,0.9411764705882353,8,5376,1.4320418860006612,deit_s+densenet121+dinov2_large+drlbp+efficientnet_b0+gabor+swin_t+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_008,0.9180869064753168,0.9220588235294118,8,12180,0.8689289480025764,deit_s+densenet121+gabor+hog+resnet101+resnet50+vgg16+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_009,0.9551907286040413,0.9573529411764706,8,4784,1.1976116679979896,convnext_v2_t+densenet121+dinov2_small+eva02_base+gabor+rgb_ngram_svd+siglip_base+swin_t,
Outex13Official1360,resmlp,42,0,full,random_010,0.9492124326571999,0.95,8,6608,1.3194161409992375,convnext_v2_t+dinov2+dinov2_large+dinov2_small+drlbp+resnet50+siglip_base+swin_t,
Outex13Official1360,resmlp,42,0,full,random_011,0.9654909009374419,0.9661764705882353,8,5622,1.2761276960009127,deit_s+densenet121+dinov2+dinov2_large+dinov2_small+glcm+hog+rgb_ngram_svd,
Outex13Official1360,resmlp,42,0,full,random_012,0.9435437977468711,0.9441176470588235,8,10082,1.3905688129998452,dinov2_large+drlbp+efficientnet_b0+eva02_base+glcm+resnet101+siglip_base+vgg16,
Outex13Official1360,resmlp,42,0,full,random_013,0.9237245523931047,0.9264705882352942,8,6040,1.3072951700014528,densenet121+drlbp+efficientnet_b0+eva02_base+glcm+lbp+mae_base+resnet101,
Outex13Official1360,resmlp,42,0,full,random_014,0.9398425468175969,0.9411764705882353,8,9364,1.3617495309990773,convnext_v2_t+dinov2+dinov2_small+gabor+hog+siglip_base+vgg16+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_015,0.9726490247648882,0.9735294117647059,8,5482,1.1449944400010281,dinov2+dinov2_large+drlbp+hog+lbp+rgb_ngram_svd+siglip_base+swin_t,
Outex13Official1360,resmlp,42,0,full,random_016,0.9249314003924315,0.9294117647058824,8,8090,0.6022564030026842,drlbp+efficientnet_b0+eva02_base+gabor+hog+lbp+resnet101+resnet50,
Outex13Official1360,resmlp,42,0,full,random_017,0.9384383664643655,0.9411764705882353,8,5826,1.23616276300163,convnext_v2_t+densenet121+dinov2_small+gabor+glcm+mae_base+resnet101+siglip_base,
Outex13Official1360,resmlp,42,0,full,random_018,0.9334867015105132,0.9352941176470588,8,13540,1.5013627730004373,densenet121+dinov2_large+eva02_base+hog+resnet101+resnet50+swin_t+vgg16,
Outex13Official1360,resmlp,42,0,full,random_019,0.9413917638687124,0.9426470588235294,8,11568,1.5030287059998955,densenet121+dinov2+gabor+resnet101+resnet50+siglip_base+swin_t+vgg16,
Outex13Official1360,resmlp,42,0,full,random_020,0.954922439000931,0.9558823529411765,8,5778,1.1906186369997158,convnext_v2_t+deit_s+dinov2+eva02_base+glcm+resnet101+rgb_ngram_svd+siglip_base,
Outex13Official1360,resmlp,42,0,full,random_021,0.935385154390117,0.9367647058823529,8,9282,1.3520697160020063,dinov2+eva02_base+gabor+glcm+mae_base+resnet50+vgg16+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_022,0.94185729887961,0.9441176470588235,8,5652,1.1424056670002756,deit_s+dinov2+dinov2_small+gabor+hog+mae_base+siglip_base+swin_t,
Outex13Official1360,resmlp,42,0,full,random_023,0.922423002051198,0.9235294117647059,8,5858,0.7611245419975603,convnext_v2_t+densenet121+dinov2_small+drlbp+eva02_base+glcm+mae_base+resnet50,
Outex13Official1360,resmlp,42,0,full,random_024,0.9615278377205007,0.9632352941176471,8,5980,1.2084750100002566,densenet121+dinov2+gabor+glcm+hog+lbp+resnet101+rgb_ngram_svd,
Outex13Official1360,resmlp,42,0,full,random_025,0.9626912926255031,0.9632352941176471,8,8008,1.3008176959992852,densenet121+dinov2_large+eva02_base+glcm+lbp+mae_base+rgb_ngram_svd+vgg16,
Outex13Official1360,resmlp,42,0,full,random_026,0.9503992299612404,0.9529411764705882,8,7552,0.51590626899997,convnext_v2_t+densenet121+dinov2_large+dinov2_small+efficientnet_b0+eva02_base+resnet101+rgb_ngram_svd,
Outex13Official1360,resmlp,42,0,full,random_027,0.9388615988823443,0.9397058823529412,8,9666,1.2761639890013612,dinov2_large+dinov2_small+efficientnet_b0+gabor+glcm+mae_base+resnet50+vgg16,
Outex13Official1360,resmlp,42,0,full,random_028,0.9284191452300193,0.9352941176470588,8,10138,0.7016162149993761,dinov2+dinov2_large+dinov2_small+efficientnet_b0+hog+lbp+mae_base+vgg16,
Outex13Official1360,resmlp,42,0,full,random_029,0.9504988023267936,0.9529411764705882,8,7314,1.468277666001086,convnext_v2_t+deit_s+densenet121+glcm+mae_base+resnet101+resnet50+rgb_ngram_svd,
Outex13Official1360,resmlp,42,0,full,random_030,0.9430298116056629,0.9441176470588235,8,6756,1.3551448350008286,convnext_v2_t+densenet121+dinov2_large+drlbp+efficientnet_b0+gabor+hog+mae_base,
Outex13Official1360,resmlp,42,0,full,random_031,0.9483320364310304,0.95,8,7962,1.2542903030007437,dinov2_large+efficientnet_b0+hog+lbp+resnet50+rgb_ngram_svd+siglip_base+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_032,0.9319065991529033,0.9352941176470588,8,6250,0.5768422329965688,densenet121+dinov2+dinov2_large+drlbp+eva02_base+hog+lbp+mae_base,
Outex13Official1360,resmlp,42,0,full,random_033,0.9324074442025853,0.9338235294117647,8,5494,1.1803147320024436,densenet121+dinov2_large+drlbp+gabor+glcm+hog+siglip_base+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_034,0.955855285738177,0.9573529411764706,8,9142,1.6212981690005108,deit_s+dinov2+eva02_base+lbp+resnet50+rgb_ngram_svd+siglip_base+vgg16,
Outex13Official1360,resmlp,42,0,full,random_035,0.9397248435059319,0.9411764705882353,8,8904,1.5091667640008382,dinov2+dinov2_small+glcm+lbp+resnet101+siglip_base+swin_t+vgg16,
Outex13Official1360,resmlp,42,0,full,random_036,0.9415618707335192,0.9426470588235294,8,5456,1.727858076999837,deit_s+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+siglip_base+swin_t,
Outex13Official1360,resmlp,42,0,full,random_037,0.932100683002554,0.9338235294117647,8,7112,1.5077305390004767,densenet121+dinov2_small+glcm+lbp+mae_base+resnet101+resnet50+vit_b16,
