dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
Outex13Official1360,resmlp,42,0,full,random_000,0.9393340615124481,0.9411764705882353,7,8420,2.0573278190004203,densenet121+dinov2+efficientnet_b0+eva02_base+hog+resnet101+swin_t,
Outex13Official1360,resmlp,42,0,full,random_001,0.9324552469229431,0.9338235294117647,7,6096,1.9613728710000942,dinov2_small+drlbp+efficientnet_b0+mae_base+resnet50+siglip_base+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_002,0.9479846716645274,0.9485294117647058,7,5602,1.954871899999489,dinov2_large+dinov2_small+drlbp+efficientnet_b0+glcm+resnet101+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_003,0.9290594382472497,0.9323529411764706,7,8292,2.0502984009999636,deit_s+densenet121+dinov2_large+efficientnet_b0+eva02_base+hog+resnet101,
Outex13Official1360,resmlp,42,0,full,random_004,0.9409050056061372,0.9411764705882353,7,3814,1.9011020550005924,convnext_v2_t+densenet121+dinov2+dinov2_small+gabor+lbp+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_005,0.9546761669298547,0.9558823529411765,7,6674,1.9376377959997626,convnext_v2_t+dinov2_large+efficientnet_b0+eva02_base+glcm+resnet101+siglip_base,
Outex13Official1360,resmlp,42,0,full,random_006,0.9188755952867977,0.9205882352941176,7,2834,2.0919091449995904,deit_s+drlbp+eva02_base+gabor+glcm+siglip_base+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_007,0.9471466656838174,0.9470588235294117,7,5394,2.211276079000527,dinov2+dinov2_large+efficientnet_b0+eva02_base+glcm+mae_base+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_008,0.9474553053660268,0.9485294117647058,7,4992,2.2089954789998956,densenet121+dinov2_large+drlbp+efficientnet_b0+eva02_base+gabor+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_009,0.9344713589270395,0.9367647058823529,7,6756,2.2686624690004464,convnext_v2_t+deit_s+densenet121+dinov2+efficientnet_b0+hog+swin_t,
Outex13Official1360,resmlp,42,0,full,random_010,0.934925065188223,0.9352941176470588,7,6912,2.2372398819998125,convnext_v2_t+dinov2+dinov2_small+drlbp+gabor+mae_base+vgg16,
Outex13Official1360,resmlp,42,0,full,random_011,0.9251370968771181,0.9279411764705883,7,5274,2.0787317519998396,convnext_v2_t+deit_s+eva02_base+hog+lbp+swin_t+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_012,0.9387965108256414,0.9411764705882353,7,7652,2.2913225829997828,convnext_v2_t+dinov2+eva02_base+hog+resnet50+swin_t+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_013,0.9412040508106798,0.9426470588235294,7,6528,2.223776433000239,deit_s+densenet121+dinov2+eva02_base+resnet50+siglip_base+swin_t,
Outex13Official1360,resmlp,42,0,full,random_014,0.9467511936757063,0.9470588235294117,7,4736,2.1550252289998753,dinov2_large+drlbp+efficientnet_b0+eva02_base+gabor+swin_t+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_015,0.9044607330389818,0.9102941176470588,7,5016,1.1622708670001884,drlbp+efficientnet_b0+eva02_base+glcm+lbp+mae_base+resnet101,
Outex13Official1360,resmlp,42,0,full,random_016,0.9388061882119352,0.9397058823529412,7,7112,2.321919901999536,convnext_v2_t+deit_s+dinov2_large+glcm+lbp+swin_t+vgg16,
Outex13Official1360,resmlp,42,0,full,random_017,0.9448656766842454,0.9455882352941176,7,7984,2.19979590299954,deit_s+dinov2_large+dinov2_small+efficientnet_b0+eva02_base+gabor+vgg16,
Outex13Official1360,resmlp,42,0,full,random_018,0.9510849907089207,0.9514705882352941,7,8474,2.1699378950006576,dinov2_large+hog+lbp+mae_base+resnet101+resnet50+siglip_base,
Outex13Official1360,resmlp,42,0,full,random_019,0.9081622851512973,0.913235294117647,7,9572,1.297833265999543,deit_s+dinov2_large+eva02_base+hog+mae_base+vgg16+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_020,0.9411160712607546,0.9411764705882353,7,4070,2.0704062090007938,deit_s+dinov2+efficientnet_b0+gabor+lbp+swin_t+vit_b16,
Outex13Official1360,resmlp,42,0,full,random_021,0.9438129637820041,0.9455882352941176,7,7066,2.1984056149995013,deit_s+dinov2+efficientnet_b0+hog+lbp+resnet50+swin_t,
Outex13Official1360,resmlp,42,0,full,random_022,0.9306449913266007,0.9338235294117647,7,5808,2.1153765990002285,deit_s+densenet121+eva02_base+gabor+mae_base+resnet50+swin_t,
Outex13Official1360,resmlp,42,0,full,random_023,0.9277757993965543,0.9308823529411765,7,6554,2.232515892000265,convnext_v2_t+deit_s+eva02_base+hog+lbp+resnet50+swin_t,
Outex13Official1360,resmlp,42,0,full,random_024,0.934266305683219,0.9367647058823529,7,8108,2.3481923210001696,deit_s+dinov2_large+eva02_base+glcm+hog+lbp+vgg16,
Outex13Official1360,resmlp,42,0,full,random_025,0.9234554167023206,0.9279411764705883,7,4230,0.9957563280004251,convnext_v2_t+dinov2+dinov2_large+drlbp+eva02_base+lbp+siglip_base,
Outex13Official1360,resmlp,42,0,full,random_026,0.9350783244154214,0.9352941176470588,7,3912,2.27279051000005,deit_s+densenet121+dinov2_small+efficientnet_b0+glcm+lbp+siglip_base,
