dataset,classifier,extractor,family,count,frequency
Outex13Official1360,resmlp,deit_s,see runner family map,1,1.0
Outex13Official1360,resmlp,densenet121,see runner family map,1,1.0
Outex13Official1360,resmlp,dinov2_large,see runner family map,1,1.0
Outex13Official1360,resmlp,dinov2_small,see runner family map,1,1.0
Outex13Official1360,resmlp,drlbp,see runner family map,1,1.0
Outex13Official1360,resmlp,glcm,see runner family map,1,1.0
Outex13Official1360,resmlp,swin_t,see runner family map,1,1.0
Outex13Official1360,svm,convnext_v2_t,see runner family map,1,1.0
Outex13Official1360,svm,dinov2_large,see runner family map,1,1.0
Outex13Official1360,svm,efficientnet_b0,see runner family map,1,1.0
Outex13Official1360,svm,gabor,see runner family map,1,1.0
Outex13Official1360,svm,resnet50,see runner family map,1,1.0
Outex13Official1360,svm,swin_t,see runner family map,1,1.0
