dataset,classifier,method,dimensions_mean,fit_seconds_mean
SoilOriginal,resmlp,best_homogeneous_cnn,3072.0,1.466586176000419
SoilOriginal,resmlp,best_homogeneous_self_supervised,1440.0,1.2458833549997053
SoilOriginal,resmlp,best_homogeneous_transformer,1728.0,0.9124081973332068
SoilOriginal,resmlp,best_individual,768.0,1.0380272196670073
SoilOriginal,resmlp,full_concat,19628.0,1.689140959266418
SoilOriginal,resmlp,gfs,3880.6666666666665,1.1348002035332077
SoilOriginal,svm,best_homogeneous_self_supervised,1840.0,0.7761026309999579
SoilOriginal,svm,best_homogeneous_transformer,1920.0,0.520750962571453
SoilOriginal,svm,best_individual,768.0,0.2548558878001131
SoilOriginal,svm,full_concat,19628.0,10.248904198133216
SoilOriginal,svm,gfs,2491.3333333333335,1.0495275702667641
