dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
SoilOriginal,svm,42,0,full,best_individual,0.8883230765566684,0.9342105263157895,1,768,0.20051950699962617,siglip_base,0.8541970096955083
SoilOriginal,svm,42,0,full,full_concat,0.8678294044636966,0.9298245614035088,20,19628,7.805537049000122,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
SoilOriginal,svm,42,0,full,gfs,0.8792227497016256,0.9210526315789473,6,1736,0.7059100950000357,siglip_base+vit_b16+drlbp+glcm+gabor+lbp,0.8742916924440245
SoilOriginal,svm,42,0,full,best_homogeneous_self_supervised,0.903508948885398,0.9385964912280702,2,1536,0.5113924980005322,siglip_base+mae_base,0.8680209528387373
SoilOriginal,svm,42,1,full,best_individual,0.7978746901395904,0.8596491228070176,1,768,0.2199945980000848,eva02_base,0.876623988709962
SoilOriginal,svm,42,1,full,full_concat,0.8493576618698659,0.9122807017543859,20,19628,6.4777705739998055,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
SoilOriginal,svm,42,1,full,gfs,0.7862422823280609,0.8728070175438597,4,2578,0.9015084029997524,eva02_base+mae_base+dinov2_large+glcm,0.892899268269473
SoilOriginal,svm,42,1,full,best_homogeneous_self_supervised,0.8000742994403455,0.881578947368421,3,2560,0.7189192709993222,siglip_base+dinov2_large+mae_base,0.8799544298331817
SoilOriginal,svm,42,2,full,best_individual,0.8407281725551331,0.881578947368421,1,768,0.20417758399980812,eva02_base,0.8811867170280777
SoilOriginal,svm,42,2,full,full_concat,0.8049764667616672,0.8771929824561403,20,19628,12.309963953000079,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
SoilOriginal,svm,42,2,full,gfs,0.8522299677746435,0.8991228070175439,3,2304,0.6270089669997105,eva02_base+siglip_base+mae_base,0.9010689210318603
SoilOriginal,svm,42,2,full,best_homogeneous_self_supervised,0.8101829665739441,0.881578947368421,3,2560,1.084397013999478,siglip_base+mae_base+dinov2_large,0.8893158441696161
SoilOriginal,svm,42,3,full,best_individual,0.8866426916190118,0.9254385964912281,1,768,0.21119774900034827,eva02_base,0.8412642156445256
SoilOriginal,svm,42,3,full,full_concat,0.9046735098779086,0.9473684210526315,20,19628,15.426388771000347,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
SoilOriginal,svm,42,3,full,gfs,0.8985717582931522,0.9385964912280702,5,3152,1.825520446000155,eva02_base+convnext_v2_t+mae_base+siglip_base+drlbp,0.877461646858018
SoilOriginal,svm,42,3,full,best_homogeneous_transformer,0.8657526279666222,0.9210526315789473,4,2688,1.2783892489997015,eva02_base+vit_b16+swin_t+deit_s,0.8566719960525064
SoilOriginal,svm,42,4,full,best_individual,0.8939061497128665,0.9254385964912281,1,768,0.6551559190002081,siglip_base,0.8602474712654306
SoilOriginal,svm,42,4,full,full_concat,0.9067429451239122,0.9342105263157895,20,19628,13.795346494999649,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
SoilOriginal,svm,42,4,full,gfs,0.8808628222230149,0.9210526315789473,3,1840,0.517036516999724,siglip_base+densenet121+gabor,0.8783414259434537
