dataset,classifier,method,n,macro_f1_mean,macro_f1_std
SoilOriginal,resmlp,best_homogeneous_cnn,1,0.8557547509921342,
SoilOriginal,resmlp,best_homogeneous_self_supervised,8,0.8752750873795245,0.05174986838071339
SoilOriginal,resmlp,best_homogeneous_transformer,6,0.8581896398717563,0.03864467678743954
SoilOriginal,resmlp,best_individual,15,0.854229948796207,0.03634793371016956
SoilOriginal,resmlp,full_concat,15,0.8619736287506691,0.03397096041329243
SoilOriginal,resmlp,gfs,15,0.869518384985758,0.032190421057811516
SoilOriginal,svm,best_homogeneous_self_supervised,8,0.852770369291344,0.036026069052495585
SoilOriginal,svm,best_homogeneous_transformer,7,0.8703746887421586,0.0441800738834599
SoilOriginal,svm,best_individual,15,0.8577502824902188,0.031616992543262626
SoilOriginal,svm,full_concat,15,0.8717597890985697,0.03137686826040447
SoilOriginal,svm,gfs,15,0.8661182983472394,0.0344796169077051
