dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
SoilOriginal,svm,42,0,full,best_individual,0.8883230765566684,0.9342105263157895,1,768,0.19875605899869697,siglip_base,0.8541970096955083
SoilOriginal,svm,42,0,full,full_concat,0.9026548966530649,0.9517543859649122,21,19884,6.951932823001698,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
SoilOriginal,svm,42,0,full,gfs,0.8792227497016256,0.9210526315789473,6,1736,0.6450524180036155,siglip_base+vit_b16+drlbp+glcm+gabor+lbp,0.8742916924440245
SoilOriginal,svm,42,0,full,best_homogeneous_self_supervised,0.903508948885398,0.9385964912280702,2,1536,0.41904276700370247,siglip_base+mae_base,0.8680209528387373
SoilOriginal,svm,42,1,full,best_individual,0.7978746901395904,0.8596491228070176,1,768,0.22701194300316274,eva02_base,0.876623988709962
SoilOriginal,svm,42,1,full,full_concat,0.853133253350337,0.9166666666666666,21,19884,7.455538139001874,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
SoilOriginal,svm,42,1,full,gfs,0.8408790400006471,0.9035087719298246,5,3840,1.120224384998437,eva02_base+mae_base+dinov2_large+rgb_ngram_svd+densenet121,0.9102093333578849
SoilOriginal,svm,42,1,full,best_homogeneous_self_supervised,0.8000742994403455,0.881578947368421,3,2560,0.9753123650007183,siglip_base+dinov2_large+mae_base,0.8799544298331817
SoilOriginal,svm,42,2,full,best_individual,0.8407281725551331,0.881578947368421,1,768,0.23887931200442836,eva02_base,0.8811867170280777
SoilOriginal,svm,42,2,full,full_concat,0.8380831563033725,0.8991228070175439,21,19884,6.617240661005781,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
SoilOriginal,svm,42,2,full,gfs,0.8522299677746435,0.8991228070175439,3,2304,0.6105313189982553,eva02_base+siglip_base+mae_base,0.9010689210318603
SoilOriginal,svm,42,2,full,best_homogeneous_self_supervised,0.8101829665739441,0.881578947368421,3,2560,0.712810767996416,siglip_base+mae_base+dinov2_large,0.8893158441696161
SoilOriginal,svm,42,3,full,best_individual,0.8866426916190118,0.9254385964912281,1,768,0.19260119699902134,eva02_base,0.8412642156445256
SoilOriginal,svm,42,3,full,full_concat,0.9257627473861197,0.9517543859649122,21,19884,6.9320584120068816,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
SoilOriginal,svm,42,3,full,gfs,0.8985717582931522,0.9385964912280702,5,3152,0.8774080450020847,eva02_base+convnext_v2_t+mae_base+siglip_base+drlbp,0.877461646858018
SoilOriginal,svm,42,3,full,best_homogeneous_transformer,0.8657526279666222,0.9210526315789473,4,2688,0.5658391379984096,eva02_base+vit_b16+swin_t+deit_s,0.8566719960525064
SoilOriginal,svm,42,4,full,best_individual,0.8939061497128665,0.9254385964912281,1,768,0.19503477700345684,siglip_base,0.8602474712654306
SoilOriginal,svm,42,4,full,full_concat,0.9149404751368123,0.9385964912280702,21,19884,6.505490179995832,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16+rgb_ngram_svd,nan
