dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
SoilOriginal,svm,42,0,full,random_000,0.8624447616493993,0.9254385964912281,6,4144,1.1224576239983435,densenet121+dinov2+gabor+mae_base+siglip_base+vit_b16,
SoilOriginal,svm,42,0,full,random_001,0.8788494893420277,0.9342105263157895,6,2278,0.5709589889956987,deit_s+eva02_base+gabor+lbp+rgb_ngram_svd+vit_b16,
SoilOriginal,svm,42,0,full,random_002,0.8892140027276109,0.9254385964912281,6,4358,0.9817017590030446,deit_s+dinov2_large+drlbp+lbp+resnet101+vit_b16,
SoilOriginal,svm,42,0,full,random_003,0.8394890390276742,0.9035087719298246,6,4662,1.3436526069999672,convnext_v2_t+dinov2_large+efficientnet_b0+lbp+mae_base+swin_t,
SoilOriginal,svm,42,0,full,random_004,0.869816887328408,0.9254385964912281,6,8246,1.5783958969986998,densenet121+dinov2_large+efficientnet_b0+lbp+mae_base+vgg16,
SoilOriginal,svm,42,0,full,random_005,0.9067230059509488,0.9429824561403509,6,7296,0.9908408030023566,convnext_v2_t+densenet121+dinov2_small+eva02_base+rgb_ngram_svd+vgg16,
SoilOriginal,svm,42,0,full,random_006,0.8523489547746899,0.9122807017543859,6,6676,1.6706884240047657,convnext_v2_t+efficientnet_b0+gabor+hog+resnet50+swin_t,
SoilOriginal,svm,42,0,full,random_007,0.8471259124391135,0.8991228070175439,6,2552,0.8269948540037149,deit_s+dinov2+efficientnet_b0+gabor+glcm+lbp,
SoilOriginal,svm,42,0,full,random_008,0.8927625778787863,0.9429824561403509,6,4322,0.9781932100013364,dinov2_large+dinov2_small+drlbp+eva02_base+glcm+resnet50,
SoilOriginal,svm,42,0,full,random_009,0.8499889139870512,0.9078947368421053,6,4882,1.0499515419942327,convnext_v2_t+deit_s+dinov2_small+efficientnet_b0+glcm+resnet50,
SoilOriginal,svm,42,0,full,random_010,0.8985885390989763,0.9429824561403509,6,6480,0.9747997340018628,deit_s+dinov2_small+drlbp+siglip_base+swin_t+vgg16,
SoilOriginal,svm,42,0,full,random_011,0.897532136893839,0.9473684210526315,6,7158,1.5162897350019193,densenet121+glcm+hog+resnet101+resnet50+rgb_ngram_svd,
SoilOriginal,svm,42,0,full,random_012,0.8320174345585857,0.9035087719298246,6,8244,1.7568384779951884,convnext_v2_t+dinov2+drlbp+hog+mae_base+vgg16,
SoilOriginal,svm,42,0,full,random_013,0.865470878026467,0.9210526315789473,6,5424,1.221286665997468,convnext_v2_t+densenet121+gabor+mae_base+resnet101+vit_b16,
SoilOriginal,svm,42,0,full,random_014,0.8853659945799116,0.9254385964912281,6,4754,1.1988125130010303,convnext_v2_t+dinov2+dinov2_small+glcm+mae_base+resnet101,
SoilOriginal,svm,42,0,full,random_015,0.866988909861936,0.9254385964912281,6,3078,0.9748895189986797,densenet121+dinov2+dinov2_small+drlbp+lbp+siglip_base,
SoilOriginal,svm,42,0,full,random_016,0.8894713211713663,0.9385964912280702,6,7286,1.206064783000329,deit_s+glcm+hog+rgb_ngram_svd+vgg16+vit_b16,
SoilOriginal,svm,42,0,full,random_017,0.8909152736758115,0.9517543859649122,6,6628,1.4606543900008546,dinov2+dinov2_large+hog+resnet101+rgb_ngram_svd+swin_t,
SoilOriginal,svm,42,0,full,random_018,0.880584762513723,0.9210526315789473,6,3910,1.456917354997131,densenet121+drlbp+glcm+hog+mae_base+rgb_ngram_svd,
SoilOriginal,svm,42,0,full,random_019,0.8678262400310793,0.9166666666666666,6,9188,1.7216144190024352,convnext_v2_t+dinov2_large+hog+mae_base+vgg16+vit_b16,
SoilOriginal,svm,42,0,full,random_020,0.8635718250502012,0.9254385964912281,6,4068,1.364446981002402,densenet121+dinov2_small+drlbp+gabor+hog+siglip_base,
SoilOriginal,svm,42,0,full,random_021,0.9290074322332387,0.9649122807017544,6,6674,1.0234853650035802,glcm+mae_base+rgb_ngram_svd+siglip_base+vgg16+vit_b16,
SoilOriginal,svm,42,0,full,random_022,0.8753375376975602,0.9254385964912281,6,4278,0.9704313530019135,drlbp+efficientnet_b0+eva02_base+gabor+lbp+resnet50,
SoilOriginal,svm,42,0,full,random_023,0.8378903833238198,0.8991228070175439,6,7860,1.4659364690014627,convnext_v2_t+deit_s+drlbp+hog+mae_base+vgg16,
SoilOriginal,svm,42,0,full,random_024,0.9169505966462068,0.9517543859649122,6,3938,0.7229884109983686,dinov2+drlbp+eva02_base+glcm+resnet50+rgb_ngram_svd,
SoilOriginal,svm,42,0,full,random_025,0.8431414685006161,0.9078947368421053,6,5610,1.62932453200483,deit_s+drlbp+efficientnet_b0+hog+lbp+resnet50,
SoilOriginal,svm,42,0,full,random_026,0.8626938826245565,0.9254385964912281,6,3394,0.9252313140023034,densenet121+dinov2+gabor+glcm+swin_t+vit_b16,
SoilOriginal,svm,42,0,full,random_027,0.8960037878540391,0.9473684210526315,6,5522,0.9981087680062046,deit_s+glcm+resnet101+resnet50+rgb_ngram_svd+siglip_base,
SoilOriginal,svm,42,0,full,random_028,0.8975333761721868,0.9342105263157895,6,3280,0.7928820019951672,convnext_v2_t+deit_s+dinov2_large+drlbp+rgb_ngram_svd+siglip_base,
SoilOriginal,svm,42,0,full,random_029,0.8914725937578062,0.9473684210526315,6,6372,1.3309025280032074,eva02_base+hog+resnet50+rgb_ngram_svd+siglip_base+swin_t,
SoilOriginal,svm,42,0,full,random_030,0.8761833865017002,0.9210526315789473,6,6114,1.1176564310007961,dinov2+dinov2_small+drlbp+glcm+mae_base+vgg16,
SoilOriginal,svm,42,0,full,random_031,0.8571319426087262,0.9078947368421053,6,5670,1.6044712299990351,convnext_v2_t+densenet121+gabor+glcm+hog+resnet50,
SoilOriginal,svm,42,0,full,random_032,0.9148040714305774,0.9473684210526315,6,5760,1.3265418880037032,dinov2_large+dinov2_small+eva02_base+mae_base+resnet101+siglip_base,
SoilOriginal,svm,42,0,full,random_033,0.909645579337509,0.9473684210526315,6,5140,1.4772550110064913,densenet121+eva02_base+gabor+hog+mae_base+vit_b16,
SoilOriginal,svm,42,0,full,random_034,0.8831658381766028,0.9298245614035088,6,4070,1.060034372996597,dinov2+dinov2_small+gabor+lbp+resnet101+siglip_base,
SoilOriginal,svm,42,0,full,random_035,0.8756542012974472,0.9254385964912281,6,4102,0.8843981559984968,deit_s+drlbp+eva02_base+lbp+mae_base+resnet50,
SoilOriginal,svm,42,0,full,random_036,0.8686692677368522,0.9342105263157895,6,8036,1.200226863998978,convnext_v2_t+deit_s+dinov2+hog+rgb_ngram_svd+vgg16,
SoilOriginal,svm,42,0,full,random_037,0.8837133083676862,0.9342105263157895,6,6850,1.216719379001006,dinov2_large+dinov2_small+efficientnet_b0+gabor+glcm+vgg16,
SoilOriginal,svm,42,0,full,random_038,0.8640324355863204,0.9166666666666666,6,4486,1.0424395209993236,convnext_v2_t+dinov2+drlbp+lbp+resnet101+swin_t,
SoilOriginal,svm,42,0,full,random_039,0.8724935255020677,0.9254385964912281,6,2632,0.830243253003573,deit_s+dinov2_large+dinov2_small+glcm+lbp+siglip_base,
SoilOriginal,svm,42,0,full,random_040,0.8529762367499376,0.9078947368421053,6,6164,1.533523457001138,convnext_v2_t+gabor+hog+resnet101+siglip_base+swin_t,
SoilOriginal,svm,42,0,full,random_041,0.8668027128201207,0.9210526315789473,6,5448,1.4067863640011637,densenet121+dinov2_large+efficientnet_b0+glcm+lbp+resnet101,
