dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
SoilOriginal,svm,42,0,full,topk_individual,0.8581505366402391,0.9166666666666666,6,5120,1.3238954529952025,siglip_base+eva02_base+swin_t+vit_b16+convnext_v2_t+efficientnet_b0,0.8306229298017366
SoilOriginal,svm,42,1,full,topk_individual,0.8685361577925479,0.9166666666666666,5,5120,1.1386681820004014,eva02_base+vit_b16+siglip_base+convnext_v2_t+resnet101,0.8425337577172753
SoilOriginal,svm,42,2,full,topk_individual,0.8457666395655384,0.9035087719298246,3,2304,0.4779186669984483,eva02_base+siglip_base+convnext_v2_t,0.8615794991048751
SoilOriginal,svm,42,3,full,topk_individual,0.8910028359873877,0.9342105263157895,5,4096,1.0109171549993334,eva02_base+siglip_base+convnext_v2_t+swin_t+densenet121,0.8270394974684923
SoilOriginal,svm,42,4,full,topk_individual,0.8973474742574912,0.9298245614035088,7,7424,1.789328860999376,siglip_base+eva02_base+vit_b16+resnet101+convnext_v2_t+densenet121+efficientnet_b0,0.832526864554291
SoilOriginal,svm,123,0,full,topk_individual,0.9064213957830978,0.9298245614035088,2,1536,0.3418156380066648,siglip_base+eva02_base,0.8638218777100065
SoilOriginal,svm,123,1,full,topk_individual,0.8196974237142982,0.8951965065502183,5,4608,0.9435840340011055,siglip_base+eva02_base+vit_b16+densenet121+efficientnet_b0,0.8428120216183874
SoilOriginal,svm,123,2,full,topk_individual,0.8467563642455466,0.9122807017543859,5,4096,0.9963667959964368,siglip_base+eva02_base+densenet121+convnext_v2_t+vit_b16,0.8502356403004612
SoilOriginal,svm,123,3,full,topk_individual,0.9089661233290526,0.933920704845815,4,3072,0.8154665409965673,eva02_base+siglip_base+convnext_v2_t+vit_b16,0.8376133496761494
SoilOriginal,svm,123,4,full,topk_individual,0.9285294202871868,0.9473684210526315,8,8192,2.3199732990033226,eva02_base+siglip_base+vit_b16+convnext_v2_t+swin_t+densenet121+efficientnet_b0+resnet101,0.8153574415066274
SoilOriginal,svm,2026,0,full,topk_individual,0.875455995018134,0.9254385964912281,5,4096,0.8885606099938741,eva02_base+siglip_base+vit_b16+convnext_v2_t+densenet121,0.8463053539872417
SoilOriginal,svm,2026,1,full,topk_individual,0.8515968755366841,0.9078947368421053,5,5120,1.0455638539933716,siglip_base+eva02_base+vit_b16+convnext_v2_t+resnet101,0.841051617642934
SoilOriginal,svm,2026,2,full,topk_individual,0.876396873433797,0.9122807017543859,7,6912,1.641775301002781,siglip_base+eva02_base+vit_b16+convnext_v2_t+densenet121+resnet101+swin_t,0.8373670155568277
SoilOriginal,svm,2026,3,full,topk_individual,0.897628428351528,0.9210526315789473,3,2304,0.46407396200083895,eva02_base+siglip_base+convnext_v2_t,0.8440642317568884
SoilOriginal,svm,2026,4,full,topk_individual,0.8380786942726274,0.9122807017543859,5,5376,1.1056077239991282,eva02_base+siglip_base+vit_b16+resnet101+densenet121,0.8586711317471947
SoilOriginal,resmlp,42,0,full,topk_individual,0.9057820473925613,0.9429824561403509,8,8960,1.4438384589957423,siglip_base+eva02_base+vit_b16+resnet101+densenet121+mae_base+convnext_v2_t+resnet50,0.8121016439347529
SoilOriginal,resmlp,42,1,full,topk_individual,0.8673793977920993,0.9210526315789473,4,3072,1.338518603995908,siglip_base+eva02_base+convnext_v2_t+vit_b16,0.8490406032047509
SoilOriginal,resmlp,42,2,full,topk_individual,0.8613043998671256,0.8991228070175439,4,3072,1.0643312729953323,siglip_base+eva02_base+convnext_v2_t+vit_b16,0.8405219231776968
SoilOriginal,resmlp,42,3,full,topk_individual,0.891284691450475,0.9298245614035088,3,2304,0.9644115260016406,convnext_v2_t+mae_base+eva02_base,0.8194767291487559
SoilOriginal,resmlp,42,4,full,topk_individual,0.8916680142848609,0.9298245614035088,4,4352,1.4354163329990115,eva02_base+siglip_base+mae_base+resnet101,0.8311887149285304
SoilOriginal,resmlp,123,0,full,topk_individual,0.8786474904668385,0.9166666666666666,5,3840,1.5540329340001335,eva02_base+siglip_base+vit_b16+convnext_v2_t+swin_t,0.8305026375947016
SoilOriginal,resmlp,123,1,full,topk_individual,0.8384822729815953,0.9039301310043668,5,4096,1.6144813720020466,siglip_base+vit_b16+eva02_base+convnext_v2_t+densenet121,0.8275245332363742
SoilOriginal,resmlp,123,2,full,topk_individual,0.8207478574423952,0.8947368421052632,5,4608,1.603077358995506,siglip_base+eva02_base+efficientnet_b0+mae_base+densenet121,0.8421764371895222
SoilOriginal,resmlp,123,3,full,topk_individual,0.8848842776935367,0.9251101321585903,8,9216,0.7343540180008858,siglip_base+eva02_base+vit_b16+mae_base+resnet101+resnet50+swin_t+efficientnet_b0,0.8106267613667804
