dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
SoilOriginal,resmlp,42,0,full,random_000,0.8705867508396719,0.9210526315789473,7,9654,1.1483330460032448,deit_s+densenet121+efficientnet_b0+eva02_base+lbp+resnet50+vgg16,
SoilOriginal,resmlp,42,0,full,random_001,0.8830500677469459,0.9429824561403509,7,5584,0.9997880090086255,dinov2_small+drlbp+efficientnet_b0+resnet101+rgb_ngram_svd+siglip_base+swin_t,
SoilOriginal,resmlp,42,0,full,random_002,0.9007566401304029,0.9385964912280702,7,5090,0.9047959900053684,dinov2_large+dinov2_small+drlbp+efficientnet_b0+glcm+resnet50+rgb_ngram_svd,
SoilOriginal,resmlp,42,0,full,random_003,0.8768876516025476,0.9166666666666666,7,8036,1.1161474189866567,convnext_v2_t+deit_s+dinov2_large+efficientnet_b0+eva02_base+hog+resnet101,
SoilOriginal,resmlp,42,0,full,random_004,0.8782309289107422,0.9385964912280702,7,3632,1.2411035229888512,beitv2_base_final+deit_s+densenet121+dinov2_small+gabor+mae_base+rgb_ngram_svd,
SoilOriginal,resmlp,42,0,full,random_005,0.9231958363380263,0.9473684210526315,7,7220,0.9810464269976364,beitv2_base_final+dinov2_large+drlbp+eva02_base+hog+resnet101+swin_t,
SoilOriginal,resmlp,42,0,full,random_006,0.9035542671021685,0.9385964912280702,7,2706,1.4511005420063157,convnext_v2_t+drlbp+eva02_base+gabor+glcm+rgb_ngram_svd+swin_t,
SoilOriginal,resmlp,42,0,full,random_007,0.917525468244448,0.9429824561403509,7,6162,1.1295532469957834,densenet121+dinov2+efficientnet_b0+eva02_base+glcm+resnet101+rgb_ngram_svd,
SoilOriginal,resmlp,42,0,full,random_008,0.9157308188425161,0.9473684210526315,7,4450,1.387776944990037,densenet121+dinov2_large+drlbp+efficientnet_b0+eva02_base+glcm+rgb_ngram_svd,
SoilOriginal,resmlp,42,0,full,random_009,0.8559514592184981,0.9166666666666666,7,10084,1.559510057006264,beitv2_base_final+convnext_v2_t+deit_s+densenet121+efficientnet_b0+hog+vgg16,
