dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
SoilOriginal,resmlp,42,0,full,topk_individual,0.8994800485122342,0.9385964912280702,7,6912,1.4822541589965113,siglip_base+eva02_base+vit_b16+beitv2_base_final+resnet101+densenet121+mae_base,0.8190225508844892
SoilOriginal,resmlp,42,1,full,topk_individual,0.8312227751117353,0.8947368421052632,5,3840,1.1594988550059497,beitv2_base_final+siglip_base+eva02_base+convnext_v2_t+vit_b16,0.8534610984464717
SoilOriginal,resmlp,42,2,full,topk_individual,0.8634156198492499,0.9078947368421053,4,3072,0.8247956179984612,siglip_base+eva02_base+convnext_v2_t+beitv2_base_final,0.8429237385555541
SoilOriginal,resmlp,42,3,full,topk_individual,0.9057062873815439,0.9342105263157895,7,7168,1.2588001750118565,convnext_v2_t+mae_base+eva02_base+efficientnet_b0+siglip_base+beitv2_base_final+resnet101,0.8083185412185668
SoilOriginal,resmlp,42,4,full,topk_individual,0.880842575704479,0.9254385964912281,5,5120,0.9347528930084081,beitv2_base_final+eva02_base+siglip_base+mae_base+resnet101,0.8358067917597667
SoilOriginal,resmlp,123,0,full,topk_individual,0.8837625454601127,0.9254385964912281,8,6656,1.1972033810016,eva02_base+beitv2_base_final+siglip_base+vit_b16+convnext_v2_t+swin_t+mae_base+efficientnet_b0,0.8263300801060764
SoilOriginal,resmlp,123,1,full,topk_individual,0.7968708851086147,0.8864628820960698,7,6912,1.335065567996935,beitv2_base_final+siglip_base+vit_b16+eva02_base+convnext_v2_t+densenet121+resnet50,0.8294593331242995
SoilOriginal,resmlp,123,2,full,topk_individual,0.8207478574423952,0.8947368421052632,5,4608,1.6739299909968395,siglip_base+eva02_base+efficientnet_b0+mae_base+densenet121,0.8421764371895222
SoilOriginal,resmlp,123,3,full,topk_individual,0.8646548518643208,0.920704845814978,8,8704,1.1274682139919605,siglip_base+beitv2_base_final+eva02_base+vit_b16+mae_base+resnet101+resnet50+swin_t,0.8154224563685164
SoilOriginal,resmlp,123,4,full,topk_individual,0.9255009974030817,0.9517543859649122,5,5120,1.6531111160002183,mae_base+siglip_base+eva02_base+beitv2_base_final+resnet101,0.8189082805472209
SoilOriginal,resmlp,2026,0,full,topk_individual,0.8687134128624932,0.9210526315789473,3,2304,1.6742772360012168,eva02_base+siglip_base+mae_base,0.8477152387980004
SoilOriginal,resmlp,2026,1,full,topk_individual,0.8886879867509407,0.9254385964912281,4,3072,1.1052540090022376,siglip_base+eva02_base+beitv2_base_final+vit_b16,0.83584292674535
SoilOriginal,resmlp,2026,2,full,topk_individual,0.8817462335965682,0.9122807017543859,7,5632,1.4454832680057734,eva02_base+siglip_base+vit_b16+convnext_v2_t+beitv2_base_final+densenet121+mae_base,0.8170979910367261
SoilOriginal,resmlp,2026,3,full,topk_individual,0.8737366972357478,0.9122807017543859,8,7936,1.2392457929963712,eva02_base+beitv2_base_final+siglip_base+mae_base+vit_b16+convnext_v2_t+efficientnet_b0+resnet101,0.8171145221903545
SoilOriginal,resmlp,2026,4,full,topk_individual,0.8430239018327121,0.9210526315789473,6,5888,2.7712697829992976,siglip_base+eva02_base+resnet101+beitv2_base_final+vit_b16+mae_base,0.8496153316110439
SoilOriginal,svm,42,0,full,topk_individual,0.8797035410498054,0.9298245614035088,6,4608,2.7670097230002284,siglip_base+eva02_base+beitv2_base_final+swin_t+vit_b16+convnext_v2_t,0.8347850104820719
SoilOriginal,svm,42,1,full,topk_individual,0.8476811746639085,0.9122807017543859,8,7936,2.9081885810010135,eva02_base+beitv2_base_final+vit_b16+siglip_base+convnext_v2_t+resnet101+dinov2_large+densenet121,0.8378531678158373
SoilOriginal,svm,42,2,full,topk_individual,0.8330960223853853,0.8903508771929824,3,2304,0.8412835159979295,eva02_base+siglip_base+beitv2_base_final,0.867158669256538
SoilOriginal,svm,42,3,full,topk_individual,0.8952473068779165,0.9342105263157895,5,3840,1.5056114499966498,eva02_base+siglip_base+convnext_v2_t+swin_t+beitv2_base_final,0.8279010175647314
SoilOriginal,svm,42,4,full,topk_individual,0.8945777670767824,0.9254385964912281,7,6912,3.91901219200372,siglip_base+eva02_base+vit_b16+beitv2_base_final+resnet101+convnext_v2_t+densenet121,0.837654212110376
SoilOriginal,svm,123,0,full,topk_individual,0.9064213957830978,0.9298245614035088,2,1536,0.6318789530050708,siglip_base+eva02_base,0.8638218777100065
SoilOriginal,svm,123,1,full,topk_individual,0.7879804690187002,0.8951965065502183,8,8192,4.266604783995717,siglip_base+eva02_base+beitv2_base_final+vit_b16+densenet121+efficientnet_b0+resnet101+swin_t,0.8385605400764113
SoilOriginal,svm,123,2,full,topk_individual,0.8621833168004073,0.9210526315789473,7,6144,3.5256471120010247,siglip_base+eva02_base+beitv2_base_final+densenet121+convnext_v2_t+vit_b16+efficientnet_b0,0.8475568114894981
SoilOriginal,svm,123,3,full,topk_individual,0.9229590453340989,0.9383259911894273,4,3072,1.1614188040039153,eva02_base+siglip_base+beitv2_base_final+convnext_v2_t,0.8415248848833352
SoilOriginal,svm,123,4,full,topk_individual,0.931963885813798,0.9517543859649122,8,6912,5.882437766005751,eva02_base+siglip_base+vit_b16+beitv2_base_final+convnext_v2_t+swin_t+densenet121+efficientnet_b0,0.8183206162449587
SoilOriginal,svm,2026,0,full,topk_individual,0.8853451675666183,0.9254385964912281,5,3840,1.8090160799984005,eva02_base+siglip_base+vit_b16+beitv2_base_final+convnext_v2_t,0.8488713146942702
SoilOriginal,svm,2026,1,full,topk_individual,0.8914875308779686,0.9254385964912281,5,3840,1.6424667780011077,siglip_base+eva02_base+beitv2_base_final+vit_b16+convnext_v2_t,0.844065710122643
