dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
SoilOriginal,svm,42,0,full,random_000,0.8922849785560186,0.9429824561403509,6,4710,1.2781759649997184,densenet121+dinov2+eva02_base+gabor+lbp+resnet50,
SoilOriginal,svm,42,0,full,random_001,0.9007419438434019,0.9342105263157895,6,7828,1.4914484270002504,deit_s+eva02_base+gabor+hog+vgg16+vit_b16,
SoilOriginal,svm,42,0,full,random_002,0.8564755852072692,0.9078947368421053,6,4404,1.5853261829997791,deit_s+dinov2_large+dinov2_small+drlbp+hog+mae_base,
SoilOriginal,svm,42,0,full,random_003,0.8352824300985592,0.8991228070175439,6,5658,1.734168918999785,convnext_v2_t+dinov2_large+efficientnet_b0+hog+lbp+siglip_base,
SoilOriginal,svm,42,0,full,random_004,0.8750354721603143,0.9342105263157895,6,4714,1.9178607070007274,densenet121+dinov2_large+drlbp+hog+lbp+swin_t,
SoilOriginal,svm,42,0,full,random_005,0.87767670638437,0.9254385964912281,6,4480,1.0608023630002208,convnext_v2_t+densenet121+dinov2_small+eva02_base+swin_t+vit_b16,
SoilOriginal,svm,42,0,full,random_006,0.8751478222992357,0.9166666666666666,6,5650,1.3980619099993419,convnext_v2_t+efficientnet_b0+eva02_base+glcm+resnet101+siglip_base,
SoilOriginal,svm,42,0,full,random_007,0.8530247512070586,0.9035087719298246,6,4262,1.6175741659999403,deit_s+dinov2+efficientnet_b0+gabor+glcm+hog,
SoilOriginal,svm,42,0,full,random_008,0.8766142716419673,0.9254385964912281,6,4864,1.3128024920006283,dinov2_large+dinov2_small+drlbp+efficientnet_b0+gabor+resnet101,
SoilOriginal,svm,42,0,full,random_009,0.8462369214493866,0.9078947368421053,6,5552,1.3098931149997952,convnext_v2_t+deit_s+dinov2_large+efficientnet_b0+gabor+resnet101,
SoilOriginal,svm,42,0,full,random_010,0.8985885390989763,0.9429824561403509,6,6480,1.0077875699998913,deit_s+dinov2_small+drlbp+siglip_base+swin_t+vgg16,
SoilOriginal,svm,42,0,full,random_011,0.8668131515541875,0.9298245614035088,6,9748,1.7076154339993082,densenet121+gabor+hog+resnet101+vgg16+vit_b16,
SoilOriginal,svm,42,0,full,random_012,0.8594165809370878,0.9166666666666666,6,4202,1.39122785499967,convnext_v2_t+dinov2+drlbp+hog+lbp+swin_t,
SoilOriginal,svm,42,0,full,random_013,0.8367978830589804,0.8991228070175439,6,6118,1.049731891999727,convnext_v2_t+deit_s+gabor+lbp+mae_base+vgg16,
SoilOriginal,svm,42,0,full,random_014,0.8853659945799116,0.9254385964912281,6,4754,1.3086022839997895,convnext_v2_t+dinov2+dinov2_small+glcm+mae_base+resnet101,
SoilOriginal,svm,42,0,full,random_015,0.8580627560592717,0.9210526315789473,6,6068,1.7170834139997169,densenet121+dinov2+dinov2_small+drlbp+hog+resnet50,
SoilOriginal,svm,42,0,full,random_016,0.8525266796785721,0.9122807017543859,6,6082,0.9811135700001614,deit_s+gabor+glcm+swin_t+vgg16+vit_b16,
SoilOriginal,svm,42,0,full,random_017,0.8600633565351543,0.9166666666666666,6,5138,1.3293338310004401,dinov2+glcm+mae_base+resnet50+siglip_base+vit_b16,
SoilOriginal,svm,42,0,full,random_018,0.8533898288014592,0.9122807017543859,6,4042,1.3051587319996543,densenet121+dinov2_small+gabor+hog+lbp+vit_b16,
SoilOriginal,svm,42,0,full,random_019,0.843068381612193,0.9078947368421053,6,6728,1.121134119999624,convnext_v2_t+dinov2_large+glcm+lbp+swin_t+vgg16,
SoilOriginal,svm,42,0,full,random_020,0.8932940402411825,0.9342105263157895,6,7012,1.6482850030006375,densenet121+dinov2_large+dinov2_small+eva02_base+hog+resnet50,
SoilOriginal,svm,42,0,full,random_021,0.8697368052359448,0.9298245614035088,6,7782,1.1317588009997053,gabor+lbp+resnet50+swin_t+vgg16+vit_b16,
SoilOriginal,svm,42,0,full,random_022,0.8936154759316682,0.9429824561403509,6,9140,1.567829382999662,dinov2_small+drlbp+eva02_base+hog+resnet101+vgg16,
SoilOriginal,svm,42,0,full,random_023,0.8285830495873341,0.8903508771929824,6,2072,0.7200819730005605,convnext_v2_t+deit_s+drlbp+glcm+lbp+swin_t,
SoilOriginal,svm,42,0,full,random_024,0.86312890475624,0.9122807017543859,6,4962,1.3373669950005933,dinov2+drlbp+efficientnet_b0+glcm+resnet101+vit_b16,
SoilOriginal,svm,42,0,full,random_025,0.8570340914313582,0.9078947368421053,6,2968,0.8026110790005987,deit_s+dinov2_small+drlbp+glcm+lbp+resnet101,
