dataset,classifier,seed,outer_fold,gfs_macro_f1,random_b,random_mean,random_std,random_max,gfs_percentile,empirical_p
SoilOriginal,resmlp,42,0,0.8898257556630659,100,0.8692792296549992,0.020597656706013573,0.9262089545756612,0.85,0.15841584158415842
SoilOriginal,resmlp,42,1,0.846751183116953,100,0.7985560037653303,0.02897143274140177,0.8720046960520108,0.95,0.0594059405940594
SoilOriginal,resmlp,42,2,0.853704175510621,100,0.7917384523570672,0.03551582938043778,0.8581936740889745,0.98,0.0297029702970297
SoilOriginal,resmlp,42,3,0.919411962639211,100,0.8610633589197961,0.030556689329050046,0.919099636246061,1.0,0.009900990099009901
SoilOriginal,resmlp,42,4,0.8873137384603377,100,0.8828710805965807,0.02588450967488286,0.9292077026150024,0.47,0.5346534653465347
SoilOriginal,resmlp,123,0,0.8883632485114549,100,0.8575435766878382,0.028339541439630384,0.9131444265034052,0.87,0.13861386138613863
SoilOriginal,resmlp,123,1,0.8034670958363167,100,0.8094615830065038,0.02021943994278301,0.8569568341412452,0.35,0.6534653465346535
SoilOriginal,resmlp,123,2,0.83621000679583,100,0.8117369451297136,0.02666563701397606,0.8716793841154927,0.82,0.18811881188118812
SoilOriginal,resmlp,123,3,0.9054297786790412,100,0.8700934945457146,0.018407444093371268,0.9132597195925272,0.96,0.04950495049504951
SoilOriginal,resmlp,123,4,0.9008072795015424,100,0.882993063219059,0.026638453307490276,0.933705238943128,0.71,0.297029702970297
SoilOriginal,resmlp,2026,0,0.8393180038339919,100,0.8461166504349547,0.025961492197874903,0.9006564785560098,0.33,0.6732673267326733
SoilOriginal,resmlp,2026,1,0.8421131630349492,100,0.8453878278749651,0.03096460767446964,0.8969476542543059,0.38,0.6237623762376238
SoilOriginal,resmlp,2026,2,0.8786443205465081,100,0.8585731645028136,0.022608189747482608,0.9153505270760434,0.84,0.16831683168316833
SoilOriginal,resmlp,2026,3,0.8930468461404388,100,0.8579793930250996,0.021773919216500397,0.905293446351765,0.95,0.0594059405940594
SoilOriginal,resmlp,2026,4,0.858369216516108,100,0.8110020480216078,0.02291687947359846,0.8572665960231396,1.0,0.009900990099009901
SoilOriginal,svm,42,0,0.8792227497016256,100,0.8662877269557352,0.01802161735927252,0.9106232794935298,0.76,0.24752475247524752
SoilOriginal,svm,42,1,0.7862422823280609,100,0.8119050741706151,0.031414627051775196,0.8859504569068071,0.2,0.801980198019802
SoilOriginal,svm,42,2,0.8522299677746435,100,0.8188590404452595,0.03695342050046805,0.884726943733155,0.82,0.18811881188118812
SoilOriginal,svm,42,3,0.8985717582931522,100,0.8803012973297502,0.018918317157085477,0.9157348328694211,0.81,0.19801980198019803
SoilOriginal,svm,42,4,0.8808628222230149,100,0.8642703193439063,0.04963827019745319,0.9248088243325466,0.62,0.38613861386138615
SoilOriginal,svm,123,0,0.8659465266319767,100,0.8261016524710765,0.0954289668310946,0.916648460599655,0.72,0.2871287128712871
SoilOriginal,svm,123,1,0.8782562534865531,100,0.8087106236912126,0.02245864235068654,0.8648009472580467,1.0,0.009900990099009901
SoilOriginal,svm,123,2,0.8101678525661277,100,0.8181507714210261,0.015468093242350307,0.8524451878817745,0.31,0.693069306930693
SoilOriginal,svm,123,3,0.895356308307108,100,0.8786450695135453,0.023295496797106723,0.921699064850636,0.75,0.25742574257425743
SoilOriginal,svm,123,4,0.9057268558992853,100,0.9026164832784359,0.020589279149487712,0.9483149281114835,0.6,0.40594059405940597
SoilOriginal,svm,2026,0,0.8565033226072768,100,0.8499201090159332,0.025033962257331975,0.9012801797196888,0.61,0.39603960396039606
SoilOriginal,svm,2026,1,0.8684915454759649,100,0.8590802335304556,0.020043663274649664,0.90034376650918,0.64,0.36633663366336633
SoilOriginal,svm,2026,2,0.8867946950607891,100,0.8770080886205733,0.015499708127193694,0.919656090633772,0.76,0.24752475247524752
SoilOriginal,svm,2026,3,0.8982666765120637,100,0.8505688868349577,0.05089663695371435,0.9047550243510402,0.96,0.04950495049504951
SoilOriginal,svm,2026,4,0.8291348583409495,100,0.8198296801266542,0.02148956927906019,0.88756311599286,0.69,0.31683168316831684
