dataset,classifier,extractor,family,count,frequency
SoilOriginal,resmlp,convnext_v2_t,see runner family map,5,0.3333333333333333
SoilOriginal,resmlp,deit_s,see runner family map,3,0.2
SoilOriginal,resmlp,densenet121,see runner family map,3,0.2
SoilOriginal,resmlp,dinov2,see runner family map,1,0.06666666666666667
SoilOriginal,resmlp,dinov2_large,see runner family map,2,0.13333333333333333
SoilOriginal,resmlp,dinov2_small,see runner family map,3,0.2
SoilOriginal,resmlp,drlbp,see runner family map,2,0.13333333333333333
SoilOriginal,resmlp,eva02_base,see runner family map,10,0.6666666666666666
SoilOriginal,resmlp,gabor,see runner family map,3,0.2
SoilOriginal,resmlp,glcm,see runner family map,6,0.4
SoilOriginal,resmlp,hog,see runner family map,4,0.26666666666666666
SoilOriginal,resmlp,lbp,see runner family map,1,0.06666666666666667
SoilOriginal,resmlp,mae_base,see runner family map,8,0.5333333333333333
SoilOriginal,resmlp,resnet101,see runner family map,5,0.3333333333333333
SoilOriginal,resmlp,siglip_base,see runner family map,14,0.9333333333333333
SoilOriginal,resmlp,vit_b16,see runner family map,5,0.3333333333333333
SoilOriginal,svm,convnext_v2_t,see runner family map,3,0.2
SoilOriginal,svm,densenet121,see runner family map,4,0.26666666666666666
SoilOriginal,svm,dinov2,see runner family map,1,0.06666666666666667
SoilOriginal,svm,dinov2_large,see runner family map,1,0.06666666666666667
SoilOriginal,svm,drlbp,see runner family map,8,0.5333333333333333
SoilOriginal,svm,eva02_base,see runner family map,10,0.6666666666666666
SoilOriginal,svm,gabor,see runner family map,5,0.3333333333333333
SoilOriginal,svm,glcm,see runner family map,7,0.4666666666666667
SoilOriginal,svm,hog,see runner family map,2,0.13333333333333333
SoilOriginal,svm,lbp,see runner family map,6,0.4
SoilOriginal,svm,mae_base,see runner family map,7,0.4666666666666667
SoilOriginal,svm,resnet101,see runner family map,1,0.06666666666666667
SoilOriginal,svm,siglip_base,see runner family map,10,0.6666666666666666
SoilOriginal,svm,vit_b16,see runner family map,2,0.13333333333333333
