dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
SoilOriginal,svm,42,0,full,topk_individual,0.8581505366402391,0.9166666666666666,6,5120,1.3814106959998753,siglip_base+eva02_base+swin_t+vit_b16+convnext_v2_t+efficientnet_b0,0.8306229298017366
SoilOriginal,svm,42,1,full,topk_individual,0.879617262999485,0.9210526315789473,4,3072,0.6127945650000584,eva02_base+vit_b16+siglip_base+convnext_v2_t,0.8485634826683766
SoilOriginal,svm,42,2,full,topk_individual,0.8457666395655384,0.9035087719298246,3,2304,0.5108370469997681,eva02_base+siglip_base+convnext_v2_t,0.8615794991048751
SoilOriginal,svm,42,3,full,topk_individual,0.8910028359873877,0.9342105263157895,5,4096,0.9936782449999555,eva02_base+siglip_base+convnext_v2_t+swin_t+densenet121,0.8270394974684923
SoilOriginal,svm,42,4,full,topk_individual,0.8920648840052952,0.9342105263157895,3,2304,0.45282908999979554,siglip_base+eva02_base+vit_b16,0.8525742438053162
SoilOriginal,svm,123,0,full,topk_individual,0.9064213957830978,0.9298245614035088,2,1536,0.36586637399977917,siglip_base+eva02_base,0.8638218777100065
SoilOriginal,svm,123,1,full,topk_individual,0.8196974237142982,0.8951965065502183,5,4608,1.018632689000242,siglip_base+eva02_base+vit_b16+densenet121+efficientnet_b0,0.8428120216183874
SoilOriginal,svm,123,2,full,topk_individual,0.8467563642455466,0.9122807017543859,5,4096,1.140991338999811,siglip_base+eva02_base+densenet121+convnext_v2_t+vit_b16,0.8502356403004612
SoilOriginal,svm,123,3,full,topk_individual,0.9089661233290526,0.933920704845815,4,3072,0.7157092019997435,eva02_base+siglip_base+convnext_v2_t+vit_b16,0.8376133496761494
SoilOriginal,svm,123,4,full,topk_individual,0.9334923356859044,0.9517543859649122,6,4864,1.2390016429999378,eva02_base+siglip_base+vit_b16+convnext_v2_t+swin_t+densenet121,0.8218761574749393
SoilOriginal,svm,2026,0,full,topk_individual,0.8801898138890971,0.9210526315789473,4,3072,0.6981368169999769,eva02_base+siglip_base+vit_b16+convnext_v2_t,0.8524472404062917
SoilOriginal,svm,2026,1,full,topk_individual,0.8515968755366841,0.9078947368421053,5,5120,1.1543614199999865,siglip_base+eva02_base+vit_b16+convnext_v2_t+resnet101,0.841051617642934
