dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
VisTexReference12,svm,42,0,full,best_individual,0.9458333333333334,0.9310344827586207,1,768,0.04029055499995593,siglip_base,0.9718253968253968
VisTexReference12,svm,42,0,full,full_concat,0.974074074074074,0.9655172413793104,20,19628,1.6688843140000245,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
VisTexReference12,svm,42,0,full,gfs,0.974074074074074,0.9655172413793104,2,1536,0.08426498900007573,siglip_base+swin_t,0.9743386243386243
VisTexReference12,svm,42,0,full,best_homogeneous_self_supervised,0.9458333333333334,0.9310344827586207,1,768,0.04096724999999424,siglip_base,0.9718253968253968
VisTexReference12,svm,42,1,full,best_individual,1.0,1.0,1,768,0.04375879100007296,siglip_base,0.957936507936508
VisTexReference12,svm,42,1,full,full_concat,1.0,1.0,20,19628,2.0747407660001045,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
VisTexReference12,svm,42,1,full,gfs,1.0,1.0,2,1536,0.09208881799986557,siglip_base+dinov2,0.9824074074074074
VisTexReference12,svm,42,1,full,best_homogeneous_self_supervised,1.0,1.0,2,1536,0.09506749599950126,siglip_base+dinov2,0.9824074074074074
VisTexReference12,svm,42,2,full,best_individual,0.9555555555555556,0.9642857142857143,1,768,0.04822091499954695,dinov2,0.9796296296296296
VisTexReference12,svm,42,2,full,full_concat,0.9761904761904763,0.9642857142857143,20,19628,1.2158975669999563,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
VisTexReference12,svm,42,2,full,gfs,0.9555555555555556,0.9642857142857143,1,768,0.03833353700065345,dinov2,0.9796296296296296
VisTexReference12,svm,42,2,full,best_homogeneous_self_supervised,0.9555555555555556,0.9642857142857143,1,768,0.08213229600005434,dinov2,0.9796296296296296
VisTexReference12,svm,42,3,full,best_individual,0.9603174603174603,0.9642857142857143,1,1024,0.054657810000207974,dinov2_large,0.9658068783068783
VisTexReference12,svm,42,3,full,full_concat,1.0,1.0,20,19628,1.4186702380002316,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
VisTexReference12,svm,42,3,full,gfs,0.9603174603174603,0.9642857142857143,3,3556,0.27544672099975287,dinov2_large+hog+eva02_base,0.9804232804232804
VisTexReference12,svm,42,3,full,best_homogeneous_self_supervised,0.9603174603174603,0.9642857142857143,2,1792,0.13451886900020327,dinov2_large+siglip_base,0.9732804232804233
VisTexReference12,svm,42,4,full,best_individual,0.9249999999999999,0.9259259259259259,1,768,0.04354161999981443,siglip_base,0.9829365079365079
VisTexReference12,svm,42,4,full,full_concat,0.974074074074074,0.9629629629629629,20,19628,1.9584031929998673,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
VisTexReference12,svm,42,4,full,gfs,0.8907407407407408,0.8888888888888888,3,866,0.0865627859993765,siglip_base+glcm+drlbp,0.9928571428571429
VisTexReference12,svm,42,4,full,best_homogeneous_self_supervised,0.9555555555555556,0.9629629629629629,2,1152,0.07883234300061304,siglip_base+dinov2_small,0.9836805555555556
VisTexReference12,svm,123,0,full,best_individual,1.0,1.0,1,768,0.04489141100020788,siglip_base,0.9603339947089947
VisTexReference12,svm,123,0,full,full_concat,1.0,1.0,20,19628,1.6678891289993771,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
VisTexReference12,svm,123,0,full,gfs,1.0,1.0,5,3738,0.22432062099960604,siglip_base+lbp+convnext_v2_t+dinov2_small+hog,0.9783068783068782
VisTexReference12,svm,123,0,full,best_homogeneous_self_supervised,1.0,1.0,1,768,0.04384718999972392,siglip_base,0.9603339947089947
VisTexReference12,svm,123,1,full,best_individual,1.0,1.0,1,768,0.044307074999778706,siglip_base,0.9591269841269842
VisTexReference12,svm,123,1,full,full_concat,1.0,1.0,20,19628,1.2065178379998542,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
VisTexReference12,svm,123,1,full,gfs,1.0,1.0,3,1554,0.11071282900047663,siglip_base+dinov2+glcm,0.9752645502645503
VisTexReference12,svm,123,1,full,best_homogeneous_self_supervised,1.0,1.0,3,2560,0.14496459399924788,siglip_base+dinov2+dinov2_large,0.9752645502645503
VisTexReference12,svm,123,2,full,best_individual,1.0,1.0,1,768,0.07609176200003276,siglip_base,0.9460978835978837
VisTexReference12,svm,123,2,full,full_concat,0.974074074074074,0.9642857142857143,20,19628,1.1995028399996954,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
VisTexReference12,svm,123,2,full,gfs,0.974074074074074,0.9642857142857143,4,2322,0.19698192800024117,siglip_base+dinov2+vit_b16+glcm,0.9831349206349206
VisTexReference12,svm,123,2,full,best_homogeneous_self_supervised,0.974074074074074,0.9642857142857143,2,1536,0.08442472400020051,siglip_base+dinov2,0.9672619047619048
VisTexReference12,svm,123,3,full,best_individual,0.8853174603174603,0.8928571428571429,1,768,0.04644492100032949,eva02_base,0.9748015873015874
VisTexReference12,svm,123,3,full,full_concat,0.9455026455026455,0.9285714285714286,20,19628,2.0916553269998985,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
VisTexReference12,svm,123,3,full,gfs,0.8853174603174603,0.8928571428571429,3,1584,0.15565730100024666,eva02_base+gabor+mae_base,0.9835978835978836
VisTexReference12,svm,123,3,full,best_homogeneous_transformer,0.8853174603174603,0.8928571428571429,1,768,0.04966867299935984,eva02_base,0.9748015873015874
VisTexReference12,svm,123,4,full,best_individual,1.0,1.0,1,384,0.020444511000278,dinov2_small,0.9657407407407407
VisTexReference12,svm,123,4,full,full_concat,1.0,1.0,20,19628,1.9156212730003972,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
VisTexReference12,svm,123,4,full,gfs,1.0,1.0,2,438,0.03538483400006953,dinov2_small+lbp,0.9789682539682539
VisTexReference12,svm,123,4,full,best_homogeneous_self_supervised,1.0,1.0,2,1408,0.08664541600046505,dinov2_small+dinov2_large,0.9771164021164022
VisTexReference12,svm,2026,0,full,best_individual,0.9186507936507936,0.9310344827586207,1,768,0.05502541099940572,eva02_base,0.9410714285714287
VisTexReference12,svm,2026,0,full,full_concat,1.0,1.0,20,19628,1.9429986939994706,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
VisTexReference12,svm,2026,0,full,gfs,0.9186507936507936,0.9310344827586207,2,822,0.05752394799947069,eva02_base+lbp,0.9702380952380952
VisTexReference12,svm,2026,0,full,best_homogeneous_transformer,0.9186507936507936,0.9310344827586207,1,768,0.03936036199957016,eva02_base,0.9410714285714287
VisTexReference12,svm,2026,1,full,best_individual,1.0,1.0,1,768,0.04194014899985632,dinov2,0.9668154761904761
VisTexReference12,svm,2026,1,full,full_concat,0.974074074074074,0.9642857142857143,20,19628,2.2419765039994672,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
VisTexReference12,svm,2026,1,full,gfs,0.974074074074074,0.9642857142857143,3,1584,0.1457584149993636,dinov2+siglip_base+gabor,0.9888888888888889
VisTexReference12,svm,2026,1,full,best_homogeneous_self_supervised,0.974074074074074,0.9642857142857143,3,1920,0.1267918979992828,dinov2+siglip_base+dinov2_small,0.9888888888888889
VisTexReference12,svm,2026,2,full,best_individual,1.0,1.0,1,384,0.020152568999947107,dinov2_small,0.9343915343915344
VisTexReference12,svm,2026,2,full,full_concat,1.0,1.0,20,19628,1.3431482890000552,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
VisTexReference12,svm,2026,2,full,gfs,1.0,1.0,4,3684,0.1900697390001369,dinov2_small+eva02_base+vit_b16+hog,0.9528439153439153
VisTexReference12,svm,2026,2,full,best_homogeneous_self_supervised,1.0,1.0,3,1920,0.12525102800009336,dinov2_small+siglip_base+mae_base,0.9443121693121693
VisTexReference12,svm,2026,3,full,best_individual,0.9714285714285714,0.9642857142857143,1,768,0.044529628999953275,siglip_base,0.9554563492063493
VisTexReference12,svm,2026,3,full,full_concat,0.9714285714285714,0.9642857142857143,20,19628,1.1936425020003298,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
VisTexReference12,svm,2026,3,full,gfs,0.9714285714285714,0.9642857142857143,2,1536,0.11207019099947502,siglip_base+mae_base,0.9653439153439154
VisTexReference12,svm,2026,3,full,best_homogeneous_self_supervised,0.9714285714285714,0.9642857142857143,2,1536,0.10670066599959682,siglip_base+mae_base,0.9653439153439154
VisTexReference12,svm,2026,4,full,best_individual,0.9555555555555556,0.9629629629629629,1,768,0.039716448999570275,dinov2,0.9737599206349207
VisTexReference12,svm,2026,4,full,full_concat,0.9343915343915343,0.9259259259259259,20,19628,1.8104298040007052,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
VisTexReference12,svm,2026,4,full,gfs,0.9555555555555556,0.9629629629629629,2,4864,0.08970094200049061,dinov2+vgg16,0.9836805555555556
VisTexReference12,svm,2026,4,full,best_homogeneous_self_supervised,0.9555555555555556,0.9629629629629629,2,1536,0.08868789699954505,dinov2+siglip_base,0.9836805555555556
VisTexReference12,resmlp,42,0,full,best_individual,0.9138888888888889,0.896551724137931,1,768,0.27755730399985623,convnext_v2_t,0.9561673280423281
VisTexReference12,resmlp,42,0,full,full_concat,0.950595238095238,0.9310344827586207,20,19628,0.5923774980001326,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,nan
VisTexReference12,resmlp,42,0,full,gfs,0.974074074074074,0.9655172413793104,4,4068,0.6091802159999133,convnext_v2_t+dinov2+eva02_base+hog,0.9863756613756614
VisTexReference12,resmlp,42,0,full,best_homogeneous_self_supervised,0.974074074074074,0.9655172413793104,2,1152,0.3988228420002997,siglip_base+dinov2_small,0.9718253968253968
VisTexReference12,resmlp,42,1,full,best_individual,1.0,1.0,1,768,0.3988444619999427,dinov2,0.9736111111111111
