dataset,classifier,method,n,macro_f1_mean,macro_f1_std
VisTexReference12,resmlp,best_homogeneous_self_supervised,14,0.9726001511715798,0.029906822018755826
VisTexReference12,resmlp,best_homogeneous_transformer,1,0.9074074074074072,
VisTexReference12,resmlp,best_individual,15,0.9630070546737213,0.035922229471894745
VisTexReference12,resmlp,full_concat,15,0.9770590828924163,0.02250420141039035
VisTexReference12,resmlp,gfs,15,0.9659082892416226,0.033624635475166524
VisTexReference12,svm,best_homogeneous_self_supervised,13,0.9763380138380138,0.021049003938261035
VisTexReference12,svm,best_homogeneous_transformer,2,0.9019841269841269,0.02357022603955162
VisTexReference12,svm,best_individual,15,0.9678439153439153,0.03699444661368666
VisTexReference12,svm,full_concat,15,0.9815873015873017,0.021147196638372036
VisTexReference12,svm,gfs,15,0.9639858906525572,0.03836872946423082
