dataset,classifier,seed,outer_fold,run_mode,method,macro_f1,accuracy,k,dimensions,fit_seconds,selected,inner_f1
VisTexReference12,svm,42,0,full,random_000,0.9458333333333334,0.9310344827586207,2,2532,0.1740969270003916,hog+siglip_base,
VisTexReference12,svm,42,0,full,random_001,0.8436507936507938,0.8275862068965517,2,1072,0.06556994700076757,densenet121+gabor,
VisTexReference12,svm,42,0,full,random_002,0.9158730158730158,0.896551724137931,2,2128,0.06821950999983528,drlbp+resnet50,
VisTexReference12,svm,42,0,full,random_003,0.32698412698412693,0.41379310344827586,2,102,0.00906670899985329,gabor+lbp,
VisTexReference12,svm,42,0,full,random_004,0.8436507936507938,0.8275862068965517,2,1072,0.08101006400011102,densenet121+gabor,
VisTexReference12,svm,42,0,full,random_005,0.8490740740740742,0.8275862068965517,2,4144,0.06893160399977205,gabor+vgg16,
VisTexReference12,svm,42,0,full,random_006,0.974074074074074,0.9655172413793104,2,464,0.03238722500009317,dinov2_small+drlbp,
VisTexReference12,svm,42,0,full,random_007,0.9158730158730158,0.896551724137931,2,2128,0.057379666000088037,drlbp+resnet50,
VisTexReference12,svm,42,0,full,random_008,0.7880952380952381,0.8275862068965517,2,464,0.020970948000467615,deit_s+drlbp,
VisTexReference12,svm,42,0,full,random_009,0.9458333333333334,0.9310344827586207,2,1536,0.08288795600037702,eva02_base+mae_base,
VisTexReference12,svm,42,0,full,random_010,0.974074074074074,0.9655172413793104,2,2432,0.06115433899958589,dinov2_small+resnet50,
VisTexReference12,svm,42,0,full,random_011,0.950595238095238,0.9310344827586207,2,1152,0.06034710000039922,convnext_v2_t+dinov2_small,
VisTexReference12,svm,42,0,full,random_012,0.950595238095238,0.9310344827586207,2,2048,0.10184053000011772,efficientnet_b0+swin_t,
VisTexReference12,svm,42,0,full,random_013,0.974074074074074,0.9655172413793104,2,1792,0.09350302799975907,densenet121+dinov2,
VisTexReference12,svm,42,0,full,random_014,0.974074074074074,0.9655172413793104,2,1152,0.06258359300045413,dinov2_small+eva02_base,
VisTexReference12,svm,42,0,full,random_015,0.9458333333333334,0.9310344827586207,2,1792,0.08399173699945095,densenet121+eva02_base,
VisTexReference12,svm,42,0,full,random_016,0.950595238095238,0.9310344827586207,2,1792,0.08969590200013045,dinov2_large+swin_t,
VisTexReference12,svm,42,0,full,random_017,0.8830026455026455,0.8620689655172413,2,4114,0.06991926099999546,glcm+vgg16,
VisTexReference12,svm,42,0,full,random_018,0.974074074074074,0.9655172413793104,2,1792,0.09691379800005961,densenet121+dinov2,
VisTexReference12,svm,42,0,full,random_019,0.974074074074074,0.9655172413793104,2,816,0.05929148900031578,dinov2+gabor,
VisTexReference12,svm,42,0,full,random_020,0.9061507936507937,0.896551724137931,2,2816,0.09271383600025729,convnext_v2_t+resnet101,
VisTexReference12,svm,42,0,full,random_021,0.9013888888888889,0.896551724137931,2,1536,0.07655999700000393,swin_t+vit_b16,
VisTexReference12,svm,42,0,full,random_022,0.7353174603174603,0.7931034482758621,2,2148,0.11482546899969748,deit_s+hog,
VisTexReference12,svm,42,0,full,random_023,0.950595238095238,0.9310344827586207,2,3328,0.10915680500056624,efficientnet_b0+resnet50,
VisTexReference12,svm,42,0,full,random_024,0.2765873015873016,0.3103448275862069,2,1818,0.22675323400017078,hog+lbp,
VisTexReference12,svm,42,0,full,random_025,0.32698412698412693,0.41379310344827586,2,102,0.009341671000584029,gabor+lbp,
VisTexReference12,svm,42,0,full,random_026,0.7880952380952381,0.8275862068965517,2,1152,0.062354643000617216,deit_s+mae_base,
