dataset,classifier,seed,outer_fold,gfs_macro_f1,random_b,random_mean,random_std,random_max,gfs_percentile,empirical_p
VisTexReference12,resmlp,42,0,0.974074074074074,100,0.9410667989417989,0.03187270033327311,1.0,0.72,0.2871287128712871
VisTexReference12,resmlp,42,1,1.0,100,0.9848597883597884,0.020282495588480585,1.0,0.41,0.594059405940594
VisTexReference12,resmlp,42,2,0.931746031746032,100,0.9466198292448295,0.07194445018744541,0.9761904761904764,0.21,0.7920792079207921
VisTexReference12,resmlp,42,3,1.0,100,0.967818783068783,0.033666793916280566,1.0,0.59,0.4158415841584158
VisTexReference12,resmlp,42,4,0.8907407407407408,100,0.9190560365560367,0.06950533513817649,0.974074074074074,0.15,0.8514851485148515
VisTexReference12,resmlp,123,0,1.0,100,0.9876560846560847,0.029980883023752267,1.0,0.3,0.7029702970297029
VisTexReference12,resmlp,123,1,0.9666666666666668,100,0.9699505772005774,0.08140562531909043,1.0,0.11,0.8910891089108911
VisTexReference12,resmlp,123,2,0.974074074074074,100,0.9609563492063491,0.02802317825812017,1.0,0.25,0.7524752475247525
VisTexReference12,resmlp,123,3,0.9269841269841268,100,0.8907023809523811,0.04594784308045561,0.9555555555555556,0.63,0.37623762376237624
VisTexReference12,resmlp,123,4,1.0,100,0.9800456349206348,0.025093310073662667,1.0,0.43,0.5742574257425742
VisTexReference12,resmlp,2026,0,0.9444444444444444,100,0.9904603174603175,0.019790050934364492,1.0,0.04,0.9603960396039604
VisTexReference12,resmlp,2026,1,0.974074074074074,100,0.9546096079846079,0.0298652410883863,1.0,0.53,0.4752475247524752
VisTexReference12,resmlp,2026,2,1.0,100,0.9787169312169312,0.06343347715888986,1.0,0.33,0.6732673267326733
VisTexReference12,resmlp,2026,3,0.9714285714285714,100,0.9621269841269843,0.013539880746519106,1.0,0.82,0.18811881188118812
VisTexReference12,resmlp,2026,4,0.9343915343915344,100,0.8871937830687829,0.08383237788236934,0.974074074074074,0.63,0.37623762376237624
VisTexReference12,svm,42,0,0.974074074074074,100,0.8784722222222223,0.16742461103512188,1.0,0.83,0.1782178217821782
VisTexReference12,svm,42,1,1.0,100,0.9579724025974028,0.09336418229707301,1.0,0.55,0.45544554455445546
VisTexReference12,svm,42,2,0.9555555555555556,100,0.7675686364289308,0.28991209627626136,0.9761904761904764,0.72,0.2871287128712871
VisTexReference12,svm,42,3,0.9603174603174603,100,0.9692585978835977,0.03262885813825182,1.0,0.3,0.7029702970297029
VisTexReference12,svm,42,4,0.8907407407407408,100,0.9327990620490619,0.044393926229332026,0.974074074074074,0.05,0.9504950495049505
VisTexReference12,svm,123,0,1.0,100,0.9983650793650792,0.009118227809183843,1.0,0.04,0.9603960396039604
VisTexReference12,svm,123,1,1.0,100,0.9730416666666667,0.09470244216402157,1.0,0.3,0.7029702970297029
VisTexReference12,svm,123,2,0.974074074074074,100,0.9562138648388648,0.04365717772596193,1.0,0.27,0.7326732673267327
VisTexReference12,svm,123,3,0.8853174603174603,100,0.8819384920634922,0.07068698487096185,0.9555555555555556,0.48,0.5247524752475248
VisTexReference12,svm,123,4,1.0,100,0.9404821428571429,0.11550791691172609,1.0,0.71,0.297029702970297
VisTexReference12,svm,2026,0,0.9186507936507936,100,0.9287784391534392,0.13345746993371238,1.0,0.13,0.8712871287128713
VisTexReference12,svm,2026,1,0.974074074074074,100,0.9465944564694564,0.05551791541253997,1.0,0.55,0.45544554455445546
VisTexReference12,svm,2026,2,1.0,100,0.9904384920634919,0.01883251573216408,1.0,0.23,0.7722772277227723
VisTexReference12,svm,2026,3,0.9714285714285714,100,0.9215927729677732,0.10523222539043776,1.0,0.84,0.16831683168316833
VisTexReference12,svm,2026,4,0.9555555555555556,100,0.8793354377104378,0.12267637460374922,0.974074074074074,0.73,0.27722772277227725
