dataset,classifier,extractor,family,count,frequency
VisTexReference12,resmlp,convnext_v2_t,see runner family map,1,0.06666666666666667
VisTexReference12,resmlp,dinov2,see runner family map,6,0.4
VisTexReference12,resmlp,dinov2_large,see runner family map,5,0.3333333333333333
VisTexReference12,resmlp,dinov2_small,see runner family map,8,0.5333333333333333
VisTexReference12,resmlp,drlbp,see runner family map,1,0.06666666666666667
VisTexReference12,resmlp,eva02_base,see runner family map,7,0.4666666666666667
VisTexReference12,resmlp,gabor,see runner family map,2,0.13333333333333333
VisTexReference12,resmlp,glcm,see runner family map,3,0.2
VisTexReference12,resmlp,hog,see runner family map,1,0.06666666666666667
VisTexReference12,resmlp,lbp,see runner family map,5,0.3333333333333333
VisTexReference12,resmlp,mae_base,see runner family map,2,0.13333333333333333
VisTexReference12,resmlp,resnet50,see runner family map,1,0.06666666666666667
VisTexReference12,resmlp,siglip_base,see runner family map,8,0.5333333333333333
VisTexReference12,resmlp,swin_t,see runner family map,1,0.06666666666666667
VisTexReference12,resmlp,vit_b16,see runner family map,1,0.06666666666666667
VisTexReference12,svm,convnext_v2_t,see runner family map,1,0.06666666666666667
VisTexReference12,svm,dinov2,see runner family map,6,0.4
VisTexReference12,svm,dinov2_large,see runner family map,1,0.06666666666666667
VisTexReference12,svm,dinov2_small,see runner family map,3,0.2
VisTexReference12,svm,drlbp,see runner family map,1,0.06666666666666667
VisTexReference12,svm,eva02_base,see runner family map,4,0.26666666666666666
VisTexReference12,svm,gabor,see runner family map,2,0.13333333333333333
VisTexReference12,svm,glcm,see runner family map,3,0.2
VisTexReference12,svm,hog,see runner family map,3,0.2
VisTexReference12,svm,lbp,see runner family map,3,0.2
VisTexReference12,svm,mae_base,see runner family map,2,0.13333333333333333
VisTexReference12,svm,siglip_base,see runner family map,8,0.5333333333333333
VisTexReference12,svm,swin_t,see runner family map,1,0.06666666666666667
VisTexReference12,svm,vgg16,see runner family map,1,0.06666666666666667
VisTexReference12,svm,vit_b16,see runner family map,2,0.13333333333333333
