experiment,dataset,strategy,extractor,clf,mean_f1,std_f1,n_samples,emb_dim
Exp1_linear_probing,DTD,linear_probe,convnext_v2_t,svm,0.7761061806180043,0.0150853258677691,5640,768
Exp1_linear_probing,DTD,linear_probe,deit_s,svm,0.6684130613551782,0.0160929176487084,5640,384
Exp1_linear_probing,DTD,linear_probe,densenet121,svm,0.703833835783481,0.010481476644117,5640,1024
Exp1_linear_probing,DTD,linear_probe,dinov2,svm,0.8419999489268051,0.0056994432132429,5640,768
Exp1_linear_probing,DTD,linear_probe,dinov2_large,svm,0.8409856671651539,0.0025321091290283,5640,1024
Exp1_linear_probing,DTD,linear_probe,dinov2_small,svm,0.824828279831508,0.0107567860438502,5640,384
Exp1_linear_probing,DTD,linear_probe,drlbp,knn,0.1418945441765175,0.0060034806051839,5640,80
Exp1_linear_probing,DTD,linear_probe,efficientnet_b0,svm,0.7090917453210894,0.0093135957676374,5640,1280
Exp1_linear_probing,DTD,linear_probe,gabor,knn,0.1562225538200078,0.0123586119672293,5640,48
Exp1_linear_probing,DTD,linear_probe,glcm,knn,0.0983810903444039,0.0068498916087853,5640,18
Exp1_linear_probing,DTD,linear_probe,hog,knn,0.1559536525773188,0.0114017602584076,5640,1764
Exp1_linear_probing,DTD,linear_probe,lbp,knn,0.25458927462799,0.0140229139416499,5640,54
Exp1_linear_probing,DTD,linear_probe,resnet101,svm,0.7272183986442279,0.010690001482553,5640,2048
Exp1_linear_probing,DTD,linear_probe,resnet50,svm,0.7391694739006835,0.0101874498670111,5640,2048
Exp1_linear_probing,DTD,linear_probe,swin_t,svm,0.7514975616434907,0.0077782100343869,5640,768
Exp1_linear_probing,DTD,linear_probe,vgg16,svm,0.6663893990616858,0.0129315139475739,5640,4096
Exp1_linear_probing,DTD,linear_probe,vit_b16,svm,0.732394111394336,0.0123861762631992,5640,768
Exp1_linear_probing,FMD,linear_probe,convnext_v2_t,svm,0.8990033473592405,0.0173391591515003,1000,768
Exp1_linear_probing,FMD,linear_probe,deit_s,svm,0.7853219414992798,0.0176175028624119,1000,384
Exp1_linear_probing,FMD,linear_probe,densenet121,svm,0.8300809546386549,0.0177934496030983,1000,1024
Exp1_linear_probing,FMD,linear_probe,dinov2,svm,0.9570619215520252,0.0162165702846957,1000,768
Exp1_linear_probing,FMD,linear_probe,dinov2_large,svm,0.9499907276217692,0.0083922441424076,1000,1024
Exp1_linear_probing,FMD,linear_probe,dinov2_small,svm,0.939118260626336,0.018394125198825,1000,384
Exp1_linear_probing,FMD,linear_probe,drlbp,knn,0.2176007702460761,0.0317444415349443,1000,80
Exp1_linear_probing,FMD,linear_probe,efficientnet_b0,svm,0.8300939288111444,0.0301126474246631,1000,1280
Exp1_linear_probing,FMD,linear_probe,gabor,knn,0.2415542428198961,0.0328874814085034,1000,48
Exp1_linear_probing,FMD,linear_probe,glcm,knn,0.1684309998247279,0.0186621367220071,1000,18
Exp1_linear_probing,FMD,linear_probe,hog,svm,0.2097338427359213,0.0257223747354756,1000,1764
Exp1_linear_probing,FMD,linear_probe,lbp,knn,0.2459982946560048,0.0116742472436962,1000,54
Exp1_linear_probing,FMD,linear_probe,resnet101,svm,0.8556889607160171,0.0164066644195161,1000,2048
Exp1_linear_probing,FMD,linear_probe,resnet50,svm,0.836400305898066,0.0220065846750511,1000,2048
Exp1_linear_probing,FMD,linear_probe,swin_t,svm,0.8748881218100729,0.0157949412125678,1000,768
Exp1_linear_probing,FMD,linear_probe,vgg16,svm,0.798925707663509,0.0261434986923804,1000,4096
Exp1_linear_probing,FMD,linear_probe,vit_b16,svm,0.8666896964695276,0.0086997874285529,1000,768
Exp1_linear_probing,GTOS-Mobile,linear_probe,convnext_v2_t,knn,0.0274007147909723,0.004631445829089,4991,768
Exp1_linear_probing,GTOS-Mobile,linear_probe,deit_s,svm,0.0297281265523939,0.0068950129972272,4991,384
Exp1_linear_probing,GTOS-Mobile,linear_probe,densenet121,knn,0.0260670408231806,0.0048565528454668,4991,1024
Exp1_linear_probing,GTOS-Mobile,linear_probe,dinov2,svm,0.0291066586138838,0.0037594629465669,4991,768
Exp1_linear_probing,GTOS-Mobile,linear_probe,dinov2_large,svm,0.0276668275520166,0.0029616395063968,4991,1024
Exp1_linear_probing,GTOS-Mobile,linear_probe,dinov2_small,svm,0.0278950447917533,0.0026254691559256,4991,384
Exp1_linear_probing,GTOS-Mobile,linear_probe,drlbp,knn,0.0285318774478095,0.0032121913608049,4991,80
Exp1_linear_probing,GTOS-Mobile,linear_probe,efficientnet_b0,knn,0.0260218305779808,0.0054463016145472,4991,1280
Exp1_linear_probing,GTOS-Mobile,linear_probe,gabor,knn,0.0277876556684732,0.0024764761326386,4991,48
Exp1_linear_probing,GTOS-Mobile,linear_probe,glcm,knn,0.0283137737592961,0.0053808284491678,4991,18
Exp1_linear_probing,GTOS-Mobile,linear_probe,hog,knn,0.0328702559937102,0.00271916384842,4991,1764
Exp1_linear_probing,GTOS-Mobile,linear_probe,lbp,knn,0.0285970870393969,0.0049984728551492,4991,54
Exp1_linear_probing,GTOS-Mobile,linear_probe,resnet101,knn,0.02813358729845,0.0068130730810209,4991,2048
Exp1_linear_probing,GTOS-Mobile,linear_probe,resnet50,knn,0.02692076650162,0.0026838409935641,4991,2048
