extractor,tipo,CUReT,CUReT_src,DTD,DTD_src,FMD,FMD_src,GTOS-Mobile,GTOS-Mobile_src,KTH-TIPS2-b,KTH-TIPS2-b_src,Soil,Soil_src,VisTex,VisTex_src
BoVW-Patch,classical,44.6,v3,14.9,v3,21.8,v3,-,,78.2,v3,63.9,v3,-,
BoVW-SIFT,classical,55.4,v3,25.5,v3,28.9,v3,-,,74.0,v3,60.1,v3,-,
DCD,classical,64.0,v3,11.5,v3,26.4,v3,-,,82.1,v3,70.6,v3,-,
DRLBP,classical,89.6,v3,30.7,"MAX(v2,v3)",35.3,"MAX(v2,v3)",0.8,v2,v3)",84.1,"MAX(v2,v3)",59.5,v3,5.3,v2
EHD,classical,83.6,v3,19.9,v3,24.4,v3,-,,65.3,v3,46.7,v3,-,
GLCM-Haralick,classical,78.0,v3,16.9,"MAX(v2,v3)",24.7,"MAX(v2,v3)",0.9,v2,v3)",67.8,"MAX(v2,v3)",56.6,v3,2.6,v2
Gabor,classical,95.1,v3,31.0,"MAX(v2,v3)",29.6,"MAX(v2,v3)",1.0,v2,v3)",88.1,"MAX(v2,v3)",53.5,v3,2.9,v2
Gran-Energy,classical,50.3,v3,10.5,v3,21.9,v3,-,,67.5,v3,46.5,v3,-,
Gran-Volume,classical,48.4,v3,10.3,v3,21.8,v3,-,,66.0,v3,45.7,v3,-,
HOG,classical,75.2,v3,17.9,"MAX(v2,v3)",24.0,"MAX(v2,v3)",1.9,v2,v3)",32.6,"MAX(v2,v3)",46.2,v3,5.0,v2
LBP-multi,classical,93.4,v3,34.1,"MAX(v2,v3)",34.5,"MAX(v2,v3)",1.1,v2,v3)",83.2,"MAX(v2,v3)",60.4,v3,4.8,v2
MC-V,classical,82.4,v3,17.8,v3,22.6,v3,-,,83.8,v3,48.9,v3,-,
ConvNeXtV2-T,deep,99.8,v3,77.6,"MAX(v2,v3)",89.9,"MAX(v2,v3)",2.6,v2,v3)",87.2,"MAX(v2,v3)",88.3,v3,65.0,v2
DINOv2-B,deep,-,,84.2,v2,95.7,v2,2.9,v2,99.9,v2,-,,73.0,v2
DINOv2-L,deep,-,,84.1,v2,95.0,v2,2.8,v2,99.9,v2,-,,72.0,v2
DINOv2-S,deep,99.9,v3,77.9,v3,91.0,v3,-,,99.9,v3,85.3,v3,-,
DeiT-S,deep,99.7,v3,66.8,"MAX(v2,v3)",79.8,"MAX(v2,v3)",3.0,v2,v3)",87.8,"MAX(v2,v3)",85.1,v3,53.9,v2
DenseNet121,deep,99.2,v3,70.4,"MAX(v2,v3)",83.0,"MAX(v2,v3)",2.4,v2,v3)",86.8,"MAX(v2,v3)",84.9,v3,47.9,v2
EfficientNetB0,deep,99.6,v3,70.9,"MAX(v2,v3)",83.0,"MAX(v2,v3)",2.5,v2,v3)",87.8,"MAX(v2,v3)",87.0,v3,65.7,v2
ResNet101,deep,99.4,v3,72.7,"MAX(v2,v3)",85.6,"MAX(v2,v3)",2.7,v2,v3)",85.9,"MAX(v2,v3)",87.0,v3,58.9,v2
ResNet50,deep,98.7,v3,73.9,"MAX(v2,v3)",83.6,"MAX(v2,v3)",2.4,v2,v3)",87.2,"MAX(v2,v3)",86.6,v3,58.8,v2
Swin-T,deep,99.5,v3,75.1,"MAX(v2,v3)",87.5,"MAX(v2,v3)",2.4,v2,v3)",90.4,"MAX(v2,v3)",87.5,v3,66.0,v2
VGG16,deep,98.6,v3,66.6,"MAX(v2,v3)",79.9,"MAX(v2,v3)",3.1,v2,v3)",87.9,"MAX(v2,v3)",84.8,v3,59.2,v2
ViT-B16,deep,99.5,v3,73.2,"MAX(v2,v3)",86.7,"MAX(v2,v3)",3.1,v2,v3)",90.7,"MAX(v2,v3)",89.7,v3,59.7,v2
