dataset,extractor,clf,n_samples,n_classes,emb_dim,mean_accuracy,std_accuracy,mean_f1,std_f1,best_params,time_s
CUReT,vit_b16,svm,6100,61,768,0.9768852459016394,0.0051162250932220285,0.9769534379886957,0.0051319964895391295,"{'kernel': 'linear', 'C': 1.0}",9.7
CUReT,vit_b16,knn,6100,61,768,0.940327868852459,0.007320365102218401,0.9407681864778213,0.00716441024961752,"{'n_neighbors': 5, 'weights': 'distance'}",0.3
CUReT,vit_b16,rf,6100,61,768,0.9139344262295083,0.009516672310622936,0.9138709848492951,0.009713764042845434,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",11.9
CUReT,vit_b16,resmlp,6100,61,768,0.9872131147540983,0.0027723827090635872,0.9871917568041223,0.0027466572134719628,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",6.1
CUReT,swin_t,svm,6100,61,768,0.9878688524590163,0.003492996025026636,0.9879289281923118,0.0034623944218254024,"{'kernel': 'linear', 'C': 1.0}",8.8
CUReT,swin_t,knn,6100,61,768,0.9604918032786885,0.003335572122848493,0.9605601005096677,0.0032136036704442064,"{'n_neighbors': 5, 'weights': 'distance'}",0.3
CUReT,swin_t,rf,6100,61,768,0.9527868852459017,0.0043558459854381604,0.9525498256261471,0.004467326287111255,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",12.0
CUReT,swin_t,resmlp,6100,61,768,0.9955737704918033,0.002409334173229368,0.9955326975427967,0.00249085384467566,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",6.6
CUReT,deit_s,svm,6100,61,384,0.9596721311475409,0.004846473934129322,0.9597070252570171,0.004754486887355101,"{'kernel': 'linear', 'C': 1.0}",6.0
CUReT,deit_s,knn,6100,61,384,0.9122950819672132,0.0065162645620825575,0.9121860148962607,0.006561161068531891,"{'n_neighbors': 5, 'weights': 'distance'}",0.2
CUReT,deit_s,rf,6100,61,384,0.8814754098360655,0.012339809355120508,0.879779771363102,0.012294215992772507,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",7.9
CUReT,deit_s,resmlp,6100,61,384,0.9754098360655737,0.004081934294422534,0.9753454368042853,0.003978460368618955,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",8.2
CUReT,dinov2_small,svm,6100,61,384,0.991639344262295,0.00329504118725271,0.9916724064373303,0.0032716965556058475,"{'kernel': 'linear', 'C': 1.0}",4.0
CUReT,dinov2_small,knn,6100,61,384,0.960983606557377,0.0029599131287324355,0.9611048741129471,0.003006231709126338,"{'n_neighbors': 5, 'weights': 'distance'}",0.2
CUReT,dinov2_small,rf,6100,61,384,0.9680327868852459,0.0058879622937927905,0.9679656698207857,0.005770832488218662,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",8.4
CUReT,dinov2_small,resmlp,6100,61,384,0.9977049180327869,0.000955893753253316,0.9977034665216236,0.0009565963074732801,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",6.7
CUReT,dinov2,svm,6100,61,768,0.9922950819672132,0.0020475403273437116,0.9923141764467951,0.002072527665731411,"{'kernel': 'linear', 'C': 1.0}",7.4
CUReT,dinov2,knn,6100,61,768,0.9644262295081967,0.004477541076638588,0.9646650610072302,0.004218936591942667,"{'n_neighbors': 5, 'weights': 'distance'}",0.3
CUReT,dinov2,rf,6100,61,768,0.972950819672131,0.005607420123438382,0.9730960957438182,0.005685257343411396,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",13.1
CUReT,dinov2,resmlp,6100,61,768,0.9983606557377049,0.0013715738139902706,0.998359013826511,0.0013731690136946752,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",7.4
CUReT,dinov2_large,svm,6100,61,1024,0.9937704918032786,0.0015202653271304243,0.9937884824023783,0.0015115627601214993,"{'kernel': 'linear', 'C': 1.0}",10.2
CUReT,dinov2_large,knn,6100,61,1024,0.9701639344262295,0.002571211006780028,0.9701775500764516,0.0024914969557735143,"{'n_neighbors': 5, 'weights': 'distance'}",0.4
CUReT,dinov2_large,rf,6100,61,1024,0.9757377049180327,0.004537164755114111,0.9756929697697704,0.00461678485149234,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",16.4
CUReT,dinov2_large,resmlp,6100,61,1024,0.9988524590163934,0.000983606557377037,0.9988473166738702,0.0009864712488795526,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",7.5
CUReT,eva02_base,svm,6100,61,768,0.9667213114754099,0.006790923008920644,0.9667992537920025,0.006881013997497884,"{'kernel': 'linear', 'C': 1.0}",9.5
CUReT,eva02_base,knn,6100,61,768,0.9447540983606556,0.005809850867760445,0.9450875560072962,0.005757541049259239,"{'n_neighbors': 5, 'weights': 'distance'}",0.3
CUReT,eva02_base,rf,6100,61,768,0.9563934426229508,0.005271454160922467,0.9562820693864964,0.005332095148158434,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",12.7
CUReT,eva02_base,resmlp,6100,61,768,0.9888524590163934,0.0035006813941086063,0.9887829347673414,0.0035697427637949807,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",6.5
CUReT,mae_base,svm,6100,61,768,0.6727868852459016,0.020536999338841826,0.6882143399250106,0.02053439180192506,"{'kernel': 'linear', 'C': 1.0}",29.8
CUReT,mae_base,knn,6100,61,768,0.8813114754098361,0.015355677412913432,0.8822313029287834,0.015386922308905605,"{'n_neighbors': 5, 'weights': 'distance'}",0.3
