dataset,extractor,clf,n_samples,n_classes,emb_dim,mean_accuracy,std_accuracy,mean_f1,std_f1,best_params,time_s
DTD,vit_b16,svm,5640,47,768,0.7320921985815603,0.012237896401941404,0.732394111394336,0.012386176263199237,"{'kernel': 'linear', 'C': 1.0}",14.1
DTD,vit_b16,knn,5640,47,768,0.6934397163120567,0.010732443936469192,0.6884382121296161,0.011346539200304859,"{'n_neighbors': 5, 'weights': 'distance'}",0.3
DTD,vit_b16,rf,5640,47,768,0.62677304964539,0.012761031358472757,0.6204737532965409,0.01312511181707992,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",12.0
DTD,vit_b16,resmlp,5640,47,768,0.7202127659574468,0.008136733266371477,0.7192107410087756,0.008607612864156927,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",6.5
DTD,swin_t,svm,5640,47,768,0.7523049645390071,0.007901517714594743,0.7514975616434907,0.0077782100343869835,"{'kernel': 'linear', 'C': 1.0}",14.4
DTD,swin_t,knn,5640,47,768,0.7140070921985815,0.015092808471652753,0.7083255820996782,0.015864149679331727,"{'n_neighbors': 5, 'weights': 'distance'}",0.3
DTD,swin_t,rf,5640,47,768,0.6418439716312057,0.009297950781650292,0.6363493975579947,0.009681975561341476,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",11.1
DTD,swin_t,resmlp,5640,47,768,0.7381205673758865,0.007679577243867962,0.7359618570769715,0.009077641641901914,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",5.5
DTD,deit_s,svm,5640,47,384,0.6689716312056737,0.015196597402280925,0.6684130613551782,0.016092917648708405,"{'kernel': 'linear', 'C': 1.0}",7.3
DTD,deit_s,knn,5640,47,384,0.6347517730496455,0.014095465896703388,0.62710531525479,0.013504146447638674,"{'n_neighbors': 5, 'weights': 'distance'}",0.2
DTD,deit_s,rf,5640,47,384,0.5684397163120567,0.013094184707543779,0.5590248935719739,0.012725559677694589,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",7.5
DTD,deit_s,resmlp,5640,47,384,0.6627659574468086,0.011875462446553431,0.6609948499872317,0.012332928733193934,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",7.5
