dataset,extractor,clf,n_samples,n_classes,emb_dim,mean_accuracy,std_accuracy,mean_f1,std_f1,best_params,time_s
FMD,vit_b16,svm,1000,10,768,0.866,0.008602325267042634,0.8666896964695276,0.008699787428552968,"{'kernel': 'linear', 'C': 1.0}",0.4
FMD,vit_b16,knn,1000,10,768,0.829,0.015620499351813267,0.8270585603383116,0.016816600065877818,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
FMD,vit_b16,rf,1000,10,768,0.8030000000000002,0.0156843871413581,0.8016547994901007,0.015506752446313972,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.9
FMD,vit_b16,resmlp,1000,10,768,0.8639999999999999,0.011575836902790236,0.863794094135433,0.012030443965896314,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",2.6
FMD,swin_t,svm,1000,10,768,0.8739999999999999,0.015297058540778369,0.8748881218100729,0.015794941212567866,"{'kernel': 'linear', 'C': 1.0}",0.4
FMD,swin_t,knn,1000,10,768,0.818,0.014696938456699036,0.815978558498605,0.015635653863551348,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
FMD,swin_t,rf,1000,10,768,0.7709999999999999,0.021307275752662534,0.7701709852357859,0.02168045732657982,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",1.0
FMD,swin_t,resmlp,1000,10,768,0.859,0.008000000000000007,0.8585632543014681,0.007967303266662472,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",2.6
FMD,deit_s,svm,1000,10,384,0.7849999999999999,0.01843908891458575,0.7853219414992798,0.0176175028624119,"{'kernel': 'linear', 'C': 1.0}",0.2
FMD,deit_s,knn,1000,10,384,0.745,0.039999999999999994,0.7414953936636721,0.04048009292641925,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
FMD,deit_s,rf,1000,10,384,0.6900000000000001,0.018165902124584923,0.6867324641454241,0.0201633511869998,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.8
FMD,deit_s,resmlp,1000,10,384,0.7670000000000001,0.029086079144498,0.7657091354035055,0.028615152407119177,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",2.9
FMD,dinov2_small,svm,1000,10,384,0.9390000000000001,0.01827566688249703,0.939118260626336,0.018394125198825054,"{'kernel': 'linear', 'C': 1.0}",0.2
FMD,dinov2_small,knn,1000,10,384,0.889,0.01907878402833893,0.8884188990793339,0.02030414862794636,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
FMD,dinov2_small,rf,1000,10,384,0.876,0.01319090595827293,0.8758166986360099,0.013052432442232895,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.8
FMD,dinov2_small,resmlp,1000,10,384,0.933,0.02014944167960985,0.9329802855200056,0.01990501852790934,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",2.6
FMD,dinov2,svm,1000,10,768,0.9570000000000001,0.016309506430300075,0.9570619215520251,0.016216570284695746,"{'kernel': 'linear', 'C': 1.0}",0.3
FMD,dinov2,knn,1000,10,768,0.8859999999999999,0.021771541057077258,0.8849197230195603,0.02217842889689539,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
FMD,dinov2,rf,1000,10,768,0.875,0.016431676725154998,0.874989889831776,0.016401120872687944,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.9
