dataset,extractor,clf,n_samples,n_classes,emb_dim,mean_accuracy,std_accuracy,mean_f1,std_f1,best_params,time_s
GTOS-Mobile,vit_b16,resmlp,4991,31,768,0.03085630720901262,0.0047212572343735375,0.030037700527290222,0.004502180218698364,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",41.7
GTOS-Mobile,swin_t,resmlp,4991,31,768,0.03185550279738657,0.005843430894898325,0.030682084437071443,0.0059685993431828266,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",38.7
GTOS-Mobile,deit_s,resmlp,4991,31,384,0.031055705003600796,0.004296640780757316,0.029977319285722965,0.004490940111747595,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",39.1
GTOS-Mobile,dinov2_small,resmlp,4991,31,384,0.02985390199819058,0.004176016140485169,0.029626429587500912,0.003977427075607032,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",50.1
GTOS-Mobile,dinov2,resmlp,4991,31,768,0.030052697988569733,0.004143079476039923,0.02938796672572826,0.0036830680711582692,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",55.0
GTOS-Mobile,dinov2_large,resmlp,4991,31,1024,0.03265710600379939,0.00523563841298823,0.03153151210876367,0.005043273832709045,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",50.7
GTOS-Mobile,vgg16,resmlp,4991,31,4096,0.028050495385164725,0.0025349168035356516,0.026273455830065334,0.0033200958389054368,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",40.4
GTOS-Mobile,resnet50,resmlp,4991,31,2048,0.028651497188571334,0.0020621549668675848,0.027602005563588244,0.0023556530079954937,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",37.2
GTOS-Mobile,resnet101,resmlp,4991,31,2048,0.02925269959338096,0.0054664307445283795,0.028031781171247515,0.0055951022764263265,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",34.0
GTOS-Mobile,densenet121,resmlp,4991,31,1024,0.027849893982158515,0.006657575900416157,0.02739410229245982,0.00626521028316669,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",45.1
GTOS-Mobile,efficientnet_b0,resmlp,4991,31,1280,0.02945310039498416,0.004136805975172034,0.02797679547920796,0.0038988857366997593,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",47.6
GTOS-Mobile,convnext_v2_t,resmlp,4991,31,768,0.031054701996585766,0.0036282135643853144,0.030602032326806906,0.0035835638796588316,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",40.4
GTOS-Mobile,lbp,resmlp,4991,31,54,0.026648291578151295,0.006665858772455428,0.022058965879314114,0.005314829696040256,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",55.6
GTOS-Mobile,glcm,resmlp,4991,31,18,0.030454301997388168,0.0020549194924264053,0.013532799037794863,0.004327170263840947,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",46.8
GTOS-Mobile,gabor,resmlp,4991,31,48,0.03365911001181542,0.004311970082092169,0.022061785107313416,0.0043807209479265925,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",54.8
GTOS-Mobile,hog,resmlp,4991,31,1764,0.030254502999993983,0.005822199164514008,0.0290241334600655,0.0067576558000271075,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",61.3
GTOS-Mobile,drlbp,resmlp,4991,31,80,0.022641077951699194,0.0037829498742317762,0.015882345885792428,0.002790590410682406,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",52.2
