dataset,extractor,clf,n_samples,n_classes,emb_dim,mean_accuracy,std_accuracy,mean_f1,std_f1,best_params,time_s
HVD_glaucoma,vit_b16,svm,1544,3,768,0.8167234060437945,0.012540461482025242,0.7644829584577317,0.01212754043571875,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",1.6
HVD_glaucoma,vit_b16,knn,1544,3,768,0.7772285966460724,0.021765860550668373,0.7086447732175752,0.026952116643189507,"{'n_neighbors': 7, 'weights': 'distance'}",0.1
HVD_glaucoma,vit_b16,rf,1544,3,768,0.7849934854789224,0.01661226414684288,0.6932247639009564,0.015466802730007168,"{'n_estimators': 300, 'max_depth': 20}",8.6
HVD_glaucoma,swin_t,svm,1544,3,768,0.8083091665615939,0.021360893816515684,0.7608960356641867,0.02324615618772229,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",1.8
HVD_glaucoma,swin_t,knn,1544,3,768,0.7616630941873661,0.014035297619172115,0.6845393649090964,0.02120205968385983,"{'n_neighbors': 7, 'weights': 'distance'}",0.1
HVD_glaucoma,swin_t,rf,1544,3,768,0.7746143823813727,0.012326019360288992,0.6900936061590108,0.009938365330948057,"{'n_estimators': 300, 'max_depth': 20}",8.7
HVD_glaucoma,deit_s,svm,1544,3,384,0.7739776404824948,0.020264774363161944,0.7109753009022999,0.023203431543627952,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",1.1
HVD_glaucoma,deit_s,knn,1544,3,384,0.7377022653721683,0.01784636333846246,0.6657247943974787,0.020587784486448876,"{'n_neighbors': 7, 'weights': 'distance'}",0.1
HVD_glaucoma,deit_s,rf,1544,3,384,0.7506598579414113,0.016582486226236204,0.6487276038495307,0.02282694034056759,"{'n_estimators': 100, 'max_depth': 20}",7.3
HVD_glaucoma,dinov2,svm,1544,3,768,0.792113226579246,0.01676378304399647,0.7201468535573875,0.007970697447517728,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",1.5
HVD_glaucoma,dinov2,knn,1544,3,768,0.7266990291262136,0.02034206489296793,0.6508216615169575,0.021872490742998973,"{'n_neighbors': 3, 'weights': 'distance'}",0.1
HVD_glaucoma,dinov2,rf,1544,3,768,0.773326188374732,0.009144927946925176,0.6595605590223542,0.014565835682722744,"{'n_estimators': 300, 'max_depth': None}",8.6
HVD_glaucoma,dinov2_large,svm,1544,3,1024,0.803761610557727,0.016643818080327544,0.7383977769660983,0.014756152391649546,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",1.8
HVD_glaucoma,dinov2_large,knn,1544,3,1024,0.7221514731223471,0.00510042442544324,0.639818869872683,0.011742780847738143,"{'n_neighbors': 5, 'weights': 'distance'}",0.1
HVD_glaucoma,dinov2_large,rf,1544,3,1024,0.7662022443575841,0.009219100688656199,0.6649256692350721,0.010130183972771753,"{'n_estimators': 100, 'max_depth': 20}",9.4
HVD_glaucoma,resnet50,svm,1544,3,2048,0.7694532005211616,0.019763196445432334,0.6977580786358959,0.020992468927194162,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",5.1
HVD_glaucoma,resnet50,knn,1544,3,2048,0.7156747782961376,0.012484687138162524,0.6342337515010597,0.01737339291657662,"{'n_neighbors': 7, 'weights': 'distance'}",0.3
HVD_glaucoma,resnet50,rf,1544,3,2048,0.7260559828520994,0.01678935654442335,0.6058883899827232,0.018037270440542482,"{'n_estimators': 100, 'max_depth': 20}",9.4
HVD_glaucoma,convnext_v2_t,svm,1544,3,768,0.8057138654226034,0.01415202605700137,0.7479499648991935,0.015669105238905835,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",1.5
HVD_glaucoma,convnext_v2_t,knn,1544,3,768,0.7383537174799311,0.011580404197031042,0.6704134451613124,0.011686220278962406,"{'n_neighbors': 7, 'weights': 'distance'}",0.1
HVD_glaucoma,convnext_v2_t,rf,1544,3,768,0.7746206867566091,0.011330935144522023,0.6805634690578697,0.019762746522464306,"{'n_estimators': 300, 'max_depth': None}",8.6
HVD_glaucoma,efficientnet_b0,svm,1544,3,1280,0.7882192241415543,0.018299165856000298,0.7267697168517211,0.018323956530417008,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",2.5
HVD_glaucoma,efficientnet_b0,knn,1544,3,1280,0.7441789601983777,0.015047630858060965,0.6781685496684278,0.011857317404883558,"{'n_neighbors': 5, 'weights': 'distance'}",0.2
HVD_glaucoma,efficientnet_b0,rf,1544,3,1280,0.7571323498507965,0.010654904787552242,0.6460912653678497,0.02048449834019387,"{'n_estimators': 300, 'max_depth': 20}",10.3
HVD_glaucoma,lbp,svm,1544,3,54,0.6826671710166856,0.019597924891018876,0.498973856329747,0.014400739849754311,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",0.5
HVD_glaucoma,lbp,knn,1544,3,54,0.6522107342495692,0.014641758834087536,0.554152657407536,0.01158072455262338,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
