dataset,extractor,clf,n_samples,n_classes,emb_dim,mean_accuracy,std_accuracy,mean_f1,std_f1,best_params,time_s
KTH-TIPS2-b,vit_b16,resmlp,3564,11,768,0.9977551727941755,0.0014306098919584622,0.9977534633863272,0.001433962195813065,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",11.0
KTH-TIPS2-b,swin_t,resmlp,3564,11,768,0.9988771924295193,0.0010508171933250432,0.9988810526712179,0.0010466793845372014,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",11.3
KTH-TIPS2-b,deit_s,resmlp,3564,11,384,0.9957904565296184,0.001986256956888412,0.9957930054957679,0.001984291669863158,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",16.2
KTH-TIPS2-b,dinov2_small,resmlp,3564,11,384,0.9988771924295191,0.0010508171933250432,0.9988787337371534,0.0010474408372105062,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",20.6
KTH-TIPS2-b,dinov2,resmlp,3564,11,768,0.9994385962147596,0.0006875766889224101,0.999440526335609,0.0006852125011416687,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",15.6
KTH-TIPS2-b,dinov2_large,resmlp,3564,11,1024,0.9991580913059236,0.001122216878453583,0.9991606901650496,0.001119121175052025,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",15.4
KTH-TIPS2-b,vgg16,resmlp,3564,11,4096,0.9927041145972864,0.002573582519894291,0.9926971088685159,0.002582058381243996,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",18.4
KTH-TIPS2-b,resnet50,resmlp,3564,11,2048,0.9963526482499961,0.0006861300085336574,0.9963581191884107,0.0006850618695222182,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",20.7
KTH-TIPS2-b,resnet101,resmlp,3564,11,2048,0.99803607167058,0.0014301456857261545,0.9980373714187806,0.001431289925880521,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",16.7
KTH-TIPS2-b,densenet121,resmlp,3564,11,1024,0.998316576579416,0.0013741075992486395,0.9983192600727623,0.0013701614434945835,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",16.9
KTH-TIPS2-b,efficientnet_b0,resmlp,3564,11,1280,0.99803607167058,0.0014301456857261545,0.9980373209854575,0.0014248320320029747,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",18.0
KTH-TIPS2-b,convnext_v2_t,resmlp,3564,11,768,0.9971941629765038,0.000887035806592655,0.9972063753832769,0.0008746876272683273,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",17.4
KTH-TIPS2-b,lbp,resmlp,3564,11,54,0.9416372504215452,0.019226692993867672,0.9413203493838231,0.019435153259328722,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",32.0
KTH-TIPS2-b,glcm,resmlp,3564,11,18,0.5291827536757174,0.012672192939739643,0.5103628022885371,0.021599769319305302,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",34.9
KTH-TIPS2-b,gabor,resmlp,3564,11,48,0.8723257481444128,0.01797206242672622,0.87232273093672,0.017560986084324774,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",40.4
KTH-TIPS2-b,hog,resmlp,3564,11,1764,0.7180102273980806,0.01925871573249483,0.7183230825118309,0.01831442633985773,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",35.2
KTH-TIPS2-b,drlbp,resmlp,3564,11,80,0.7578446822257592,0.024836538992457295,0.7549113733056032,0.026505382340671183,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",23.8
